#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Temporary Love","The Brinks",103,11A,56,2016-03-18,03:25,40,"","Temporary Love",2015-12-04,71,66,0,33,0,10,-8,F#/G♭ Minor,4,2U6hcDLZHYRSd9Up0mMe9W,USQX91503131
2,"Basic Instinct","The Acid",118,9B,47,2016-03-18,04:49,38,"","Liminal",2014-07-15,74,55,28,33,0,10,-9,G Major,4,5E0pS3sXgWdQZMKChqYXHE,GBZUZ1300215
3,"Stressed Out","Twenty One Pilots",170,9A,64,2016-03-18,03:22,88,"","Blurryface",2015-05-15,73,5,0,65,10,0,-6,E Minor,4,3CRDbSIZ4r5MsZ0YwxuEkn,USAT21500597
4,"Genghis Khan","Miike Snow",94,8B,84,2016-03-18,03:32,36,"alternative dance","Genghis Khan",2015-12-03,70,4,0,41,0,50,-3,C Major,4,6yHczwGhD6R0Mh1fe6IHkG,USAT21503728
5,"Carl Sagan","Night Moves",118,1A,73,2016-03-18,03:52,0,"","Carl Sagan",2016-02-24,47,1,80,47,0,10,-5,G#/A♭ Minor,4,0EJfFBsTiTDqariX5cZfrC,GBCEL1500746
6,"Ophelia","The Lumineers",76,7B,57,2016-03-18,02:40,1,"folk pop, indie folk","Ophelia",2016-02-05,66,61,0,57,0,0,-7,F Major,4,3qhobDAfBcVoOWZP8Ck8R2,USDMG1673802
7,"Nobody Dies","Thao & The Get Down Stay Down",89,3B,73,2016-03-18,03:48,0,"","Nobody Dies",2015-12-10,64,2,2,78,0,10,-6,C♯/D♭ Major,4,1ClQ0J3D1pbaBtCAwadsqw,GBCEL1500704
8,"Little Numbers - Acoustic Version","BOY",96,1B,48,2016-03-18,03:41,0,"","Mutual Friends Acoustic EP",2013-09-10,64,68,0,83,0,10,-9,B Major,4,6Bj6CdIxDsBIQjDPsElCTs,GBLAZ1100330
9,"I'm a Mess","Ed Sheeran",139,5B,38,2016-03-18,04:04,60,"soft pop","x (Deluxe Edition)",2014-06-21,70,56,0,34,0,10,-8,D#/E♭ Major,4,0xCA70t1ZA4fa9UOE0lIJm,GBAHS1400091
10,"Devil Devil","MILCK",142,3B,39,2016-03-18,04:18,0,"","Devil Devil",2016-01-11,54,16,0,28,0,10,-10,C♯/D♭ Major,4,7K0aHJFgffrUKH8Z3IE8a4,ushm81581717
11,"Cliff","Låpsley",116,10B,43,2016-03-18,04:28,0,"","Cliff",2016-02-29,74,66,4,15,0,10,-9,D Major,4,2mM9r7jFGUfEu3p5Nk8Cgm,GBBKS1500304
12,"Middle","DJ Snake,Bipolar Sunshine",105,11B,74,2016-03-18,03:40,1,"","Middle",2015-10-16,56,2,0,21,0,0,-4,A Major,4,2bKhIGdMdcqCqQ2ZhSv5nE,USUM71515784
