#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Home","Daughter",104,6A,43,2017-09-05,04:18,0,"","Wild Youth EP",2012-01-01,67,32,14,25,0,20,-12,G Minor,4,0P42eWQvmNe6I453EkicVo,USYAH1200345
2,"Medicine","Daughter",93,5B,31,2017-09-05,04:18,0,"","Wild Youth EP",2012-01-01,24,12,24,22,0,50,-12,D#/E♭ Major,3,7H8fBamGUheu0DSpp3pj03,USYAH1200346
3,"Youth","Daughter",150,8B,49,2017-09-05,04:11,0,"","Wild Youth EP",2012-01-01,58,63,0,45,0,10,-13,C Major,4,6yAVbABh3EtTBFsnj0xUqn,USYAH1200347
4,"Love","Daughter",134,12B,44,2017-09-05,05:44,0,"","Wild Youth EP",2012-01-01,56,37,68,17,0,0,-13,E Major,4,2r28VvWB0kMA3o4epSlcJG,USYAH1200348
5,"Landfill","Daughter",126,10A,49,2017-09-05,04:23,0,"","His Young Heart EP",2012-01-01,61,82,0,43,0,10,-8,B Minor,4,7bQfNecR1k52fPVQiZq0dJ,USYAH1200341
6,"The Woods","Daughter",148,10B,25,2017-09-05,03:49,0,"","His Young Heart EP",2012-01-01,53,77,1,36,0,10,-14,D Major,4,3tOoVlYTFSTaEtGxPc3gGt,USYAH1200342
7,"Candles","Daughter",156,2B,46,2017-09-05,04:53,0,"","His Young Heart EP",2012-01-01,41,21,0,15,0,0,-12,F#/G♭ Major,4,1zZcEoMG3ZEUU6hEPyPXh5,USYAH1200343
8,"Switzerland","Daughter",116,9B,50,2017-09-05,03:48,0,"","His Young Heart EP",2012-01-01,21,31,1,6,0,10,-11,G Major,4,34FDwcjBvH90OMcEdchfHc,USYAH1200344
9,"Winter","Daughter",119,4A,58,2017-09-05,04:41,0,"","If You Leave",2013-01-01,56,72,41,22,0,10,-12,F Minor,4,35qDBpLRDvhz0az6Ib0hw4,USYAH1300027
10,"Smother","Daughter",125,3B,14,2017-09-05,04:00,0,"","If You Leave",2013-01-01,51,93,8,12,0,10,-16,C♯/D♭ Major,4,1drUAdX3NY4dTieuxdedLY,USYAH1200373
11,"Youth","Daughter",147,8B,54,2017-09-05,04:13,0,"","If You Leave",2013-01-01,40,88,1,37,0,10,-11,C Major,4,1vyrrrnb7182SL6iOMor3O,USYAH1300029
12,"Still","Daughter",115,9A,40,2017-09-05,03:32,0,"","If You Leave",2013-01-01,49,81,5,15,0,10,-13,E Minor,4,6Ge8hGFQucHiGmy9BZbMQj,USYAH1300030
13,"Lifeforms","Daughter",154,10A,24,2017-09-05,05:35,0,"","If You Leave",2013-01-01,38,57,2,6,0,10,-14,B Minor,4,1WHo8i7PAnlk6EElCRUhuQ,USYAH1300031
14,"Tomorrow","Daughter",129,10A,44,2017-09-05,04:39,0,"","If You Leave",2013-01-01,27,34,13,19,0,10,-12,B Minor,4,16BwvRjOxOmLKXVPmNjNDT,USYAH1300032
15,"Human","Daughter",160,3B,86,2017-09-05,03:31,0,"","If You Leave",2013-01-01,51,38,17,56,0,0,-8,C♯/D♭ Major,4,0RHCkpiQtUcC6aEhjhLL1D,USYAH1300033
16,"Touch","Daughter",144,6A,46,2017-09-05,04:25,0,"","If You Leave",2013-01-01,26,72,46,18,0,10,-16,G Minor,4,3aOcEH9JUJoi5lGAYW9Wsf,USYAH1300034
17,"Amsterdam","Daughter",131,8A,49,2017-09-05,04:02,0,"","If You Leave",2013-01-01,60,64,68,24,0,0,-12,A Minor,4,20aDJhWpujO3SaS11eZ3PW,USYAH1300035
18,"Shallows","Daughter",142,1B,38,2017-09-05,06:53,0,"","If You Leave",2013-01-01,31,90,69,8,0,10,-14,B Major,4,4jpsjVOcUj9fVfqP72hSga,USYAH1300036
19,"New Ways","Daughter",114,10B,51,2017-09-05,05:25,0,"","Not To Disappear",2016-01-15,45,36,65,15,0,50,-7,D Major,4,6SIwsg4DZx79ECsFgl6Xje,GBAFL1500134
20,"Numbers","Daughter",130,11A,76,2017-09-05,04:16,0,"","Not To Disappear",2016-01-15,27,61,62,26,0,10,-9,F#/G♭ Minor,4,05jFhbrKpgEOURy9gkWRTa,GBAFL1500135
21,"Doing The Right Thing","Daughter",136,5A,65,2017-09-05,05:14,0,"","Not To Disappear",2016-01-15,41,90,6,12,0,0,-7,C Minor,4,2X8DqCikgiVk3214hbHEpz,GBAFL1500136
22,"How","Daughter",160,10B,64,2017-09-05,04:23,0,"","Not To Disappear",2016-01-15,26,35,20,31,0,10,-7,D Major,4,7IvZkmjsAW9t2QutuajQmo,GBAFL1500137
23,"Mothers","Daughter",136,10B,45,2017-09-05,05:21,0,"","Not To Disappear",2016-01-15,37,78,27,14,0,10,-9,D Major,4,5IPsPU8j0JENW8rDyPErdl,GBAFL1500138
24,"Alone / With You","Daughter",81,10A,54,2017-09-05,04:33,0,"","Not To Disappear",2016-01-15,45,45,4,46,0,30,-10,B Minor,4,4FUeeRJtq9auvjKm1za40S,GBAFL1500139
25,"No Care","Daughter",162,4A,95,2017-09-05,02:53,0,"","Not To Disappear",2016-01-15,44,10,41,60,10,0,-6,F Minor,4,26Ggcaz8arFAehpsfFTiRj,GBAFL1500140
26,"To Belong","Daughter",99,4A,81,2017-09-05,04:17,0,"","Not To Disappear",2016-01-15,23,44,5,41,0,0,-7,F Minor,4,61WG9Kz4xn03UrDkvg4vzN,GBAFL1500141
27,"Fossa","Daughter",176,9B,81,2017-09-05,06:46,0,"","Not To Disappear",2016-01-15,16,43,94,13,10,10,-7,G Major,4,0WXqirpUQC71A7BpoHBd20,GBAFL1500142
28,"Made Of Stone","Daughter",81,10B,33,2017-09-05,03:54,0,"","Not To Disappear",2016-01-15,17,88,18,8,0,10,-12,D Major,3,2pqbYs6WujMwox9pQiePDC,GBAFL1500143
29,"The End","Daughter",129,11B,69,2017-09-05,05:29,0,"","The End",2016-10-14,47,87,0,21,0,0,-8,A Major,4,1ygQqVSkR8A9DO5UQrWPqx,GBAFL1500162
30,"Glass","Daughter",112,10B,52,2017-09-05,04:15,0,"","Music From Before The Storm",2017-09-01,45,53,86,6,0,10,-10,D Major,4,2zfeZ4DJBn5uqbnaVyqYmS,GBAFL1700291
31,"Burn It Down","Daughter",98,12A,73,2017-09-05,03:11,0,"","Music From Before The Storm",2017-09-01,46,12,10,21,0,40,-8,C♯/D♭ Minor,4,3gtL2E6j0vJb1LLtkphfMm,GBAFL1700300
32,"Flaws","Daughter",129,9B,39,2017-09-05,02:53,0,"","Music From Before The Storm",2017-09-01,36,59,89,4,0,0,-12,G Major,3,5I25m3L32KCpo7WNdBSNL3,GBAFL1700290
33,"Hope","Daughter",95,11B,60,2017-09-05,04:22,0,"","Music From Before The Storm",2017-09-01,35,61,93,6,0,0,-9,A Major,4,6J6J9y7uKkdoLbKTCerX91,GBAFL1700288
34,"The Right Way Around","Daughter",132,3B,30,2017-09-05,02:40,0,"","Music From Before The Storm",2017-09-01,61,44,86,25,0,0,-13,C♯/D♭ Major,4,1ziAdbTzyLDOLbLU7XSIJW,GBAFL1700293
35,"Smother","Daughter",125,3B,13,2017-09-05,04:02,0,"","Smother",2012-01-01,47,91,6,10,0,10,-16,C♯/D♭ Major,4,51oHidHioHAt2aUL6mHWGa,USYAH1200373
36,"Run","Daughter",92,6A,40,2017-09-05,04:06,0,"","Smother",2012-01-01,51,64,9,26,0,0,-13,G Minor,4,7la7uGsVc8YVnOWPmQyEcz,USYAH1200374
37,"Witches","Daughter",131,8A,39,2017-09-05,03:06,0,"","Music From Before The Storm",2017-09-01,43,7,97,8,0,10,-12,A Minor,4,6JR4oAmtvyMyitscEqJet2,GBAFL1700295
38,"Departure","Daughter",106,7B,84,2017-09-05,04:15,0,"","Music From Before The Storm",2017-09-01,49,13,92,42,0,0,-9,F Major,4,0jSt57QpcBnJLm3MZpJXKE,GBAFL1700289
39,"All I Wanted","Daughter",166,3B,19,2017-09-05,03:21,0,"","Music From Before The Storm",2017-09-01,51,84,0,11,0,10,-13,C♯/D♭ Major,4,0grO1Y8vkaJqWu4im2fZy2,GBAFL1700299
40,"I Can't Live Here Anymore","Daughter",105,1B,24,2017-09-05,05:38,0,"","Music From Before The Storm",2017-09-01,22,70,91,3,0,10,-17,B Major,4,1S58IfG6kxDTTHfNdcwSpk,GBAFL1700292
41,"Dreams Of William","Daughter",105,4A,23,2017-09-05,04:19,0,"","Music From Before The Storm",2017-09-01,34,71,87,7,0,10,-12,F Minor,4,0iBfwJFNDe9XO2K0YLqCTK,GBAFL1700296
42,"Improve","Daughter",98,9A,31,2017-09-05,02:02,0,"","Music From Before The Storm",2017-09-01,42,72,89,9,0,0,-12,E Minor,3,5r8onkjhunKFydjcbL2JoB,GBAFL1700297
43,"Voices","Daughter",150,1B,54,2017-09-05,02:09,0,"","Music From Before The Storm",2017-09-01,62,88,88,71,0,10,-14,B Major,4,3XuhmFY6AwPmdbN674PtMZ,GBAFL1700294
44,"A Hole In The Earth","Daughter",85,8B,56,2017-09-05,04:41,0,"","Music From Before The Storm",2017-09-01,43,89,14,18,0,10,-8,C Major,4,1I1Ujc1QLzEgJCxyDXmHmr,GBAFL1700298
45,"Intro","Daughter",128,9B,5,2025-03-02,00:55,20,"","Stereo Mind Game",2023-04-07,17,92,75,3,0,0,-20,G Major,4,5YrMulUEHy0nwgLlqD9g3w,GBAFL2200155
46,"Be On Your Way","Daughter",102,9A,57,2025-03-02,04:04,34,"","Stereo Mind Game",2023-04-07,47,16,5,23,0,10,-10,E Minor,4,2LadlqFWLPRJAQu3PEe9CN,GBAFL2200156
47,"Party","Daughter",100,4B,60,2025-03-02,04:27,32,"","Stereo Mind Game",2023-04-07,74,20,91,77,0,0,-8,G#/A♭ Major,4,2tLLgIhHr3AFv0etCbjth2,GBAFL2200157
48,"Dandelion","Daughter",158,10A,63,2025-03-02,03:51,33,"","Stereo Mind Game",2023-04-07,55,6,34,60,0,0,-9,B Minor,4,0FaTDETtzCRxYIf3noMnsF,GBAFL2200158
49,"Neptune","Daughter",84,8A,44,2025-03-02,05:25,29,"","Stereo Mind Game",2023-04-07,37,52,5,13,0,0,-10,A Minor,4,0Gqw2VCa5wtCibC22niG39,GBAFL2200159
50,"Swim Back","Daughter",120,3B,77,2025-03-02,04:34,26,"","Stereo Mind Game",2023-04-07,57,0,50,38,0,30,-8,C♯/D♭ Major,4,0SB7Ew45h690xWhmWvWixm,GBAFL2200160
51,"Junkmail","Daughter",120,8A,57,2025-03-02,04:05,22,"","Stereo Mind Game",2023-04-07,63,6,91,33,0,10,-11,A Minor,4,7nu25XWqnLNRnqf8UGS10s,GBAFL2200161
52,"Future Lover","Daughter",158,9A,70,2025-03-02,04:13,27,"","Stereo Mind Game",2023-04-07,59,15,59,83,0,0,-9,E Minor,4,14iMoEpgyNjJ3y7bYJ9TTG,GBAFL2200162
53,"(Missed Calls)","Daughter",69,3B,23,2025-03-02,01:43,21,"","Stereo Mind Game",2023-04-07,41,93,3,17,20,30,-19,C♯/D♭ Major,3,2fgMcXCUP0yf2pXOAmYXRB,GBAFL2200163
54,"Isolation","Daughter",95,1B,15,2025-03-02,02:37,35,"","Stereo Mind Game",2023-04-07,61,77,16,17,0,10,-16,B Major,4,3LKSRV0wMzYTnuGJvwLYrs,GBAFL2200164
55,"To Rage","Daughter",98,10B,60,2025-03-02,04:45,35,"","Stereo Mind Game",2023-04-07,55,12,58,35,0,20,-10,D Major,4,3yYPoZq0fsQ6d5iLvraz72,GBAFL2200165
