#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Fangs","Night Riots",145,9B,85,2017-05-18,03:35,0,"","Fangs",2016-09-09,52,1,0,46,0,10,-4,G Major,4,618DIJLSOg5ffmXaFFRsnv,USYFZ1674603
2,"Same Old Blues","Phantogram",122,11A,71,2017-05-18,03:31,44,"","Three",2016-10-07,58,7,0,23,0,30,-3,F#/G♭ Minor,4,28iw1FqJf6Vnfl2Fcu9rBh,USUM71605173
3,"Free Animal","Foreign Air",80,4A,58,2017-05-18,03:00,0,"","Free Animal",2015-11-17,58,9,0,39,0,10,-7,F Minor,4,5l8oNQsDDPNFUIV5M4lzRJ,TCACJ1573640
4,"Damage Done","Kita Alexander",118,11A,48,2017-05-18,03:58,31,"","Damage Done",2016-11-21,75,11,0,69,0,10,-7,F#/G♭ Minor,4,09TSAykx6dM7ml7oX5mrbn,AUWA01600500
5,"home","MORGXN",100,1B,67,2017-05-18,03:33,0,"","home",2016-09-16,67,2,0,88,0,10,-6,B Major,4,3sh0NSn2Eq1ERtTRmITZze,USHR11637540
6,"Talk To Me","Nightly",93,8B,81,2017-05-18,03:19,22,"","Honest",2016-10-21,55,0,0,45,0,0,-6,C Major,4,2Zh6bWnTExBlouGC6PK5Kt,USUM71613650
7,"Breaking Free","Night Riots",166,9B,87,2017-05-18,04:03,0,"","Breaking Free",2016-10-07,45,3,0,52,0,20,-4,G Major,4,5XsAH0jVF3Dhk1PsEq3vLl,USYFZ1674608
8,"O.D on You","Violet Days",139,1A,71,2017-05-18,03:33,17,"","O.D on You",2016-11-11,56,11,0,48,0,0,-8,G#/A♭ Minor,4,48mCOfmxZCZ8sG45YEpW7D,TCACT1632605
9,"Whippin (feat. Felix Snow)","Kiiara,Felix Snow",83,4A,50,2017-05-18,02:40,44,"","Whippin (feat. Felix Snow)",2017-04-12,87,55,0,67,0,0,-7,F Minor,4,3QWjljChcOMkRDYSzF33Qr,USAT21700897
10,"You're Mine","Phantogram",119,3A,77,2017-05-18,02:51,51,"","Three",2016-10-07,67,0,0,27,0,10,-6,A#/B♭ Minor,4,3rchbdfMJ48si8MqFRs6wP,USUM71605176
11,"She's Out Of Her Mind","blink-182",180,8B,97,2017-05-18,02:42,2,"pop punk, punk, rock, skate punk, emo","California",2016-07-01,45,0,0,61,0,40,-3,C Major,4,6EE19skJ32p58xihYj2Waa,QMRSZ1600237
12,"No Vacancy","OneRepublic",100,7B,73,2017-05-18,03:43,53,"soft pop","No Vacancy",2017-04-28,72,6,0,48,0,10,-4,F Major,4,4QeoDcR16IHpmmgFGQDrCp,USUM71703399
13,"Shape of You","Ed Sheeran",96,12A,65,2017-05-18,03:53,6,"soft pop","Shape of You",2017-01-06,83,58,0,93,0,0,-3,C♯/D♭ Minor,4,0FE9t6xYkqWXU2ahLh6D8X,GBAHS1600463
14,"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha,Ty Dolla $ign",140,7B,62,2017-05-18,03:17,57,"trap soul","All Your Fault: Pt. 1",2017-02-16,66,3,0,37,0,20,-6,F Major,4,4ZJPwET9Jrgpkqi4Vo3Yg8,USWB11700170
15,"Party Monster","The Weeknd",78,3B,63,2017-05-18,04:09,79,"","Starboy",2016-11-25,57,19,0,22,10,20,-8,C♯/D♭ Major,4,4F7A0DXBrmUAkp32uenhZt,USUG11600997
16,"Starboy","The Weeknd,Daft Punk",186,9B,59,2017-05-18,03:50,92,"french house, electronic, electro","Starboy",2016-11-25,68,14,0,49,20,10,-7,G Major,4,7MXVkk9YMctZqd1Srtv4MB,USUG11600976
17,"Cocoon","Catfish and the Bottlemen",133,6A,91,2017-05-18,03:56,69,"indie, indie rock","The Balcony",2014-09-15,45,0,0,33,0,0,-4,G Minor,4,1B241LRKmK6qDDTZfUajmm,GB6TW1400027
18,"Call Me In The Afternoon","Half Moon Run",89,3B,95,2017-05-18,03:13,0,"","Spotify Sessions",2013-01-01,51,13,1,61,0,10,-8,C♯/D♭ Major,4,2BBb3UMJBNlofpC25pbSp4,USYAH1300138
19,"Dream","OneRepublic",105,10A,64,2017-05-18,03:31,37,"soft pop","Oh My My",2016-12-02,76,19,0,55,0,10,-6,B Minor,4,7kAykEQsPsC67ML8qQmOSW,USUM71608762
20,"Cool Girl","Tove Lo",102,8A,72,2017-05-18,03:17,0,"","Cool Girl",2016-08-04,67,35,0,24,10,10,-7,A Minor,4,6vJ0Fezf6Etha2C4H21FKO,SEUM71601198
21,"Danger Zone - From  Top Gun  Original Soundtrack","Kenny Loggins",157,2A,90,2017-05-18,03:35,76,"yacht rock","Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",1997-03-25,54,24,0,65,0,10,-6,D#/E♭ Minor,4,34x6hEJgGAOQvmlMql5Ige,USSM18600108
22,"Jessie's Girl","Rick Springfield",132,10B,70,2017-05-18,03:12,57,"yacht rock","The Best Of Rick Springfield",1999-03-20,69,7,0,84,0,0,-8,D Major,4,0TF3F5Lw5apoD1zvR8LikO,USRC18108188
23,"Whole Lotta Love - 1990 Remaster","Led Zeppelin",90,11B,90,2017-05-18,05:33,78,"classic rock, rock, hard rock, rock and roll","Led Zeppelin II (1994 Remaster)",1969-10-22,41,5,13,42,40,40,-12,A Major,4,0hCB0YR03f6AmQaHbwWDe8,USAT29900471
24,"Bad Habit","The Kooks",123,5A,89,2017-05-18,03:41,0,"indie, indie rock","Bad Habit",2014-01-01,73,5,0,85,0,10,-4,C Minor,4,1MbOMquGRXUEUALDcTLuoA,GBUM71401804
25,"Into You","Ariana Grande",108,11B,73,2017-05-18,04:04,4,"pop","Dangerous Woman",2016-05-20,62,2,0,37,10,10,-6,A Major,4,2meEiZKWkiN28gITzFwQo5,USUM71601827
26,"Desire","MEG MYERS",132,9B,61,2017-05-18,04:44,47,"","Make a Shadow",2014-02-07,62,0,9,17,0,10,-5,G Major,4,2GvtgZIVoPbFrpG659ggUD,USAT21302617
27,"Sex on Fire","Kings of Leon",153,11B,91,2017-05-18,03:23,88,"","Only By The Night",2008-09-23,54,0,1,37,0,10,-6,A Major,4,0ntQJM78wzOLVeCUAW7Y45,USRC10800300
28,"Last Friday Night (T.G.I.F.)","Katy Perry",126,2A,81,2017-05-18,03:50,77,"pop","Teenage Dream: The Complete Confection",2012-03-12,65,0,0,76,0,60,-4,D#/E♭ Minor,4,455AfCsOhhLPRc68sE01D8,USCA21001264
29,"Good For You","Selena Gomez,A$AP Rocky",89,4A,68,2017-05-18,03:41,56,"rap","Good For You",2015-08-07,61,18,0,21,0,0,-6,F Minor,4,5XfywqPX6XBOdYQNbOaQvy,USUM71508454
30,"Always & Forever","Grace Mitchell",127,3A,79,2017-05-18,03:36,12,"","Design",2014-10-14,58,5,12,69,0,0,-7,A#/B♭ Minor,4,3CSFlbSdp8AFjEn66eYlPt,USUM71414998
31,"I Think I Love You","The Partridge Family",203,5B,47,2017-05-18,02:53,40,"bubblegum pop","Come On Get Happy! The Very Best Of The Partridge Family",2005-05-03,43,42,0,78,0,10,-12,D#/E♭ Major,4,2hb6LFp0TwBjkhf37od4G3,USAR17400001
32,"On the Way Down","Ryan Cabrera",95,3B,85,2017-05-18,03:33,55,"","Take It All Away (U.S. Version)",2004-06-08,50,0,0,54,0,10,-5,C♯/D♭ Major,4,1GwVi2ceNb8dMFA3DZGnnY,USAT20302943
33,"Wherever I Go","OneRepublic",100,3A,70,2017-05-18,02:50,0,"soft pop","Wherever I Go",2016-05-13,55,11,0,33,0,20,-6,A#/B♭ Minor,4,0KdwmtG44yIDpyie4b0jCn,USUM71603851
34,"Simple & Sweet","Jon Bellion",76,2B,36,2017-05-18,02:56,25,"","Simple & Sweet",2014-08-12,46,74,0,70,0,0,-8,F#/G♭ Major,4,5QEQzpnXj0eNkgiBFX1C7g,USUM71411229
35,"Hands To Myself","Selena Gomez",111,4A,51,2017-05-18,03:20,68,"","Revival (Deluxe)",2015-10-09,81,1,0,44,10,30,-7,F Minor,4,1LoriJC05IrHIDwj3q0KC1,USUM71513592
36,"Wrong (feat. Lil Uzi Vert)","MAX,Lil Uzi Vert",140,8B,56,2017-05-18,03:15,22,"melodic rap, rage rap","Wrong",2015-12-18,61,2,0,43,0,10,-8,C Major,4,17zIpOrDoEDcPvS34i5t3I,USQX91503429
37,"LIKE I WOULD","ZAYN",113,3A,83,2017-05-18,03:12,39,"","LIKE I WOULD",2016-03-10,56,2,0,23,10,20,-6,A#/B♭ Minor,4,0WEVf4RhIrcr3S3ULBrt0T,USRC11600403
38,"Lemon Eyes","MEG MYERS",140,8B,57,2017-05-18,03:39,44,"","Sorry",2015-09-18,78,37,0,65,0,40,-8,C Major,4,5sjEQjDkEYOr1RB6n5acXD,USAT21502057
39,"Trojans","Atlas Genius",140,9B,82,2017-05-18,03:37,44,"","When It Was Now (Deluxe Edition)",2013-02-19,72,1,0,54,0,0,-5,G Major,4,4AyoAGuhE8gydBPrczuhbl,USWB11300017
40,"Fever To The Form","Nick Mulvey",142,5A,53,2017-05-18,04:11,40,"","Fever To The Form",2014-01-13,34,79,16,23,0,10,-10,C Minor,4,7xbF5Nf1iKYmwvD9EWhJav,GBUM71302652
41,"Temporary Love","The Brinks",103,11A,56,2017-05-18,03:25,40,"","Temporary Love",2015-12-04,71,66,0,33,0,10,-8,F#/G♭ Minor,4,2U6hcDLZHYRSd9Up0mMe9W,USQX91503131
42,"I'm a Mess","Ed Sheeran",139,5B,38,2017-05-18,04:04,60,"soft pop","x (Deluxe Edition)",2014-06-21,70,56,0,34,0,10,-8,D#/E♭ Major,4,0xCA70t1ZA4fa9UOE0lIJm,GBAHS1400091
43,"Basic Instinct","The Acid",118,9B,47,2017-05-18,04:49,38,"","Liminal",2014-07-15,74,55,28,33,0,10,-9,G Major,4,5E0pS3sXgWdQZMKChqYXHE,GBZUZ1300215
44,"Fresh Blood","Eels",96,8B,92,2017-05-18,04:25,0,"","Hombre Lobo",2009-06-02,67,32,76,73,0,0,-4,C Major,4,62N9FbD1RdoEJ8f3KTIPyZ,USZXT0907782
45,"Home","Daughter",104,6A,43,2017-05-18,04:18,0,"","The Wild Youth",2012-03-06,68,25,18,26,0,10,-12,G Minor,4,3YD9MT0IJeefl8iWIjD4Lf,USYAH1200345
46,"Breathe on Me","Britney Spears",112,4A,56,2017-05-18,03:43,58,"pop","In The Zone",2003-11-13,71,0,1,57,0,0,-6,F Minor,4,1lK5iIMKifrxERzS3iimJH,USJI10301003
47,"City Of Sin","Linus Young",80,6A,46,2017-05-18,04:06,0,"","City Of Sin",2013-01-01,63,5,0,39,0,0,-9,G Minor,4,6Ol1COvQbsEaYmdTLtV7rg,USUM71314862
