#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Memories","Maroon 5",91,1B,32,2020-06-08,03:09,37,"pop","Memories",2019-09-20,76,84,0,57,0,0,-7,B Major,4,2b8fOow8UzyDFAE27YhOZM,USUM71913350
2,"Casey Jones - 2013 Remaster","Grateful Dead",100,8B,41,2020-06-08,04:25,60,"jam band, psychedelic rock, acid rock","Workingman's Dead",1970-00-00,67,39,0,83,0,10,-10,C Major,4,7LbfuQVct78YoghmoPtsQ8,USWB11304507
3,"Truckin' - 2013 Remaster","Grateful Dead",127,10A,62,2020-06-08,05:06,59,"jam band, psychedelic rock, acid rock","American Beauty (2013 Remaster)",1970-06-01,64,39,2,68,0,0,-14,B Minor,4,1I6l01BaBgBCVkfQCpIlR6,USWB11304517
4,"Hallucinogenics","Matt Maeson",121,8B,65,2020-06-08,03:07,72,"","Bank On The Funeral",2019-04-05,55,46,0,29,0,10,-7,C Major,4,6bLU8e0LGyztE9iD5DWBQ1,USAT21801088
5,"Cringe","Matt Maeson",126,7B,47,2020-06-08,03:36,70,"","Bank On The Funeral",2019-04-05,73,7,0,44,0,0,-8,F Major,4,12rhvKDK2FfHTZZ1sSAHDG,USAT21603312
6,"I Got You Babe","Sonny & Cher",111,2B,80,2020-06-08,03:10,68,"","Look At Us",1965-00-00,63,14,0,60,0,10,-6,F#/G♭ Major,3,4SGBuq37Ol4HJr7pQqFMKa,USAT27500019
7,"We've Got Tonight","Bob Seger",130,1B,45,2020-06-08,04:41,64,"classic rock","Stranger In Town",1978-05-05,52,27,0,33,0,20,-6,B Major,4,3mj46XKJ2aEm1z7ZvbwyLi,USCA28600274
8,"Good as Hell","Lizzo",96,5A,92,2020-06-08,02:39,71,"","Cuz I Love You (Super Deluxe)",2019-04-17,68,26,0,54,0,40,-3,C Minor,4,6KgBpzTuTRPebChN0VTyzV,USAT21600354
9,"Happy Tappin' with Elmo","Elmo,Sesame Street",96,5A,84,2020-06-08,01:30,48,"children's music","Sesame Street: Elmo's Dance Party",2018-07-13,87,46,0,88,20,0,-9,C Minor,4,15MSguIhOLq9qEphs2bIE1,USWB11803242
10,"157 Riverside Avenue - Live on U.S. Tour - 1976","REO Speedwagon",96,9B,89,2020-06-08,07:36,20,"soft rock, aor, classic rock","The Essential REO Speedwagon",2004-00-00,33,8,0,58,0,90,-8,G Major,4,6txliljgLvTFz00WUtPUzM,USSM10012064
