#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Over Now","Post Malone",164,9A,78,2021-11-25,04:06,68,"","beerbongs & bentleys",2018-04-27,57,14,0,18,0,10,-4,E Minor,4,09IOPhEh1OMe0HD9b36FJk,USUM71805169
2,"Tainted Love","Milky Chance",114,8A,34,2021-11-25,02:59,59,"","Trip Tape",2021-11-03,84,54,37,41,10,10,-12,A Minor,4,1wAPbQ5XjbZqPl0WDl5mHH,DEVP22100004
3,"Formula (From  Euphoria: Season 1  Soundtrack)","Labrinth",145,1B,66,2021-11-25,01:31,80,"","Euphoria (Original Score from the HBO Series)",2019-10-04,57,4,6,23,0,10,-6,B Major,4,6EtKlIQmGPB9SX8UjDJG5s,USQX91902497
4,"Can I Get It","Adele",98,8A,68,2021-11-25,03:30,66,"soft pop","30",2021-11-19,70,2,0,54,0,10,-6,A Minor,4,6w8ZPYdnGajyfPddTWdthN,USSM12105974
5,"Where Are You Now","Lost Frequencies,Calum Scott",121,11A,64,2021-11-25,02:28,79,"tropical house, soft pop","Where Are You Now",2021-07-30,67,52,0,26,10,10,-8,F#/G♭ Minor,4,3uUuGVFu1V7jTQL60S1r8z,BEHP42100067
6,"Movement","Hozier",144,12A,50,2021-11-25,03:57,69,"","Wasteland, Baby!",2019-03-01,38,16,0,15,0,0,-6,C♯/D♭ Minor,4,1djzKW3eYLyzjjHXazEWWh,USSM11806792
7,"Still Don't Know My Name (From  Euphoria: Season 1  Soundtrack)","Labrinth",90,7B,63,2021-11-25,02:33,76,"","Euphoria (Original Score from the HBO Series)",2019-10-04,32,47,26,31,10,20,-6,F Major,1,6N22FZs2ZhPBYi3b9XPajV,USQX91902507
8,"A Place Like This","Majid Jordan",134,4B,45,2021-11-25,04:21,0,"","A Place Like This",2014-07-17,55,4,1,39,0,0,-11,G#/A♭ Major,4,1jRHh8JcdUV9zTiAmyzhU9,USWB11401779
9,"i want you","pluko",144,1A,44,2021-11-25,03:06,31,"stutter house, future bass","CLASS XIX",2019-05-31,61,11,1,6,0,10,-10,G#/A♭ Minor,4,6lzhQZlu2c0CZ947BmHJhP,QM24S1918838
10,"Already Dead","Juice WRLD",84,3B,50,2021-11-25,03:51,0,"melodic rap, emo rap","Already Dead",2021-11-12,74,2,0,12,0,10,-6,C♯/D♭ Major,4,7qM1BWAsZMTYh4BcYLb0uQ,USUG12105423
11,"abcdefu","GAYLE",122,12B,54,2021-11-25,02:48,74,"","abcdefu",2021-08-13,70,30,0,42,0,30,-6,E Major,4,4fouWK6XVHhzl78KzQ1UjL,USAT22103652
12,"Lonely","Palaye Royale",148,7A,62,2021-11-25,03:06,0,"","Lonely",2020-03-13,62,6,0,48,0,0,-6,D Minor,4,4w6K8eMuWck8OSJ1fdvU9e,USYFZ2031305
13,"Beggin'","Måneskin",134,10A,80,2021-11-25,03:31,87,"","Chosen",2017-12-08,71,13,0,59,0,30,-5,B Minor,4,3Wrjm47oTz2sjIgck11l5e,ITB001700846
14,"Until I Come Home","Two Feet,grandson",78,10B,78,2021-11-25,03:15,0,"","Until I Come Home",2021-11-19,60,7,0,60,0,0,-5,D Major,4,0ZWfWytIwA7UwvB8oCNndU,GBKPL2170309
15,"Sunshine","OneRepublic",140,7B,88,2021-11-25,02:43,72,"soft pop","Sunshine",2021-11-10,70,14,0,77,0,20,-5,F Major,4,5r43qanLhUCdBj8HN3fa6B,USUM72100506
16,"Inner Light","Elderbrook,Bob Moses",121,12B,71,2021-11-25,04:17,70,"","Inner Light",2021-07-30,65,0,1,13,0,0,-8,E Major,4,40tPP3K10yMZxwnT65REKj,GBAYE2100859
17,"Meet Me At Our Spot","THE ANXIETY,WILLOW,Tyler Cole",95,10B,47,2021-11-25,02:42,77,"","THE ANXIETY",2020-03-13,77,2,0,40,0,0,-8,D Major,4,07MDkzWARZaLEdKxo6yArG,QMJMT2002693
18,"Drugs in California","Transviolet",102,8B,48,2021-11-25,03:25,0,"","Everything Everything",2021-10-08,76,38,28,28,0,10,-7,C Major,4,63O7vS9USirKWbIMq31UAJ,QMGR32247738
19,"STAY (with Justin Bieber)","The Kid LAROI,Justin Bieber",170,3B,76,2021-11-25,02:21,85,"","STAY (with Justin Bieber)",2021-07-09,59,4,0,48,0,10,-5,C♯/D♭ Major,4,5HCyWlXZPP0y6Gqq8TgA20,USSM12103949
20,"Essence (feat. Justin Bieber & Tems)","Wizkid,Justin Bieber,Tems",104,8B,69,2021-11-25,04:23,63,"afrobeats, afrobeat, afropop, azonto, afroswing, afro r&b, afropiano, alté","Made In Lagos: Deluxe Edition",2021-08-27,84,1,0,59,10,10,-6,C Major,4,1MZtr7IH5qtjIkqrXj8WOJ,USRC12102450
21,"Lights Out_Demo","Milky Chance",200,8B,57,2021-11-25,03:54,41,"","Trip Tape",2021-11-03,47,40,0,78,30,10,-8,C Major,4,0IuTdfzNpHNBoLyMotxuFi,DEVP22100019
