#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Embrace","WYATT",80,12A,33,2023-03-25,03:58,12,"","36, 37",2017-11-17,36,3,64,16,10,10,-15,C♯/D♭ Minor,4,1rYMhRNa26kKbIRP0xe6cP,TCADI1772930
2,"The Beach","The Neighbourhood",136,7A,64,2023-03-25,04:15,78,"","Wiped Out!",2015-10-30,25,13,0,11,0,0,-7,D Minor,4,2u0CelO5c81XS7z3dGpHbS,USSM11506746
3,"9","WILLOW,SZA",77,4B,50,2023-03-25,04:13,62,"r&b","3",2014-11-11,60,22,0,17,20,10,-9,G#/A♭ Major,4,3e90JC8EKLsSDUHmPpxkfp,QMJMT1400589
4,"Dirty Love","Mt. Joy",125,4A,44,2023-03-25,02:44,1,"","Mt. Joy",2018-03-02,77,60,0,66,0,10,-8,F Minor,4,2bsC6KLZ6a9v6zdoDkziBL,USDMG1885204
5,"Seven","Rainbow Kitten Surprise",136,10B,53,2023-04-02,03:45,0,"","Seven + Mary",2013-11-13,64,5,0,19,10,10,-7,D Major,4,71QhgQvQDZUok0DMlYD1qy,TCABT1491602
6,"Devil's Advocate","The Neighbourhood",98,10A,68,2023-03-25,03:06,71,"","Chip Chrome & The Mono-Tones",2020-09-25,66,3,14,86,0,50,-8,B Minor,4,4XfI7M5gLwEY84gYiH4RDD,USSM12003781
7,"San Francisco","The Lonely Biscuits",101,11B,55,2023-04-02,03:30,40,"","The Universe in You",2018-03-30,57,2,0,48,0,0,-7,A Major,4,04zvSxcRRhSP3VK0PwgHbe,GBKPL1784418
8,"Pet Cheetah","Twenty One Pilots",110,6A,68,2023-03-25,03:18,62,"","Trench",2018-10-05,65,6,0,36,20,20,-7,G Minor,4,7daBwTiPNOVgoMUG4SICgh,USAT21810693
9,"Counting Cards","Rainbow Kitten Surprise",110,8A,59,2023-04-02,03:49,0,"","RKS",2015-04-25,76,11,0,32,0,10,-8,A Minor,4,4N6mfzZarbwBGfRoAFzt8e,QMAAK1557429
10,"Formula (From  Euphoria: Season 1  Soundtrack)","Labrinth",145,1B,66,2023-04-02,01:31,80,"","Euphoria (Original Score from the HBO Series)",2019-10-04,57,4,6,23,0,10,-6,B Major,4,6EtKlIQmGPB9SX8UjDJG5s,USQX91902497
11,"Fiction","The xx",115,6A,36,2023-03-25,02:56,57,"","Coexist",2012-09-10,79,69,41,64,0,0,-14,G Minor,4,40Gp0YR5kj8vT7Z55YzTFM,GBBKS1200087
12,"ADHD","Two Feet",173,7B,72,2023-04-02,02:45,36,"","Shape & Form",2022-05-13,47,1,0,25,0,10,-4,F Major,3,3ZqJEsAtQrrVVkWAOaqkRt,GBKPL2294772
13,"Self Portrait","Surf Curse",152,10B,80,2023-04-02,03:32,32,"indie","Self Portrait",2022-09-07,58,5,1,65,0,10,-4,D Major,4,5IssEtH38Bs8vpGOoVnLlh,USAT22209048
14,"COLD SWEAT","GLU",160,10A,59,2023-03-25,03:32,36,"","COLD SWEAT",2022-05-13,62,1,32,85,0,0,-7,B Minor,4,4bmgXSjYzfW5id3kTEV3Fg,QZQAY2265214
15,"Daddy Issues","The Neighbourhood",85,6B,52,2023-04-02,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
16,"Fresh Blood","Eels",96,8B,92,2023-03-25,04:25,0,"","Hombre Lobo",2009-06-02,67,32,76,73,0,0,-4,C Major,4,62N9FbD1RdoEJ8f3KTIPyZ,USZXT0907782
17,"All's Well That Ends","Rainbow Kitten Surprise",120,12B,48,2023-04-02,03:26,0,"","RKS",2015-04-25,63,3,25,18,0,10,-11,E Major,4,3u1f75MWE7gsMhZ4bBaZ4U,QMAAK1557437
18,"Doing Good","Milky Chance",98,8A,73,2023-03-25,04:10,0,"","Doing Good",2017-01-13,71,29,11,73,0,10,-8,A Minor,4,7bAQMATn7EjiNNlS409S51,DEVP21600010
