#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Home","Daughter",104,6A,43,2025-01-04,04:18,0,"","The Wild Youth",2012-03-06,68,25,18,26,0,10,-12,G Minor,4,3YD9MT0IJeefl8iWIjD4Lf,USYAH1200345
2,"Howl","Florence + The Machine",130,8B,85,2025-01-04,03:33,57,"baroque pop","Lungs (Deluxe Edition)",2009-00-00,58,0,0,29,0,30,-4,C Major,4,3GS8qG28p2RF6M7S5rFdx5,GBUM70904473
3,"Wicked Games","The Weeknd",114,11B,57,2025-01-08,05:25,55,"","Trilogy",2012-11-13,59,2,0,24,0,30,-7,A Major,4,7bGF2hNOP6SROacsxo1fCk,USUM72104140
4,"Singing Low","The Fray",90,6A,59,2025-01-04,04:23,30,"","Through the Years: The Best of The Fray",2016-11-04,53,41,0,28,0,10,-5,G Minor,4,22o6BsXxHAl3h15mHp4Jtk,USSM11607271
5,"Counting Stars","OneRepublic",122,12A,71,2025-01-04,04:17,74,"soft pop","Native",2014-01-01,66,7,0,47,0,10,-5,C♯/D♭ Minor,4,6sy3LkhNFjJWlaeSMNwQ62,USUM71301306
6,"Iris","The Goo Goo Dolls",156,10A,79,2025-01-04,04:49,75,"","Greatest Hits Volume One - The Singles",2007-11-06,29,0,0,51,0,0,-6,B Minor,3,6vrUTGn5p8IrfTZ0J6sIVM,USWB10704707
7,"The Scientist","Coldplay",146,7B,44,2025-01-04,05:09,89,"","A Rush of Blood to the Head",2002-08-27,56,73,0,21,0,10,-7,F Major,4,75JFxkI2RXiU7L9VXzMkle,GBAYE0200772
8,"Ghost Man On Third","Taking Back Sunday",150,9A,73,2025-01-08,03:59,23,"emo, pop punk, screamo, post-hardcore, punk","Tell All Your Friends (20th Anniversary Edition)",2022-05-27,27,1,0,32,0,0,-5,E Minor,3,6EcGJGvgGjgiKYbA3cJDtl,USVIC0528606
9,"Sweater Weather","The Neighbourhood",124,6B,81,2025-01-04,04:00,93,"","I Love You.",2013-04-22,61,5,2,40,0,10,-3,A#/B♭ Major,4,2QjOHCTQ1Jl3zawyYOpxh6,USSM11300080
10,"Daddy Issues","The Neighbourhood",85,6B,52,2025-01-04,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
11,"Blue Jeans","Lana Del Rey",118,5B,84,2025-01-04,03:29,48,"","Born To Die",2012-01-30,56,42,0,50,0,0,-4,D#/E♭ Major,4,4jZWeEaLCnwYtLnVEN6BYV,GBUM71111620
12,"Bedroom Hymns","Florence + The Machine",106,9A,87,2025-01-04,03:01,34,"baroque pop","Ceremonials",2011-01-01,53,8,0,23,0,30,-4,E Minor,4,7cXLpJezIuXb2RYeSk7YXB,GBUM71107582
13,"Leave My Body","Florence + The Machine",160,8B,81,2025-01-04,04:36,35,"baroque pop","Ceremonials",2011-01-01,40,30,2,26,0,20,-5,C Major,4,42ZFeaSZOpP26DiGV7E2w0,GBUM71107578
14,"Looking Hot","No Doubt",128,6A,89,2025-03-04,04:42,39,"","Push And Shove",2012-01-01,61,0,1,41,0,10,-4,G Minor,4,0DRvLkBUlGjEQUQKr1uP4M,USUM71209062
15,"Adderall","Max Frost",100,2B,89,2025-03-04,03:38,54,"","Adderall",2016-10-14,68,0,0,56,0,0,-4,F#/G♭ Major,4,4Xx0J00u90QvnG3rwz4Itp,USAT21602998
16,"Teenage Dirtbag","Wheatus",95,12B,85,2025-03-04,04:01,85,"","Wheatus",1999-02-15,63,35,0,63,0,10,-4,E Major,4,25FTMokYEbEWHEdss5JLZS,USSM10008431
17,"Smells Like Teen Spirit","Nirvana",117,3B,91,2025-01-04,05:01,82,"grunge, rock","Nevermind (Remastered)",1991-09-26,50,0,0,72,0,10,-5,C♯/D♭ Major,4,5ghIJDpPoe3CfHMGu71E6T,USGF19942501
18,"I Just Wanna Live","Good Charlotte",111,3A,83,2025-03-04,02:46,64,"pop punk, punk, emo","The Chronicles of Life and Death ( LIFE  version)",2004-09-28,80,1,0,94,0,10,-5,A#/B♭ Minor,4,5TjwiYZVMHVrGvRzbeCaV7,USSM10412717
19,"Beverly Hills","Weezer",88,7B,82,2025-01-04,03:16,73,"alternative rock","Make Believe",2005-05-10,69,9,0,74,0,30,-4,F Major,4,1yKu2MhpwzDXXH2tzG6xoa,USIR10500448
20,"Celebrity","*NSYNC",109,11B,81,2025-01-04,03:18,36,"","Celebrity",2001-07-23,89,2,0,78,0,0,-4,A Major,4,2YHvWvFFH53lpG96eijEe9,USJI10100230
21,"Girl On TV","LFO",96,9A,72,2025-01-04,04:07,51,"","LFO",1999-08-10,69,13,0,35,0,10,-4,E Minor,4,4DJwdQDai9DLYBL9TNrEDo,DEA819900510
22,"I Ain't Worried","OneRepublic",140,8B,80,2025-01-04,02:28,60,"soft pop","Top Gun: Maverick (Music From The Motion Picture)",2022-05-27,70,8,0,83,0,0,-6,C Major,4,73PAbYaVbnFG0tQ4aBfxeN,USUM72206227
23,"Future Lover","Daughter",158,9A,70,2025-01-04,04:13,32,"","Stereo Mind Game",2023-04-07,59,16,61,83,0,0,-9,E Minor,4,5Jd15aO2FEEVj4ylUs8mdU,GBAFL2200162
24,"Superposition","Young the Giant",170,9B,70,2025-01-04,03:50,70,"","Mirror Master",2018-10-12,59,0,3,43,0,10,-5,G Major,4,67YPjbcxUypwNOwYBZquq1,USAT21810536
25,"Starlight","Muse",122,12B,87,2025-03-06,04:00,79,"alternative rock, rock","Black Holes and Revelations",2006-06-28,55,0,0,32,0,20,-4,E Major,4,3skn2lauGk7Dx6bVIt5DVj,GBAHT0500592
26,"Your Love Is a Song","Switchfoot",80,11A,52,2025-01-08,04:19,52,"christian rock, christian alternative rock, ccm, christian","Hello Hurricane",2009-11-03,52,3,0,36,0,20,-4,F#/G♭ Minor,4,1ztW0Lu8SFYrIWmaCy9e5G,USAT20903068
27,"To the Moon & Back","Savage Garden",104,5A,76,2025-01-04,05:41,63,"","Savage Garden",1997-03-04,58,2,0,33,0,10,-7,C Minor,4,6FRtjadDsEhZIQIlh1loEM,USSM19700099
28,"Violet","Savage Garden",108,8B,69,2025-01-04,04:03,33,"","Savage Garden",1997-03-04,70,2,0,71,0,10,-7,C Major,4,38uWwKBOgJUxbKhYmfPV0h,USSM19700110
29,"Santa Monica","Savage Garden",124,11B,39,2025-03-06,03:33,34,"","Savage Garden (Original Version)",1997-00-00,83,48,0,55,0,20,-9,A Major,4,0YvrJeIIg4d0TCB5VeWPNu,AURQ09700012
30,"6 Minutes","LFO",145,9B,86,2025-01-04,03:10,19,"","Life Is Good",2001-06-26,63,2,0,72,0,30,-6,G Major,4,7MdEJ3bjnxslNiG8CHvOnq,USJAY0100100
31,"Life Is Good (feat. M.O.P.)","LFO,M.O.P.",90,9B,83,2025-03-06,04:05,21,"east coast hip hop, hardcore hip hop, old school hip hop","Life Is Good",2001-06-26,64,8,0,89,10,0,-5,G Major,4,3HSlFLpxrhczM1rL4HbSge,USJAY0100104
32,"Alayna","LFO",96,10A,67,2025-03-06,04:33,19,"","Life Is Good",2001-06-26,70,0,0,78,0,30,-6,B Minor,4,2iTVe1yzBvsGr2GzEr2agC,USJAY0100107
33,"Every Other Time - Radio Edit & Album Version","LFO",104,1B,92,2025-03-06,04:07,44,"","Life Is Good",2001-06-26,69,1,0,72,0,30,-5,B Major,4,3uD4aRM8QoEAAhwpOke7QU,USJAY0100088
34,"Say When","The Fray",153,11A,68,2025-01-04,05:01,52,"","The Fray",2009-02-02,47,15,0,30,0,10,-6,F#/G♭ Minor,4,3lqrCvTI9YRt62FR5JSTom,USSM10805069
35,"Absolute","The Fray",141,5B,84,2025-03-06,03:47,43,"","The Fray",2009-02-02,41,3,0,50,0,20,-6,D#/E♭ Major,4,6sSDEFMeyf16WRDLRCXwTc,USSM10804487
36,"Little Bit","Lykke Li",120,9B,74,2025-01-04,04:33,69,"","Youth Novels",2008-06-06,82,16,0,70,0,10,-7,G Major,4,0Ps4Eh6SQjeLnubbCsQTDD,SEVUM0700701
37,"Basic Instinct","The Acid",118,9B,47,2025-01-04,04:49,38,"","Liminal",2014-07-15,74,55,28,33,0,10,-9,G Major,4,5E0pS3sXgWdQZMKChqYXHE,GBZUZ1300215
38,"Close Your Eyes","The All-American Rejects",92,3B,62,2025-01-04,04:27,0,"pop punk, emo","Sweat",2017-07-07,58,6,0,9,0,0,-8,C♯/D♭ Major,4,6nknq3uzBIsYNjEdRiOzMo,USUM71705052
39,"Fever To The Form","Nick Mulvey",142,5A,53,2025-01-04,04:11,40,"","Fever To The Form",2014-01-13,34,79,16,23,0,10,-10,C Minor,4,7xbF5Nf1iKYmwvD9EWhJav,GBUM71302652
40,"Cringe","Matt Maeson",126,7B,47,2025-01-04,03:35,40,"","Who Killed Matt Maeson",2017-03-31,73,7,0,40,0,0,-8,F Major,4,1OV5oUwrL4iw0UTfZy3pGe,USAT21603312
41,"Tribulation","Matt Maeson",155,3B,66,2025-03-06,03:10,34,"","Who Killed Matt Maeson",2017-03-31,43,8,0,35,10,0,-7,C♯/D♭ Major,4,15lxyyfUIcs7Ztuilbl01M,USAT21700291
42,"Devil's Advocate","The Neighbourhood",98,10A,68,2025-01-04,03:06,71,"","Chip Chrome & The Mono-Tones",2020-09-25,66,3,14,86,0,50,-8,B Minor,4,4XfI7M5gLwEY84gYiH4RDD,USSM12003781
43,"Dirty Love","Mt. Joy",125,4A,44,2025-01-04,02:44,1,"","Mt. Joy",2018-03-02,77,60,0,66,0,10,-8,F Minor,4,2bsC6KLZ6a9v6zdoDkziBL,USDMG1885204
44,"I Will Possess Your Heart - Radio Edit","Death Cab for Cutie",133,9B,58,2025-03-06,04:50,41,"","Narrow Stairs",2008-05-09,62,37,2,73,0,0,-10,G Major,4,18NiQTTgXClfhnYMPKUJZT,USAT20801841
45,"I Follow Rivers","Lykke Li",122,8A,53,2025-03-06,03:48,65,"","Wounded Rhymes",2011-00-00,60,48,0,61,0,20,-14,A Minor,4,336ZYcU6poBWi3s8yzRcAD,SEVUM1000502
46,"Diamonds","Rihanna",92,10A,71,2025-01-04,03:45,39,"","Unapologetic",2012-12-11,56,0,0,40,0,10,-5,B Minor,4,5VmkzMD9SUgWOGWKG7GVcg,USUM71211793
47,"Loveeeeeee Song","Rihanna,Future",120,4A,60,2025-01-04,04:16,39,"rap","Unapologetic",2012-12-11,71,51,0,50,0,10,-8,F Minor,4,2ox4vr3lkUVpCR57bbWwLy,USUM71214740
48,"Heart Skips a Beat (feat. Rizzle Kicks)","Olly Murs,Rizzle Kicks",111,11B,88,2025-01-04,03:22,63,"","In Case You Didn't Know",2011-11-28,84,14,0,88,0,0,-4,A Major,4,1f8UCzB3RqIgNkW7QIiIeP,GBARL1100728
