#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Harder To Breathe","Maroon 5",150,12A,91,2025-03-02,02:53,57,"pop","Songs About Jane",2002-06-25,66,5,0,97,0,0,-5,C♯/D♭ Minor,4,2RjpDxBii8EvC6p6wxwCSz,USJAY0300079
2,"This Love","Maroon 5",95,4A,86,2025-03-02,03:26,64,"pop","Songs About Jane",2002-06-25,71,5,0,81,0,0,-5,F Minor,4,6YgV0EF8xJMZz0Zm6BTaT4,USJAY0300080
3,"Shiver","Maroon 5",172,8B,93,2025-03-02,02:59,49,"pop","Songs About Jane",2002-06-25,63,4,0,51,30,80,-4,C Major,4,3T35D5r5tkO6c1KzZ0HCBr,USJAY0300081
4,"She Will Be Loved","Maroon 5",102,5A,71,2025-03-02,04:17,75,"pop","Songs About Jane",2002-06-25,71,6,0,54,0,10,-6,C Minor,4,7sapKrjDij2fpDVj0GxP66,USJAY0300082
5,"Tangled","Maroon 5",146,8A,79,2025-03-02,03:18,50,"pop","Songs About Jane",2002-06-25,63,3,0,73,0,0,-5,A Minor,4,07oRM1c6VtzDpxjTn8w6Hm,USJAY0300083
6,"The Sun","Maroon 5",80,9B,73,2025-03-02,04:11,51,"pop","Songs About Jane",2002-06-25,53,5,0,56,0,0,-6,G Major,4,6cX1zmXxkfhSvHW82U5CW6,USJAY0300084
7,"Must Get Out","Maroon 5",97,9B,53,2025-03-02,03:59,47,"pop","Songs About Jane",2002-06-25,75,5,0,32,0,20,-7,G Major,4,7xlIrLvCs7digqxVI3LKMM,USJAY0300085
8,"Sunday Morning","Maroon 5",88,8B,76,2025-03-02,04:04,68,"pop","Songs About Jane",2002-06-25,61,7,0,80,0,0,-5,C Major,4,1YI0uK36eupTmw9F8kHysr,USJAY0300086
9,"Secret","Maroon 5",88,7B,44,2025-03-02,04:55,51,"pop","Songs About Jane",2002-06-25,42,26,0,15,0,10,-8,F Major,4,64i1dyG9Td5z5Q0TCG17Pb,USJAY0300087
10,"Through With You","Maroon 5",146,3A,80,2025-03-02,03:01,46,"pop","Songs About Jane",2002-06-25,69,7,0,66,0,0,-5,A#/B♭ Minor,4,6DhtWg2DzPVEcBZoJ2CJh9,USJAY0300088
