#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Jigsaw Falling Into Place","Radiohead",166,10A,83,2025-01-24,04:08,81,"art rock, alternative rock","In Rainbows",2007-12-28,46,11,0,81,0,0,-6,B Minor,4,0YJ9FWWHn9EfnN0lHwbzvV,GBSTK0700009
2,"Weird Fishes / Arpeggi","Radiohead",153,10A,61,2025-01-24,05:18,79,"art rock, alternative rock","In Rainbows",2007-12-28,53,77,76,20,0,0,-8,B Minor,4,4wajJ1o7jWIg62YqpkHC7S,GBSTK0700004
3,"Nude","Radiohead",128,12B,34,2025-01-24,04:15,75,"art rock, alternative rock","In Rainbows",2007-12-28,52,83,58,17,0,0,-10,E Major,3,35YyxFpE0ZTOoqFx5bADW8,GBSTK0700003
4,"All I Need","Radiohead",88,9A,48,2025-01-24,03:48,83,"art rock, alternative rock","In Rainbows",2007-12-28,67,53,43,10,0,10,-9,E Minor,4,5Qv2Nby1xTr9pQyjkrc94J,GBSTK0700005
5,"Paper Aeroplane","Angus & Julia Stone",104,1B,41,2025-02-22,03:43,57,"","A Book Like This",2009-00-00,81,59,27,37,10,10,-15,B Major,4,3XcvrvOCfSvK0mm6nOTw6d,AUAP10600004
6,"Mango Tree","Angus & Julia Stone",108,8B,44,2025-02-22,03:45,48,"","A Book Like This",2009-00-00,59,83,13,28,0,10,-15,C Major,4,1zhUjkAPnvPvkKpwHB5qWT,AUAP10600002
7,"Just a Boy","Angus & Julia Stone",161,8B,70,2025-03-04,04:01,43,"","A Book Like This",2009-00-00,64,24,1,37,0,30,-9,C Major,4,3R8KeqkoBJT9u0co2G1R6W,AUAP10700007
8,"Jewels and Gold","Angus & Julia Stone",166,5A,32,2025-03-04,04:25,20,"","A Book Like This",2009-00-00,70,48,1,60,10,10,-12,C Minor,4,4ZdtYcA8sHzcqaUnQeCfDF,AUAP10700014
9,"Rabbit Hole","The Temper Trap",162,12A,44,2025-02-22,03:05,27,"","The Temper Trap",2012-01-01,29,1,0,10,0,0,-8,C♯/D♭ Minor,4,6isn97Gnpr2GkA6X7xZm8Z,AULI01281220
10,"I'm Gonna Wait","The Temper Trap",154,7B,67,2025-02-22,04:15,23,"","The Temper Trap",2012-01-01,41,0,73,14,0,20,-8,F Major,4,3sAlxkUQo8GWvvbD9zMDCu,AULI01281200
11,"Codes and Keys","Death Cab for Cutie",119,8B,87,2025-02-22,03:21,35,"","Codes and Keys",2011-05-27,57,1,14,47,0,10,-8,C Major,4,3Myb5tcPivRHsoz1jw8GKr,USAT21100669
12,"You Are a Tourist","Death Cab for Cutie",95,10B,87,2025-02-22,04:46,51,"","Codes and Keys",2011-05-27,57,0,14,66,0,20,-8,D Major,4,2bD1AW4yqiCurGCva6r88a,USAT21100467
13,"Sweet Disposition","The Temper Trap",129,10B,80,2025-03-08,03:56,74,"","Conditions",2009-06-19,53,7,20,31,0,10,-7,D Major,4,0fIDUXVyJ1JISqB4HP4D5H,GBZUZ0900013
14,"Science of Fear","The Temper Trap",150,8A,84,2025-02-22,04:22,35,"","Conditions",2009-06-19,47,0,48,18,0,30,-7,A Minor,4,0FdvSI0QIaUE3Fh0zrvPJg,GBZUZ0900003
15,"Soldier On","The Temper Trap",106,10A,43,2025-02-22,06:00,38,"","Conditions",2009-06-19,32,45,21,7,0,10,-7,B Minor,4,18zAwMMfSQOGIErNnbJko3,GBZUZ0900012
16,"Nerve","Half Moon Run",136,4A,49,2025-02-22,03:17,28,"","Dark Eyes",2013-01-01,64,72,0,51,0,0,-9,F Minor,4,6TzAL5Lt78ijxh2GVfdXKi,CAI251212609
17,"She Wants To Know","Half Moon Run",96,10A,65,2025-02-22,04:11,32,"","Dark Eyes",2013-01-01,57,6,1,37,0,0,-9,B Minor,4,2nw5JnozeqC9ZBaoIordQD,CAI251212604
18,"Need It","Half Moon Run",100,8A,22,2025-02-22,03:25,42,"","Dark Eyes",2013-01-01,61,82,1,14,0,10,-12,A Minor,3,1m0GXAaRNrclH8pfIxFFZD,CAI251212605
19,"Backwards Directions","Abby Sage",115,6B,38,2025-02-22,03:07,56,"","Backwards Directions",2022-09-07,85,41,45,48,0,10,-10,A#/B♭ Major,4,5vbnQr1tWSSREmcIONIUm9,CAN112200678
20,"High Five","Abby Sage",105,7B,63,2025-02-22,02:47,42,"","The Florist",2022-10-21,69,52,85,51,0,0,-9,F Major,4,6rbVTDom9bD9CVnpWfBHFb,CAN112200680
21,"Soul Meets Body","Death Cab for Cutie",128,7A,85,2025-03-04,03:49,65,"","Plans",2005-08-29,62,8,0,71,0,0,-6,D Minor,4,5yc59J3MR3tVDPTOgwgRI5,USAT20504676
22,"I Will Follow You into the Dark","Death Cab for Cutie",80,7B,21,2025-03-04,03:09,65,"","Plans",2005-08-29,52,92,0,49,0,10,-12,F Major,4,3kZC0ZmFWrEHdUCmUqlvgZ,USAT20504677
