#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Girlfriend","Bow Wow,Omarion",75,9B,80,2025-02-13,04:44,47,"r&b","Face Off",2007-12-11,73,11,0,85,20,20,-5,G Major,4,4yDKPeWA3rJiCNbPALWJjN,USSM10705221
2,"K-POP","Travis Scott,Bad Bunny,The Weeknd",121,4A,62,2025-02-13,03:05,70,"rap, reggaeton, trap latino, latin, urbano latino, ","K-POP",2023-07-21,81,4,0,54,0,60,-6,F Minor,4,5L3ecxQnQ9qTBmnLQiwf0C,USSM12305652
3,"Main One (feat. Tyga)","Mario,Lil Wayne,Tyga",99,3A,64,2025-02-13,03:19,46,"r&b, rap, hip hop, ","Main One (feat. Tyga)",2023-07-21,69,6,0,16,0,10,-7,A#/B♭ Minor,4,2nB44lzuvxp40hNMkT6BZj,USSM12305254
4,"Oh U Went (feat. Drake)","Young Thug,Drake",136,6A,79,2025-02-13,03:05,67,"rap, melodic rap, trap","BUSINESS IS BUSINESS",2023-06-23,81,5,0,47,20,0,-6,G Minor,4,7qLr3HMApUbyDkUvgIvHnB,USAT22306750
5,"Water","Tyla",117,2A,72,2025-02-13,03:20,85,"afrobeats","Water",2023-07-28,67,9,0,52,0,10,-3,D#/E♭ Minor,4,5aIVCx5tnk0ntmdiinnYvw,USSM12305126
6,"Needle (feat. Drake)","Nicki Minaj,Drake",110,9B,59,2025-02-13,03:55,62,"rap","Pink Friday 2",2023-12-08,81,27,0,35,10,10,-7,G Major,4,4I4G0LD277PWvfblYtSf91,USUM72318690
7,"Lil Boo Thang","Paul Russell",114,8B,70,2025-02-13,01:54,78,"","Lil Boo Thang",2023-08-18,85,15,0,92,0,30,-3,C Major,4,0cVyQfDyRnMJ0V3rjjdlU3,USAR12300323
8,"Bestie","Rotimi",99,10B,70,2025-02-13,02:54,37,"afrobeats, afrobeat","Bestie",2023-09-08,68,11,6,17,0,10,-8,D Major,4,0O3oO62iQhp16xX0Z7lqNW,USUYG1503604
9,"Money Ain't A Thang","JAŸ-Z,Jermaine Dupri",100,11A,70,2025-02-13,04:13,45,"hip hop, east coast hip hop, rap, southern hip hop","Vol.2... Hard Knock Life",1998-11-29,86,5,0,86,20,10,-8,F#/G♭ Minor,4,3dT126FgdirenOn5aDXHBE,USRL19800897
10,"THE HIVE (feat. Giggs)","Busta Rhymes,Giggs",130,3B,59,2025-02-13,02:49,25,"east coast hip hop, grime, uk grime, uk drill","BLOCKBUSTA",2023-11-24,76,0,0,12,0,10,-7,C♯/D♭ Major,4,43E72npx0X4c3ldo0z9JPU,USSM12306655
