#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Animal I Have Become","Three Days Grace",122,4B,85,2025-03-04,03:51,83,"post-grunge, rock","One-X",2006-06-25,55,0,0,51,0,10,-4,G#/A♭ Major,4,56sk7jBpZV0CD31G9hEU3b,USJI10600117
2,"Pain","Three Days Grace",161,9B,74,2025-03-04,03:22,73,"post-grunge, rock","One-X",2006-06-25,42,1,0,29,0,20,-4,G Major,4,5PZ2cqh9Yem2g6cTSOLllz,USJI10600159
3,"Never Too Late","Three Days Grace",150,7A,78,2025-03-04,03:29,77,"post-grunge, rock","One-X",2006-06-25,43,1,0,22,0,10,-5,D Minor,4,3HE50TVRquwXe9yv2HFoNL,USJI10600166
4,"On My Own","Three Days Grace",117,9B,85,2025-03-04,03:05,59,"post-grunge, rock","One-X",2006-06-25,57,2,0,27,0,20,-4,G Major,4,4FGQwSKgEykxtBwb2px8ug,USJI10600156
5,"Get Out Alive","Three Days Grace",118,6A,90,2025-03-04,04:22,62,"post-grunge, rock","One-X",2006-06-25,49,0,0,8,0,0,-5,G Minor,4,6hHpXo2XMMKR5lIfa19aLM,USJI10600163
6,"Let It Die","Three Days Grace",97,8B,88,2025-03-04,03:09,59,"post-grunge, rock","One-X",2006-06-25,45,0,0,31,0,10,-3,C Major,4,6NAmbftWAovcMCnJzDCFsU,USJI10600157
7,"Bleed It Out","Linkin Park",140,1B,97,2025-03-04,02:44,83,"nu metal, rap metal, rock, alternative metal","Minutes to Midnight",2007-05-14,54,11,0,60,0,60,-3,B Major,4,0UFDKFqW2oGspYeYqo9wjA,USWB10701213
8,"What I've Done","Linkin Park",120,7B,94,2025-03-04,03:25,87,"nu metal, rap metal, rock, alternative metal","Minutes to Midnight",2007-05-14,63,1,0,29,0,10,-5,F Major,4,18lR4BzEs7e3qzc0KVkTpU,USWB10700721
9,"Leave Out All The Rest","Linkin Park",80,8B,64,2025-03-04,03:29,77,"nu metal, rap metal, rock, alternative metal","Minutes to Midnight",2007-05-14,51,21,0,18,0,30,-6,C Major,4,0sp00HSXkQyqTa6QqM0O8V,USWB10701212
10,"Shadow of the Day","Linkin Park",110,1B,38,2025-03-04,04:49,72,"nu metal, rap metal, rock, alternative metal","Minutes to Midnight",2007-05-14,53,1,2,6,0,10,-8,B Major,4,0OYcEfskah1egYHjYRvbg1,USWB10701214
11,"Valentine's Day","Linkin Park",108,8B,66,2025-03-04,03:16,60,"nu metal, rap metal, rock, alternative metal","Minutes to Midnight",2007-05-14,65,2,4,40,0,20,-6,C Major,4,2vfshZvISOKy2Je7wQBWOV,USWB10701217
12,"In Pieces","Linkin Park",160,4B,89,2025-03-04,03:38,65,"nu metal, rap metal, rock, alternative metal","Minutes to Midnight",2007-05-14,51,1,0,80,0,10,-6,G#/A♭ Major,4,7jeI6EdY0elPSNz80mAKS8,USWB10701219
13,"The Kill","Thirty Seconds To Mars",183,9A,91,2025-03-04,03:51,82,"","A Beautiful Lie",2005-08-16,18,0,0,29,0,50,-4,E Minor,3,0lP4HYLmvowOKdsQ7CVkuq,USVI20500136
14,"From Yesterday","Thirty Seconds To Mars",135,6B,88,2025-03-04,04:07,66,"","A Beautiful Lie",2005-08-16,47,1,1,13,0,0,-5,A#/B♭ Major,4,1JBa9B1iA4yNVpJ5wVGrZH,USVI20500138
15,"The Story","Thirty Seconds To Mars",177,3B,67,2025-03-04,03:55,43,"","A Beautiful Lie",2005-08-16,36,18,1,41,0,30,-7,C♯/D♭ Major,4,6xKos15gJxZ9J3Q9qnSUU5,USVI20500139
