#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Call Me","Blondie",143,7A,83,2025-05-03,03:32,74,"","Call Me",2004-01-01,55,0,0,77,0,0,-7,D Minor,4,7HKxTNVlkHsfMLhigmhC0I,USCH39800016
2,"crushcrushcrush","Paramore",137,12A,79,2025-05-03,03:09,71,"pop punk, emo","Riot!",2007-06-12,63,0,0,65,0,10,-4,C♯/D♭ Minor,4,3VA4sjTMSTTF02hFGmlpJh,USAT20702606
3,"Womanizer","Britney Spears",139,1B,70,2025-05-03,03:44,83,"pop","Circus (Deluxe Version)",2008-12-02,72,7,0,24,0,0,-5,B Major,4,4fixebDZAVToLbUCuEloa2,USJI10800838
4,"Obsessed","Mariah Carey",86,3A,47,2025-05-03,04:02,76,"christmas","Memoirs of an imperfect Angel",2009-09-29,74,5,0,37,0,80,-6,A#/B♭ Minor,4,3IcIIZMMS7UArJJPtEHXG8,USUM70973055
5,"Straight Up","Paula Abdul",96,9B,83,2025-05-15,04:11,66,"","Forever Your Girl",1988-01-01,77,27,2,76,0,0,-8,G Major,4,5xl5582IihbEZAnfj0xyso,USVI28800001
6,"Stop","Spice Girls",130,7A,85,2025-05-03,03:24,69,"","Spiceworld",1997-01-01,72,29,0,97,0,0,-4,D Minor,4,3FteycP8CaXS1MhjcXekVT,GBAAA9710053
7,"That Don't Impress Me Much","Shania Twain",125,3B,76,2025-05-03,03:38,63,"country","Come On Over",1997-11-04,76,24,0,97,0,0,-8,C♯/D♭ Major,4,4FUfoWMypAyWbOavmYyeNu,USMR19900016
8,"Hit Me With Your Best Shot","Pat Benatar",127,12B,58,2025-05-03,02:51,73,"aor","Crimes Of Passion",1980-08-05,74,12,0,94,0,20,-9,E Major,4,0vOkmmJEtjuFZDzrQSFzEE,USCH38400009
9,"One Way Or Another","Blondie",162,10B,92,2025-05-03,03:37,74,"","Parallel Lines",1978-09-23,44,5,0,86,0,0,-5,D Major,4,59CLe8stbcx4XYBWdsfbwK,USCH38500014
10,"Boys Boys Boys","Lady Gaga",123,11B,66,2025-05-03,03:20,53,"art pop, pop","The Fame",2008-01-01,72,1,0,82,0,10,-5,A Major,4,129NQr4tA6j60b59rflcTY,USUM70824399
11,"Crash","Gwen Stefani",126,11B,93,2025-05-03,04:06,45,"","Love. Angel. Music. Baby. (Deluxe Version)",2004-11-12,79,2,0,93,0,80,-2,A Major,4,6HJxf2Vnveoo5Hm7sZ7qOp,USIR10400852
12,"Candyman","Christina Aguilera",173,1A,79,2025-05-03,03:14,67,"","Back To Basics",2006-08-14,69,1,1,72,20,10,-5,G#/A♭ Minor,4,5lUTzPuiloBHm1qEaJcJfF,USRC10600413
13,"Promiscuous","Nelly Furtado,Timbaland",114,3A,97,2025-05-03,04:02,89,"","Loose",2006-01-01,81,6,0,87,0,10,-6,A#/B♭ Minor,4,2gam98EZKrF9XuOkU13ApN,USUM70603473
14,"Crazy Cool","Paula Abdul",88,12A,83,2025-05-03,04:42,28,"","Head Over Heels",1995-00-00,64,4,0,57,10,10,-6,C♯/D♭ Minor,4,6RH2MM9oW0wgdUnD6yIv0v,USVI29501177
15,"If","Janet Jackson",106,10A,98,2025-05-03,04:31,57,"new jack swing","Janet",1993-05-18,65,4,0,45,0,50,-5,B Minor,4,0t414ewhjcIiuPVF3QECz2,GBAAA9300172
16,"Fantasy","Mariah Carey",102,9B,73,2025-05-03,04:03,80,"christmas","Daydream",1995-10-03,67,14,0,81,0,10,-8,G Major,4,6xkryXuiZU360Lngd4sx13,USSM19501031
17,"Radar","Britney Spears",128,9A,72,2025-05-15,03:49,61,"pop","Blackout",2007-10-25,64,29,0,51,10,30,-5,E Minor,4,29Srmzqyig5Tg5EitFXsb8,USJI10700730
18,"Into You","Ariana Grande",108,11B,73,2025-05-03,04:04,2,"pop","Dangerous Woman",2016-05-20,64,2,0,36,10,10,-6,A Major,4,7yHEDfrJNd0zWOfXwydNH0,USUM71601827
19,"Hung Up","Madonna",125,8A,65,2025-05-15,05:37,83,"","Confessions on a Dance Floor",2005-11-11,65,0,16,41,0,0,-8,A Minor,4,3850dYVgOFIXJh5U4BFEWH,USWB10504319
20,"Looking Hot","No Doubt",128,6A,89,2025-05-15,04:42,39,"","Push And Shove",2012-01-01,61,0,1,41,0,10,-4,G Minor,4,0DRvLkBUlGjEQUQKr1uP4M,USUM71209062
21,"Can't Make You Love Me","Britney Spears",108,5A,92,2025-05-15,03:17,46,"pop","Oops!... I Did It Again",2000-05-16,81,12,0,87,0,10,-4,C Minor,4,7pY6xLJqmezJNG7VwuKVSH,USJI10000151
