#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"STARSTRUKK","3OH!3",140,6B,62,2025-11-07,03:04,43,"","WANT (Deluxe)",2009-01-16,86,0,0,50,10,10,-5,A#/B♭ Major,4,0iyCaYJu5TzFnzn9pG4BYf,USAT20802558
2,"ICANTDOITALONE","3OH!3",160,9A,95,2025-11-07,03:00,38,"","WANT (Deluxe)",2009-01-16,67,0,0,68,10,0,-3,E Minor,4,2wQuGMuWlQhbXdteZr9vau,USAT20802557
3,"PHOTOFINNISH","3OH!3",137,9B,70,2025-11-07,03:54,35,"","WANT (Deluxe)",2009-01-16,77,0,0,35,50,30,-5,G Major,4,4wV8OMNLXhYL2sT3ty0mBH,USAT20802560
4,"PUNKBITCH","3OH!3",146,4A,83,2025-11-07,03:51,41,"","WANT (Deluxe)",2009-01-16,59,1,0,57,10,10,-3,F Minor,4,0d1rh7Iq1OHTd9mXhj9t9o,USAT20802553
5,"RICHMAN","3OH!3",162,4A,81,2025-11-07,03:19,62,"","WANT (Deluxe)",2009-01-16,59,0,0,52,30,70,-4,F Minor,4,1Q1lQKlgXBXWF1Bb8eRvhq,USAT20802559
6,"IMNOTYOURBOYFRIENDBABY","3OH!3",140,5A,75,2025-11-07,03:44,42,"","WANT (Deluxe)",2009-01-16,66,2,0,65,10,30,-5,C Minor,4,3fxvczs7NWmchicbR348EB,USAT20802556
7,"DONTTRUSTME","3OH!3",130,4A,71,2025-11-07,03:12,57,"","WANT (Deluxe)",2009-01-16,79,2,0,51,20,10,-4,F Minor,4,4H1ZiD0aytFHoOiosVmT1w,USAT20802554
8,"COLORADOSUNRISE","3OH!3",150,2B,75,2025-11-07,03:22,38,"","WANT (Deluxe)",2009-01-16,59,1,0,34,20,0,-5,F#/G♭ Major,4,7wr313wOAZNv210lS1wJUv,USAT20802563
9,"STILLAROUND - BigMix Remix","3OH!3,Matt Squire",148,6A,83,2025-11-07,03:25,29,"","WANT (Deluxe)",2009-01-16,43,5,0,31,0,10,-5,G Minor,4,0TcT54YRPpghERjg45cMtP,USAT20902551
10,"Dirty Mind","3OH!3",93,12B,86,2025-11-07,03:17,67,"","Dirty Mind",2011-12-20,64,3,0,58,20,20,-4,E Major,4,0R97k5AJy1udJI6mGV82FJ,USAT21103579
11,"INSIDE BOY","3OH!3",83,4B,74,2025-11-07,03:07,26,"","NIGHT SPORTS",2016-05-13,47,2,0,24,10,0,-6,G#/A♭ Major,4,1a4JhcMJTkdLWQDx24Rlcv,USAT21600615
