#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Danny Phantom (From  Danny Phantom )","Geek Music",120,3A,49,2025-11-23,02:03,37,"anime","Danny Phantom (From  Danny Phantom )",2020-07-09,84,1,0,57,0,10,-10,A#/B♭ Minor,4,26jKQXWE89D5bhSgkBSEhm,QZ5FN2062253
2,"Danny Phantom (feat. XXXTENTACION)","Trippie Redd,XXXTENTACION",147,10A,80,2025-11-23,02:16,52,"melodic rap, emo rap","Trip At Knight",2021-08-21,63,16,0,81,40,30,-7,B Minor,4,2CxXnPvHjWOrzSVvNs0j8c,QZJ842001150
3,"Danny Phantom","Medusa",160,3A,58,2025-11-23,04:19,34,"","Residuals",2018-03-19,71,26,2,73,20,10,-10,A#/B♭ Minor,4,4JSi9JnH9qb7IvxZmhwNxF,QZBRF1891016
4,"Danny Phantom","Summer Jones",114,10A,56,2025-11-23,01:54,23,"","Danny Phantom",2024-09-13,82,56,0,55,0,10,-5,B Minor,4,6Lq9EywBzav3QqeARcQAqf,QZTL92486630
5,"Danny Phantom","Jutes",88,1B,79,2025-11-23,02:14,34,"","Danny Phantom",2021-09-29,58,19,0,55,0,20,-5,B Major,4,2pytZMsJ05YzfXXGjCLfIz,QM24S2105829
6,"Danny Phantom","Spencer Jordan",157,2B,57,2025-11-23,03:32,0,"","Danny Phantom",2021-02-11,68,46,0,43,20,0,-8,F#/G♭ Major,4,4KfMIwMprfFmHNFoEz6qzl,QZEQU2100048
7,"Call Me, Beep Me! (The Kim Possible Song)","Christina Milian",120,6A,80,2025-11-23,02:37,47,"","Songs from Kim Possible (Original Soundtrack)",2020-01-24,89,9,0,88,0,0,-5,G Minor,4,47HmhXbYlMIxpN2ChwNMh9,USWD10220422
8,"Rugrats - Main Theme","Geek Music",102,8B,52,2025-11-23,00:45,35,"anime","Rugrats - Main Theme",2018-09-28,70,35,56,29,0,20,-13,C Major,4,2Vb4AMPe5sUp8e9oMkeLIt,USLZJ1868462
9,"Mailtime","Blues Clues",125,11B,39,2025-11-23,02:22,34,"children's music","Blue's Clues: Blue's Biggest Hits",2006-08-22,72,23,0,44,90,60,-10,A Major,4,5cTjrlOON48KI2zVgynclq,USN1R0603006
10,"Happy Tappin' with Elmo","Elmo,Sesame Street",96,5A,84,2025-11-23,01:30,48,"children's music","Sesame Street: Elmo's Dance Party",2018-07-13,87,46,0,88,20,0,-9,C Minor,4,15MSguIhOLq9qEphs2bIE1,USWB11803242
