#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Streets of Minneapolis - Radio Mix","Bruce Springsteen",110,10B,80,2026-01-29,04:30,60,"","Streets of Minneapolis (Radio Mix)",2026-01-28,61,14,0,77,0,60,-3,D Major,4,6AtgHxdvghUjcjdPX1VhWN,USSM12600334
2,"FUCK ICE","Brick + Mortar",105,7B,95,2026-03-11,01:39,38,"","FUCK ICE",2026-02-10,73,12,0,87,10,30,-4,F Major,4,683APargCzumJWTjmM10b7,QT65Y2622758
3,"Fuck I.C.E. I.C.E. Baby","No$hu",116,9B,62,2026-01-25,02:55,41,"","Fuck I.C.E. I.C.E. Baby",2025-06-09,98,7,0,72,20,10,-9,G Major,4,1aXwiWmAuSa5ny6kx1ozuw,QZTB22579856
4,"Hostile Government Takeover - EDM Remix","AGiftFromTodd,Vinny Marchi",124,11A,89,2026-01-25,02:39,48,"sea shanties","Hostile Government Takeover (EDM Remix)",2025-02-12,72,1,0,50,0,20,-9,F#/G♭ Minor,4,1Ztfx8ORaPdsvSZeHRglgr,QZES82533683
5,"The Kids Are Alt-Right","Bad Religion",188,10B,92,2026-01-25,02:43,32,"punk, skate punk, hardcore punk, melodic hardcore, ska punk","The Kids Are Alt-Right",2018-06-20,38,0,0,60,0,20,-4,D Major,4,2jaarBZJE7yviC71Gkggif,USEP41830001
6,"THREAT LEVEL ORANGE","Earth to Eve",95,3B,54,2026-01-25,02:33,57,"","THREAT LEVEL ORANGE",2025-07-21,81,20,0,55,20,20,-8,C♯/D♭ Major,4,1UPHGJN6cTrItIx5U0pcVU,QMDA62557629
7,"Control Alt-Right Delete","The Briggs",140,12B,74,2026-01-25,03:23,40,"celtic punk, punk, skate punk, celtic rock, ska punk, folk punk","Control Alt-Right Delete",2016-12-09,61,0,0,30,0,10,-7,E Major,4,3KixO3ab5qAP0TGzI7A7gz,TCACU1640318
8,"Idiots Are Taking Over","NOFX",145,11B,96,2026-01-25,03:21,0,"punk, skate punk, ska punk, ska, melodic hardcore, hardcore punk","War on Errorism",2003-08-19,35,0,0,54,20,0,-4,A Major,4,7DtwSlXsEy9mrsxxQW9Mm8,USFW40465704
9,"Fuck I.C.E.","No$hu",90,10B,61,2026-01-25,02:53,33,"","Fuck I.C.E.",2025-06-07,92,54,0,70,20,10,-7,D Major,4,6PjfJtjyIQBnEVUhVXLdJH,QZTB22501433
10,"Make America Hate Again","Marcel Cartier,Agent of Change",79,1B,78,2026-01-25,04:51,19,"","Red Flag Revival",2017-11-07,63,17,0,54,30,20,-6,B Major,4,3vkCGr3IlRyEjVcgdMY0VN,QZ5AB1790699
11,"I Pledge Allegiance to the Oppressed","Steel City Jeff",108,5A,43,2026-01-25,02:42,22,"","I Pledge Allegiance to the Oppressed",2025-07-06,88,41,0,12,20,30,-11,C Minor,4,6RXk7upDvF4YHmKMTXcBBd,SE6XW2508153
12,"White America","Eminem",77,3B,62,2026-01-25,05:24,67,"rap, hip hop","The Eminem Show",2002-05-26,56,1,0,16,20,10,-6,C♯/D♭ Major,4,15qrWkkYCfmtu1uRpGf48L,USIR10211052
13,"Darkness","Eminem",75,10B,62,2026-01-26,05:37,58,"rap, hip hop","Music To Be Murdered By",2020-01-17,67,1,0,20,30,60,-7,D Major,4,5SiZJoLXp3WOl3J4C8IK0d,USUM72000789
14,"No Justice No Peace","Tory Lowe",93,10B,69,2026-01-25,03:47,18,"","No Justice No Peace",2014-07-25,75,8,0,18,10,30,-7,D Major,4,3bLj5Y01MOKGjOl6kNfhwm,ushm81420803
15,"fuck ice","Chrissa Sparkles",130,9B,70,2026-01-25,01:36,47,"","fuck ice",2025-06-12,82,11,0,60,10,10,-7,G Major,4,3RQCQy7XtUsUwqb40jFy7h,QZTB42510634
