#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"In Da Club","50 Cent",90,11A,72,2026-01-29,03:13,78,"old school hip hop, east coast hip hop","Get Rich Or Die Tryin'",2003-02-06,90,26,0,81,30,0,-3,F#/G♭ Minor,4,4RY96Asd9IefaL3X4LOLZ8,USIR10300033
2,"Stayin Alive x In Da Club (Mashup)","Antifarox,DJ Kuff",104,3A,64,2026-01-29,03:27,54,"rkt, turreo","Stayin Alive x In Da Club (Mashup Mix)",2025-01-05,81,48,0,96,10,0,-12,A#/B♭ Minor,4,3JsPk7ZPo3ruhkNVhknVvA,AR5UH2401467
3,"In Da Club","1950 SoulClub,1960 SoulClub,Lewis Hanton",169,4A,78,2026-01-29,03:37,39,"soul blues, ","1950s Soul Club : Classis Song Covers",2025-11-12,39,13,0,70,0,10,-5,F Minor,4,79819fAGWpdwZcpsue7fo2,QZAKB2535487
4,"In da Club","Josh Vietti",90,10B,53,2026-01-29,02:29,45,"classical crossover","In da Club",2014-12-15,85,11,79,73,20,0,-8,D Major,4,0qeeTwy8uJA1F6mOIMcUQF,TCACC1464008
5,"In Da Club - Live In New York City","50 Cent",90,10B,71,2026-01-29,03:18,26,"old school hip hop, east coast hip hop","If I Can't",2004-09-16,81,77,0,74,30,30,-4,D Major,4,0i9ZXQLXk9Svqob0p5y7C4,USIR10312527
6,"30","Badflower",135,11B,97,2026-01-29,03:46,51,"post-grunge","30",2020-07-17,55,0,0,37,10,0,-4,A Major,3,6nipZlJiUvI0I7lCf1Z7Li,USCJY2054091
7,"Thirty-One","neversaydie",99,8B,91,2026-01-29,03:03,0,"pop punk","Home Sweet Home",2022-03-18,61,1,0,91,0,70,-7,C Major,4,4M8ma37Fzv8iAtW50P8GsB,QZDA52256974
8,"What's My Age Again?","blink-182",158,2B,95,2026-01-29,02:28,81,"pop punk, punk, rock, skate punk, emo","Enema Of The State",1999-06-01,39,1,0,47,0,0,-7,F#/G♭ Major,4,4LJhJ6DQS7NwE7UKtvcM52,USMC19959007
9,"Teenage Dirtbag","Social Repose",105,12B,78,2026-01-29,03:31,32,"","Teenage Dirtbag",2024-07-31,49,1,0,44,0,10,-8,E Major,4,1TMBqNmS1nXo0BnA2sV3CH,QZTAZ2465723
10,"Teenage Dirtbag","Scott Bradlee's Postmodern Jukebox,Jax",167,11B,50,2026-01-29,03:54,33,"swing music, jazz pop, electro swing, ","33 Resolutions Per Minute",2017-01-05,37,65,0,49,0,30,-6,A Major,4,3tD1y4fp6O23n57Jsmkmx5,GBDMT1600277
11,"Teenage Dirtbag (Acoustic)","Wheatus",177,12B,36,2026-01-29,04:32,52,"","Teenage Dirtbag 2020 / Mope",2020-08-15,38,82,0,43,0,10,-8,E Major,4,2l2i0FeYCBkK0OdPMuBGeW,USBWN2000016
12,"Too Much Time On My Hands","Styx",131,10A,57,2026-01-29,04:31,45,"classic rock, aor, progressive rock","Greatest Hits",1995-01-01,77,15,0,93,0,40,-9,B Minor,4,3bhMGxESuo1Ryatw1Vvz3m,USAM18000370
13,"Queen Of Spades","Styx",136,12A,60,2026-01-29,05:37,9,"classic rock, aor, progressive rock","Greatest Hits Part 2",1996-01-01,26,8,0,12,0,10,-8,C♯/D♭ Minor,4,24j6WJKUMD8K7OHxPeDiw7,USAM17802305
14,"The Grand Illusion","Styx",94,3B,75,2026-01-29,04:35,40,"classic rock, aor, progressive rock","Greatest Hits",1995-01-01,33,8,0,50,0,0,-6,C♯/D♭ Major,4,39jTPLUuN2sVpUrJlbrgNp,USAM17700368
