#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Pop","*NSYNC",120,1B,86,2026-03-09,03:58,61,"","Celebrity",2001-07-23,71,3,0,92,10,10,-7,B Major,4,0Jc8qF1mUPo1A96HE9QxZz,USJI10100205
2,"Wannabe","Spice Girls",110,1B,86,2026-03-10,02:53,83,"","Spice",1996-01-01,77,10,0,89,0,10,-6,B Major,4,1Je1IMUlBXcx1Fz0WE7oPT,GBAAA9600008
3,"...Baby One More Time","Britney Spears",93,5A,70,2026-03-10,03:31,86,"pop","...Baby One More Time (Digital Deluxe Version)",1999-01-12,76,20,0,91,0,40,-6,C Minor,4,3MjUtNVVq3C8Fn0MP3zhXa,USJI19810404
4,"Everybody (Backstreet's Back) - Extended Version","Backstreet Boys",108,3A,81,2026-03-10,04:47,64,"","Backstreet Boys",1996-00-00,79,1,0,51,0,20,-5,A#/B♭ Minor,4,5WTxbyWTpoqhdxEN2szOnl,USJI19710084
5,"Let's Get It Started - Spike Mix","Black Eyed Peas",105,10A,79,2026-03-10,03:37,79,"","Elephunk",2003-06-24,78,11,0,81,10,30,-2,B Minor,4,4hfIVhq0F0zFUcrbecsYmo,USIR10400364
6,"Get the Party Started","P!nk",129,10A,90,2026-03-10,03:12,72,"","M!ssundaztood (Expanded Edition)",2001-00-00,80,0,0,96,0,10,-3,B Minor,4,02jcEwywffn3Tsb48fXmlW,USAR10100717
7,"Aaron's Party (Come Get It)","Aaron Carter",117,3B,89,2026-03-10,03:24,42,"bubblegum pop","Aaron's Party (Come Get It)",2000-09-26,94,5,0,91,10,0,-4,C♯/D♭ Major,4,4fF34Yf5KsfUbCORyLGpEj,USJI10000296
8,"Blue (Da Ba Dee) - Gabry Ponte Video Edit","Eiffel 65,Gabry Ponte",128,6A,97,2026-03-10,03:39,71,"italo dance, eurodance, europop, slap house","Blue (Da Ba Dee)",1998-11-11,83,23,0,73,0,40,-11,G Minor,4,7lMIJ4EFWRVoAIPDpeGyM3,ITT019810115
9,"Around the World (La La La La La)","A Touch Of Class,Pete Konemann",132,8A,98,2026-03-10,03:34,79,"europop, eurodance, ","Planet Pop",2000-11-06,62,15,0,68,0,10,-7,A Minor,4,7CvOnbFdnIoXMQ4eFCo5lB,DEP810000008
10,"Candy","Mandy Moore",100,9B,84,2026-03-10,03:54,56,"","So Real",1999-10-25,81,18,0,68,0,10,-4,G Major,4,2YhE6xeWN0R9RVwEOG9lR1,USSM19901378
11,"I Want Candy","Aaron Carter",110,4B,90,2026-03-10,03:13,46,"bubblegum pop","Aaron's Party (Come Get It)",2000-09-26,79,1,0,95,0,0,-4,G#/A♭ Major,4,7sruBwHu4S0DIo8RXKxsAY,USJI10000281
12,"We've Got It Goin' On - Radio Edit","Backstreet Boys",113,2A,88,2026-03-10,03:39,53,"","Backstreet Boys",1996-00-00,76,9,0,91,0,20,-5,D#/E♭ Minor,4,2rtDTRFjBoqyj2rgi5mOAF,GBAHK9500138
13,"If You Want It To Be Good Girl (Get Yourself a Bad Boy)","Backstreet Boys",114,8A,87,2026-03-10,04:49,38,"","Backstreet Boys",1996-00-00,76,15,0,83,0,0,-5,A Minor,4,4PRlfsuWbWfVvU2RMZKp1R,USJI19710098
14,"Can't Have You","LFO,Stargate",111,2B,84,2026-03-10,04:02,26,"","LFO",1999-08-10,77,26,0,72,10,70,-4,F#/G♭ Major,4,71987vR9imrtdlvb7EOeXC,DEA819900425
15,"West Side Story","LFO",100,11B,79,2026-03-10,03:28,32,"","LFO",1999-08-10,69,10,0,30,0,30,-4,A Major,4,4KJKJUetg7Gs3e0MAoSIzX,DEA819900514
