#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"John Wick Mode","Le Castle Vania",124,8B,87,2026-03-20,03:07,60,"","John Wick: Chapter 2 (Original Motion Picture Soundtrack)",2017-02-10,68,0,84,22,0,20,-5,C Major,4,2zwcnaxahJOnYwG0H6tXTz,US3M51747214
2,"Terminator","Alok,SOLANCE",130,4B,97,2026-03-21,03:04,45,"brazilian bass, electronic, slap house, electro house, melodic techno","Terminator",2025-07-18,70,1,13,89,0,30,-4,G#/A♭ Major,4,5EEy0nUbdar0oRfTAbuUUC,BE5KW2500838
3,"Out the Speakers","A-Trak,Milo & Otis,Rich Kidz",104,3B,92,2026-03-21,03:13,33,"disco house, moombahton, edm trap, ","Out the Speakers",2014-05-20,67,1,84,28,0,90,-3,C♯/D♭ Major,4,1Nt23Ke8HuOZiYsT7Zabxp,QMSDU1400075
4,"The Twilight Zone Main Theme","Geek Music",124,3B,51,2026-03-21,00:42,24,"anime","The Twilight Zone Main Theme",2018-06-23,64,95,78,32,0,0,-14,C♯/D♭ Major,1,5K0gpAO4ZOxpxF6tMnOLXN,QZ5FN1896678
5,"YOU CAN ASK THE FLOWERSYOU CAN ASK THE FLOWERS - HORROR MIX","Nia Blake",120,4A,27,2026-03-21,01:36,59,"","YOU CAN ASK THE FLOWERS (HORROR MIX)",2025-06-25,68,39,0,62,0,50,-11,F Minor,4,6Rt1erogKxkqAgD6eU41j1,US92U2500806
6,"1.2_1-IwillbeCTO.m4p","Mac Quayle",100,10B,22,2026-03-21,03:11,29,"soundtrack","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)",2016-06-03,70,66,91,23,0,10,-18,D Major,4,1Ew2YVSOiIEI7ieTsPhUgn,USLS51661316
7,"1.0_8-whatsyourask.m4p","Mac Quayle",136,3A,39,2026-03-21,01:37,43,"soundtrack","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)",2016-06-03,53,27,87,3,0,10,-15,A#/B♭ Minor,4,0QmIPFQ3h0yVPgHsfqpy05,USLS51661308
8,"1.0_3-fucksociety.mp3","Mac Quayle",112,3B,38,2026-03-21,02:12,37,"soundtrack","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)",2016-06-03,40,96,89,49,0,10,-24,C♯/D♭ Major,3,3sdkizwy9pJJABWimxp6Hu,USLS51661303
9,"1.0_1-hellofriend.wav","Mac Quayle",59,7A,27,2026-03-21,01:16,33,"soundtrack","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)",2016-06-03,13,88,77,4,0,10,-22,D Minor,3,2fFlmlePz9hrVMv4LvdQxN,USLS51661301
10,"Where Is My Mind","Safari Riot,Grayson Sanders",162,4B,34,2026-03-21,03:02,41,"christmas","Where Is My Mind",2018-08-17,15,2,8,8,0,10,-10,G#/A♭ Major,4,2X8S0sObGFG5rkSvieOx9M,GBKPL1819066
11,"Main Title Theme - Westworld","Ramin Djawadi",111,7B,36,2026-03-21,01:41,50,"soundtrack, score","Westworld: Season 1 (Music from the HBO Series)",2016-12-05,46,64,95,6,0,10,-11,F Major,3,2sw8teIvVMRZKKYD5p795f,USNLR1600920
12,"Sweetwater","Ramin Djawadi",84,9A,31,2026-03-21,02:53,42,"soundtrack, score","Westworld: Season 1 (Music from the HBO Series)",2016-12-05,60,71,84,7,0,10,-16,E Minor,4,6GnihxGXNy1CRiiNrsqYeM,USNLR1601018
13,"This World","Ramin Djawadi",146,8B,5,2026-03-21,02:29,40,"soundtrack, score","Westworld: Season 1 (Music from the HBO Series)",2016-12-05,16,90,91,4,0,0,-20,C Major,4,0gXXLzNzgXK8WkgVDKG3Kw,USNLR1601019
14,"Online","Ramin Djawadi",111,12B,7,2026-03-21,04:19,31,"soundtrack, score","Westworld: Season 1 (Music from the HBO Series)",2016-12-05,19,92,81,3,0,10,-26,E Major,4,6NPzSWfIF2YSNavlc4R1RY,USNLR1601020
15,"I Robot","The Alan Parsons Project",91,9B,56,2026-03-21,06:02,48,"progressive rock, classic rock","I Robot",1977-07-08,61,40,82,56,0,10,-20,G Major,4,2QSuqxALyh7JFoQEBxyo0H,USAR18400134
16,"Mr. Roboto","Styx",144,3B,48,2026-03-21,05:28,63,"classic rock, aor, progressive rock","Kilroy Was Here",1983-01-01,66,19,0,31,0,0,-12,C♯/D♭ Major,4,7C0rG4oWO7VeZcffyW1sK9,USAM18300364
17,"Blue Monday","New Order",130,8B,65,2026-03-21,07:29,76,"new wave, synthpop, post-punk, madchester","Substance",1987-08-17,76,0,86,94,0,10,-13,C Major,4,6hHc7Pks7wtBIW8Z6A0iFq,GBAAP0001115
18,"Punkrocker (feat. Iggy Pop)","Teddybears,Iggy Pop",142,7A,80,2026-03-20,04:06,70,"proto-punk, glam rock","Soft Machine (U.S. Version)",2006-09-19,55,0,66,31,0,10,-6,D Minor,4,5JqMWnxVKjJZ2NNOEux46S,USAT20611879
19,"Extreme Ways","Moby",100,8A,78,2026-03-20,03:57,59,"downtempo, trip hop","18 & 18 B-Sides",2002-00-00,51,0,0,55,0,10,-8,A Minor,4,5dcUUklOiH01fVEH5pmWRs,GBAJH0200051
20,"I Follow Rivers","Lykke Li",122,8A,53,2026-03-20,03:48,65,"","Wounded Rhymes",2011-00-00,60,48,0,61,0,20,-14,A Minor,4,336ZYcU6poBWi3s8yzRcAD,SEVUM1000502
21,"Called Out In The Dark","Snow Patrol",120,8B,71,2026-03-20,04:01,49,"","Fallen Empires",2011-01-01,73,2,0,96,0,0,-5,C Major,4,4BBt0kc625eUAdG2XpWPHm,GBUM71105911
22,"Don't Stop (Color on the Walls)","Foster The People",133,12A,95,2026-03-20,02:54,62,"","Torches",2011-05-23,61,0,10,79,0,10,-4,C♯/D♭ Minor,4,4HRa9ZWcmZ8JD7UySPu0wT,USSM11101701
