#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"When the Love is Gone","Des Rocs",142,9A,82,2026-04-21,03:20,32,"","Fall Together",2026-04-15,46,0,62,49,0,20,-4,E Minor,4,7DHdCB4fCWeIgNkUJBaaRq,USFYZ2557602
2,"Don't Speak","Culture Wars",154,1A,90,2026-04-21,03:43,65,"","Don't Speak",2026-04-10,40,3,0,47,0,10,-2,G#/A♭ Minor,4,2YB7LLj8xZcd4pDs0UBM6i,QM4TX2683818
3,"Your Chaos","NOMARKMORE",124,2B,45,2026-04-21,03:45,62,"","Exhibition Number Zero",2025-12-01,74,11,0,65,0,30,-7,F#/G♭ Major,4,5N7Cdi5Te9E3rejjuyRwll,QT6ET2567792
4,"Event Horizon","NOMARKMORE",140,4A,32,2026-04-23,03:15,38,"","Exhibition Number Zero",2025-12-01,74,16,0,56,0,10,-10,F Minor,4,6hzj2O98TysOt0tu6Yc9OJ,QT6ET2567789
5,"High Horse","Black Pistol Fire",80,3B,69,2026-04-21,02:48,47,"blues rock, modern blues, garage rock","Flagrant Act of Bliss",2026-01-23,63,4,0,69,0,30,-5,C♯/D♭ Major,4,5UiwpYH8hfVR6CAvzzrP7B,QZWH32500584
6,"The Big Fuss","Modern Alibi",90,5A,55,2026-04-21,03:00,52,"","The Big Fuss",2026-04-10,40,1,0,54,0,20,-7,C Minor,4,7Fi1l9OS51Q9ZeN2WfqHxP,QT65Z2691501
7,"Save Me Some Sunshine","Rafferty",178,10B,76,2026-04-21,03:37,59,"","Save Me Some Sunshine",2016-11-30,50,8,3,54,0,0,-4,D Major,4,68vTrjlrczwHWioLZ5p0Rt,TCACT1652450
8,"SUGAR","Elba Rose",164,4A,54,2026-04-22,02:57,28,"","SUGAR",2026-03-20,70,13,3,47,0,30,-11,F Minor,4,2XTFxS6tjPzRslHheCtAJf,GX7WH2400003
9,"White Flower","Rafferty",143,10A,83,2026-04-22,03:44,55,"","White Flower - EP",2018-01-17,50,8,0,60,10,30,-4,B Minor,4,68bLpWhZivilbacdheOIQz,TCADK1748276
10,"Taste It","Modern Alibi",145,7A,88,2026-04-22,02:50,58,"","American Radio",2025-04-04,57,0,0,59,0,0,-6,D Minor,4,3yP1J5mOJ8MvifFoNjA3Lx,TCAHX2419532
11,"Picking Dragons' Pockets","Modest Mouse",180,1B,76,2026-04-25,04:36,58,"indie rock, indie, alternative rock","Picking Dragons' Pockets",2026-04-21,54,1,2,71,0,10,-5,B Major,4,2k1VofAVg8rdoXSG7p0oWW,USA2P2609800
12,"Typical Ways","Culture Wars",123,4A,74,2026-04-22,02:39,61,"","Don't Speak",2026-04-10,72,11,0,97,0,0,-4,F Minor,4,7fq0XZP4zQ54Hhq1szMit2,QZHN72552171
13,"Quiet Coyote","Black Pistol Fire",77,3A,52,2026-04-22,03:11,38,"blues rock, modern blues, garage rock","Flagrant Act of Bliss",2026-01-23,66,48,0,39,0,10,-6,A#/B♭ Minor,4,4HOaYxIICiwmOZZnVs6gCd,QZWH32500599
14,"All I Need Is You","NOMARKMORE",176,1A,53,2026-04-23,03:18,58,"","Exhibition Number Zero",2025-12-01,47,23,0,66,0,0,-8,G#/A♭ Minor,4,3A5rfmGdSmfcNqIURUJt4z,QT6ET2567791
15,"Just a Boy","NOMARKMORE",142,4B,61,2026-04-23,02:58,46,"","Exhibition Number Zero",2025-12-01,56,4,0,42,0,50,-9,G#/A♭ Major,4,1lZA0OOEHZeiXZdnQFhn4Q,QT6ET2567793
16,"The Fall","NOMARKMORE",158,3B,75,2026-04-23,03:14,61,"","Exhibition Number Zero",2025-12-01,42,0,0,79,0,40,-7,C♯/D♭ Major,4,7IKwkNZzI8Xtazydcl1rEF,QT6ET2567790
17,"This Land (Theme from Borderlands 4)","Des Rocs,Borderlands Music",86,11B,84,2026-04-21,03:08,46,"soundtrack","This Land (Theme from Borderlands 4)",2025-09-12,57,0,68,70,0,30,-4,A Major,4,6EaGrhJCfIATcV95W7vWjC,USFYZ2557601
18,"Dopamine Kisses","MISSIO",138,1A,89,2026-04-21,03:28,48,"","Dopamine Kisses",2026-04-10,41,0,0,35,0,20,-5,G#/A♭ Minor,4,3LWXJOMDhmDxpdhZjBA0OS,CAN112502402
