#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Caffeine","Foreign Air",95,3B,63,2017-03-27,03:05,0,"","Caffeine",2016-12-16,63,5,0,42,0,10,-6,C♯/D♭ Major,4,61b8dII0C3ybIRdQY6dl3d,TCACU1677482
2,"Tearing Me Up - Radio Edit","Bob Moses",115,9B,49,2017-03-28,03:43,0,"","Tearing Me Up (Radio Edit)",2015-09-15,68,12,0,16,0,10,-7,G Major,4,39PrQCuTLOgApfoGPKDdnc,GBCEL1500661
3,"Blossom","Milky Chance",120,12B,68,2017-05-01,04:14,0,"","Blossom (Deluxe)",2017-03-17,75,3,0,85,0,0,-7,E Major,4,0fHZirprNSLEc1OLs1OiwL,DEVP21600005
4,"Blood In The Cut","K.Flay",130,10A,66,2017-04-10,03:08,0,"","Crush Me",2016-08-19,77,14,2,64,0,20,-5,B Minor,4,3k3FEwVuaokMi13Ud4nnYm,USUM71607030
5,"Horns","Bryce Fox",156,2B,75,2017-03-27,03:37,0,"","Horns",2016-03-29,49,8,0,33,20,20,-5,F#/G♭ Major,4,4XaButfzRGK9aK8NN28Ie0,TCACN1612157
6,"High Enough","K.Flay",133,8B,63,2017-04-06,03:50,0,"","High Enough",2017-03-10,42,3,5,48,0,40,-5,C Major,1,5pWG3jP50z7LiL7z9WZsjM,USUM71701789
7,"Cold Little Heart - Radio Edit","Michael Kiwanuka",110,6A,58,2017-05-01,03:30,74,"soul","Cold Little Heart (Radio Edit)",2017-02-24,63,36,0,66,0,40,-6,G Minor,4,7KX65PC1UZuImsUInThbav,GBUM71700693
8,"Stressed Out","Twenty One Pilots",170,9A,64,2017-03-27,03:22,88,"","Blurryface",2015-05-15,73,5,0,65,10,0,-6,E Minor,4,3CRDbSIZ4r5MsZ0YwxuEkn,USAT21500597
9,"Kiss Bang","grandson",79,11A,83,2017-03-27,02:52,42,"","Kiss Bang",2017-03-03,32,0,22,32,0,30,-4,F#/G♭ Minor,1,20UffSyFaybW0xW04IhSbL,USRC11700086
10,"Singing Low","The Fray",90,6A,59,2017-03-27,04:23,30,"","Through the Years: The Best of The Fray",2016-11-04,53,41,0,28,0,10,-5,G Minor,4,22o6BsXxHAl3h15mHp4Jtk,USSM11607271
11,"Danger Zone - From  Top Gun  Original Soundtrack","Kenny Loggins",157,2A,90,2017-03-27,03:35,76,"yacht rock","Yesterday, Today, Tomorrow - The Greatest Hits Of Kenny Loggins",1997-03-25,54,24,0,65,0,10,-6,D#/E♭ Minor,4,34x6hEJgGAOQvmlMql5Ige,USSM18600108
12,"No Vacancy","OneRepublic",100,7B,73,2017-05-09,03:43,53,"soft pop","No Vacancy",2017-04-28,72,6,0,48,0,10,-4,F Major,4,4QeoDcR16IHpmmgFGQDrCp,USUM71703399
13,"Doing Good","Milky Chance",98,8A,73,2017-04-10,04:10,0,"","Doing Good",2017-01-13,71,29,11,73,0,10,-8,A Minor,4,7bAQMATn7EjiNNlS409S51,DEVP21600010
14,"Shape of You","Ed Sheeran",96,12A,65,2017-05-09,03:53,6,"soft pop","Shape of You",2017-01-06,83,58,0,93,0,0,-3,C♯/D♭ Minor,4,0FE9t6xYkqWXU2ahLh6D8X,GBAHS1600463
15,"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha,Ty Dolla $ign",140,7B,62,2017-05-01,03:17,57,"trap soul","All Your Fault: Pt. 1",2017-02-16,66,3,0,37,0,20,-6,F Major,4,4ZJPwET9Jrgpkqi4Vo3Yg8,USWB11700170
16,"So Tied Up","Cold War Kids,Bishop Briggs",105,5A,90,2017-05-09,03:09,0,"","So Tied Up",2017-03-16,59,3,0,84,0,10,-4,C Minor,4,5aJiAeG0x2dxYeE7ac2xhl,USUG11700007
17,"Lucky Strike","Woodie Smalls",175,10A,59,2017-05-01,03:09,26,"","Lucky Strike",2016-11-04,59,20,0,64,10,10,-9,B Minor,4,1hxwW2ny6MdBjWP3rOHZMn,BEFG81600001
18,"How Many Licks? (feat. Sisqo)","Lil' Kim,Sisqo",105,3A,85,2017-05-09,03:52,58,"east coast hip hop, ","The Notorious K.I.M.",2000-06-16,78,5,0,65,10,30,-3,A#/B♭ Minor,4,5jv3QxL0MFswzM1UJ2qQJM,USAT20001914
