#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Doing Good","Milky Chance",98,8A,73,2019-05-22,04:10,0,"","Doing Good",2017-01-13,71,29,11,73,0,10,-8,A Minor,4,7bAQMATn7EjiNNlS409S51,DEVP21600010
2,"The Therapist","Foreign Air",92,9A,85,2019-05-22,03:01,0,"","The Therapist",2019-03-22,60,8,0,37,0,0,-4,E Minor,4,00aEvruq9NQRUzYMn1rEPs,TCAED1921148
3,"Wake Me Up","Foreign Air",178,3A,92,2019-05-22,03:42,0,"","Wake Me Up",2019-02-01,23,1,47,31,0,10,-5,A#/B♭ Minor,3,0ionYKqaYZPg9FSwPlqqmr,SE5VF1900302
4,"In the Shadows","Foreign Air",116,8B,76,2019-05-22,03:53,0,"","In the Shadows",2016-02-19,60,16,87,15,0,10,-8,C Major,4,06KTcf9q6ef0rEYPgjOKl3,TCACL1669361
5,"Supernatural","Sam Hale",145,3B,45,2019-05-22,03:46,0,"","Supernatural",2018-09-01,75,11,0,63,0,0,-11,C♯/D♭ Major,4,343ay8a7oMGhapZTLvNLzx,ushm81888509
6,"Babydoll","Dominic Fike",168,6A,60,2019-05-22,01:37,80,"","Don't Forget About Me, Demos",2018-10-16,76,11,0,85,10,0,-5,G Minor,4,1SocftHhtuqF7k83eUhHiz,USQX91802457
7,"Dancing With A Stranger (with Normani)","Sam Smith,Normani",103,4B,52,2019-05-22,02:51,76,"soft pop, ","Dancing With A Stranger (with Normani)",2019-01-11,74,45,0,35,0,20,-8,G#/A♭ Major,4,6Qs4SXO9dwPj5GKvVOv8Ki,GBUM71807386
8,"Kamikaze","WALK THE MOON",78,3B,69,2019-05-22,03:16,48,"","What If Nothing",2017-11-10,57,2,0,44,0,10,-6,C♯/D♭ Major,4,3YQ96qkxiEwTLwgu2Izcmq,USRC11702169
9,"Rescue Me","OneRepublic",121,9B,61,2019-05-22,02:38,65,"soft pop","Rescue Me",2019-05-17,76,16,0,64,0,60,-8,G Major,4,0mjAU3yKR1QnXnHtjGJqTM,USUM71907507
10,"Don't Call Me Up","Mabel",99,11B,88,2019-05-22,02:58,73,"","Ivy To Roses (Mixtape)",2019-01-18,67,30,0,23,10,0,-3,A Major,4,5WHTFyqSii0lmT9R21abT8,GBUM71808052
11,"Sucker","Jonas Brothers",138,12A,73,2019-05-22,03:01,3,"","Sucker",2019-03-01,84,4,0,95,0,10,-5,C♯/D♭ Minor,4,4y3OI86AEP6PQoDE6olYhO,USUG11900515
12,"Wow.","Post Malone",100,10A,54,2019-05-22,02:29,3,"","Wow.",2018-12-24,83,16,0,39,10,10,-7,B Minor,4,6MWtB6iiXyIwun0YzU6DFP,USUM71822626
13,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X,Billy Ray Cyrus",136,2B,62,2019-05-22,02:37,3,"","Old Town Road",2019-04-05,88,5,0,64,10,10,-6,F#/G♭ Major,4,6u7jPi22kF8CTQ3rb9DHE7,USSM11902498
