#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Peaches & Cream","112",204,9A,52,2022-06-26,03:13,65,"r&b","Part III",2001-00-00,68,0,0,77,30,0,-6,E Minor,4,2SLZ2rX5773RS16mcqBxG7,USBB40581358
2,"Cupid Shuffle","Cupid",72,4A,58,2022-06-26,03:51,65,"zydeco","Time for a Change",2007-09-11,79,19,0,86,20,20,-5,F Minor,4,07Tx168RSsUS1HqkDIOZbH,USAT20700490
3,"Summer Girls","LFO",100,9B,81,2022-06-26,04:17,62,"","LFO",1999-08-10,81,16,0,74,10,0,-5,G Major,4,7uYroF9RRrhRJBrigRvB6H,DEA819900423
4,"Girl On TV","LFO",96,9A,72,2022-06-26,04:07,51,"","LFO",1999-08-10,69,13,0,35,0,10,-4,E Minor,4,4DJwdQDai9DLYBL9TNrEDo,DEA819900510
5,"Unwell","Matchbox Twenty",81,11A,79,2022-06-26,03:48,73,"post-grunge","More Than You Think You Are",2002-11-01,26,3,0,43,0,70,-5,F#/G♭ Minor,4,6Bm6qUCSatPAqkQllFL7oA,USAT20202656
6,"Push","Matchbox Twenty",168,2B,67,2022-06-26,03:58,78,"post-grunge","Yourself or Someone Like You",1996-10-01,42,1,0,48,0,10,-8,F#/G♭ Major,4,2KVwlelhxKUy8LVV6JypH3,USAT29600042
7,"Long Day","Matchbox Twenty",104,1A,82,2022-06-26,03:45,63,"post-grunge","Yourself or Someone Like You",1996-10-01,46,0,0,60,0,10,-7,G#/A♭ Minor,4,4r7im8h2DTRPvl25YfNyIT,USAT29600050
8,"Hemorrhage (In My Hands)","Fuel",152,3B,82,2022-06-26,03:56,73,"post-grunge","Something Like Human",2000-09-19,30,0,0,37,0,0,-4,C♯/D♭ Major,4,1sjrDQXqAa9V07FjKIlAQ4,USSM10011620
9,"Falls On Me","Fuel",164,8A,80,2022-06-26,04:14,56,"post-grunge","Natural Selection",2003-09-23,32,0,11,18,0,10,-7,A Minor,4,7CIzpZaeeNCtJDi1nqEDXb,USSM10308960
10,"Me, Myself & I","Vitamin C",116,7A,87,2022-06-26,03:57,27,"","Vitamin C",1999-08-31,86,9,6,87,0,0,-6,D Minor,4,6norRlDJBcp8NvkYKRsyVe,USEE19900255
11,"Butterfly","Crazy Town",104,8A,81,2022-06-26,03:36,77,"rap rock, nu metal","The Gift Of Game",2000-12-15,74,0,0,61,0,10,-4,A Minor,4,4BggEwLhGfrbrl7JBhC8EC,USSM19911429
12,"Escapar","Enrique Iglesias",126,1B,87,2022-06-26,03:27,62,"latin pop, latin","Escape",2001-01-01,77,4,0,87,0,0,-5,B Major,4,43RR8ItPkVLf5SEAQ4Ao3x,USIR10120227
13,"Dímelo","Enrique Iglesias",115,4B,74,2022-06-26,03:37,62,"latin pop, latin","Insomniac",2007-01-01,78,6,0,85,0,0,-4,G#/A♭ Major,4,2z0z5ddJS3K7qvhp4PH0Aa,USUM70731440
14,"Goodbye Earl","The Chicks",123,8B,70,2022-06-26,04:19,67,"country","Fly",1999-08-27,71,2,0,77,0,0,-7,C Major,4,7rqaqQurHzR5xHAhdm1gmM,USSM19901548
15,"What Was I Thinkin'","Dierks Bentley",165,4A,83,2022-06-26,04:20,73,"country","Dierks Bentley",2003-01-01,55,15,0,93,0,10,-6,F Minor,4,0r8iDf65NHgFgZOGLwj5r8,USCN10200472
16,"Gotta Get Thru This - Acoustic Version","Daniel Bedingfield",130,4A,31,2022-06-26,03:55,23,"uk garage","Gotta Get Thru This",2002-01-01,67,49,0,44,0,10,-8,F Minor,4,4USpeNSWcNV4XmsKqYhKvj,GBAKW0201317
17,"James Dean (I Wanna Know)","Daniel Bedingfield",130,9B,84,2022-06-26,03:39,25,"uk garage","Gotta Get Thru This",2002-01-01,83,0,0,93,0,0,-4,G Major,4,2CtrS14eR079SeOjmaPusC,GBAKW0201094
18,"Way Back Into Love (Demo Version)","Hugh Grant and Drew Barrymore",204,4B,44,2022-06-26,04:12,28,"","Music And Lyrics - Music From The Motion Picture",2006-02-13,48,74,0,37,10,20,-7,G#/A♭ Major,4,3LkfDWO0x8QnTvHJQp4luB,USAT20700314
19,"PoP! Goes My Heart","Hugh Grant",126,10A,90,2022-06-26,03:16,38,"","Music And Lyrics - Music From The Motion Picture",2006-02-13,76,3,0,95,0,10,-4,B Minor,4,7AsKjS0SMjZSE6FxjYZBdA,USAT20700310
20,"If You Could Only See","Tonic",95,3A,95,2022-06-26,04:21,72,"","Lemon Parade",1996-07-15,43,0,0,58,0,20,-5,A#/B♭ Minor,4,4KoNBTm9a55KgLMtEaf3n6,USPR39609309
21,"Hide and Seek","Imogen Heap",121,11B,17,2022-06-26,04:28,1,"","Speak for Yourself",2005-07-18,45,91,0,9,0,10,-11,A Major,4,7mMlbJlXXo2mRtQ4R9sIzD,GBJPX0500005
22,"Don't Stand So Close To Me","The Police",140,10B,51,2022-06-26,04:02,73,"","Zenyatta Mondatta (Remastered 2003)",1980-10-03,80,5,0,52,0,0,-9,D Major,4,5veJDT0MLsLbhYsx42GXUD,GBAAM0201148
23,"Runaround Sue","Dion",80,10B,61,2022-06-26,02:51,69,"doo-wop","Runaround Sue",1961-00-00,36,45,0,60,10,20,-10,D Major,4,1DndHckdH9m5rp6gYP086b,USLA19300013
24,"Every Morning","Sugar Ray",110,4B,68,2022-06-26,03:39,75,"","14:59",1999-01-12,83,8,0,98,0,0,-4,G#/A♭ Major,4,2ouURa1AIXp3AvkS52Jry5,USAT20902980
25,"Apologize","Timbaland,OneRepublic",118,4B,60,2022-06-26,03:04,74,"soft pop","Shock Value",2007-04-02,65,3,0,10,0,10,-6,G#/A♭ Major,4,6ucR4KfvsBFWCMVFDvyKKl,USUM70722793
26,"Say (All I Need)","OneRepublic",122,11B,74,2022-06-26,03:50,46,"soft pop","Dreaming Out Loud",2007-01-01,55,2,0,31,0,10,-6,A Major,4,6H4vq5gz0rlNjH0LBzu4An,USUM70758802
27,"Goodbye, Apathy","OneRepublic",150,11B,72,2022-06-26,03:32,32,"soft pop","Dreaming Out Loud",2007-01-01,48,12,0,18,0,0,-8,A Major,4,78wnWRrd97aaheZBz16K2H,USUM70758799
28,"Stop And Stare","OneRepublic",92,12B,86,2022-06-26,03:43,66,"soft pop","Dreaming Out Loud",2007-01-01,49,7,0,25,0,0,-4,E Major,4,48s0QHJgmiNsth3WEO6U4M,USUM70758804
29,"Lip Gloss","Lil Mama",189,10B,87,2022-06-26,03:39,64,"","Lip Gloss (Main Version)",2007-03-06,62,41,0,94,50,0,-5,D Major,4,1Y4ZdPOOgCUhBcKZOrUFiS,USJI10700087
30,"Chicken Noodle Soup","Webstar,Young B,AG aka The Voice of Harlem",95,9B,69,2022-06-26,03:43,39,"k-rap, ","Webstar Presents: Caught In The WEB",2006-01-01,65,8,0,64,30,50,-6,G Major,4,6PGrYbKY6I0LnKmAseNBO2,USUM70606255
31,"Remember the Name (feat. Styles of Beyond)","Fort Minor,Styles Of Beyond",85,4B,84,2022-06-26,03:50,70,"rap rock, ","The Rising Tied",2005-11-21,69,6,0,88,0,0,-4,G#/A♭ Major,4,6ndmKwWqMozN2tcZqzCX4K,USWB10502457
32,"Walk It Out","Unk",160,12A,78,2022-06-26,02:53,0,"crunk, southern hip hop","Beat'n Down Yo Block",2006-10-03,79,10,0,71,0,20,-4,C♯/D♭ Minor,4,6PBAPjshd2JfEiWpdf3C2a,USKO10601381
33,"Elevator (feat. Timbaland)","Flo Rida,Timbaland",120,11A,87,2022-06-26,03:49,56,"","Mail on Sunday",2008-03-17,81,11,0,47,0,20,-6,F#/G♭ Minor,4,44AtutBMMWw14r9CkZ0wna,USAT20800943
34,"Low (feat. T-Pain)","Flo Rida,T-Pain",128,3A,61,2022-06-26,03:51,87,"","Mail on Sunday",2008-03-17,92,9,0,30,0,10,-6,A#/B♭ Minor,4,0CAfXk7DXMnon4gLudAp7J,USAT20705841
35,"In the Ayer (feat. will.I.am)","Flo Rida,will.i.am",126,4A,75,2022-06-26,03:40,62,"","Mail on Sunday",2008-03-17,83,0,0,65,0,20,-6,F Minor,4,6RpiAj9Ofv0Uqp6n2OuRoh,USAT20801524
36,"Shone (feat. Pleasure P)","Flo Rida,Pleasure P",150,9B,73,2022-06-26,04:13,29,"","R.O.O.T.S. (Route of Overcoming the Struggle)",2009-03-23,64,1,0,30,20,10,-7,G Major,4,0xwWgANkivEPqyPBiYXbzi,USAT20900241
37,"LoveGame","Lady Gaga",105,11A,68,2022-06-26,03:36,75,"art pop, pop","The Fame",2008-01-01,89,1,0,84,0,30,-6,F#/G♭ Minor,4,0TcJ7QWpggdSg8t0fHThHm,USUM70824404
38,"Boys Boys Boys","Lady Gaga",123,11B,66,2022-06-26,03:20,53,"art pop, pop","The Fame",2008-01-01,72,1,0,82,0,10,-5,A Major,4,129NQr4tA6j60b59rflcTY,USUM70824399
39,"Beautiful, Dirty, Rich","Lady Gaga",120,10B,91,2022-06-26,02:52,56,"art pop, pop","The Fame",2008-01-01,78,2,5,70,10,20,-5,D Major,4,3qrQtMmkuV79LMGfsGDHRf,USUM70824401
40,"Summertime","New Kids On The Block",84,12A,78,2022-06-26,03:22,23,"","The Block (Deluxe Version)",2008-01-01,64,1,0,79,0,0,-7,C♯/D♭ Minor,4,4EXUCPSxrXdxSq4RRsaHWJ,USUM70813068
