#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Spice Up Your Life","Spice Girls",124,3B,99,2024-08-31,02:53,68,"","Spiceworld",1997-01-01,56,1,3,68,0,40,-5,C♯/D♭ Major,4,5qGwqO0lkbBXw4xNfzT7SF,GBAAA9710052
2,"Stop","Spice Girls",130,7A,85,2024-08-31,03:24,69,"","Spiceworld",1997-01-01,72,29,0,97,0,0,-4,D Minor,4,3FteycP8CaXS1MhjcXekVT,GBAAA9710053
3,"Saturday Night Divas","Spice Girls",169,10A,68,2024-08-31,04:25,51,"","Spiceworld",1997-01-01,63,12,0,58,0,0,-8,B Minor,4,3M83cWfWcFXtkavdM8NuEZ,GBAAA9710055
4,"Never Give Up On The Good Times","Spice Girls",117,4A,91,2024-08-31,04:30,52,"","Spiceworld",1997-01-01,71,1,3,64,0,10,-6,F Minor,4,6RQnRYot6B3TPZsMbbSJ20,GBAAA9710056
5,"Move Over","Spice Girls",104,9B,93,2024-08-31,02:46,42,"","Spiceworld",1997-01-01,72,1,0,86,0,0,-5,G Major,4,3P50dC4GwZYiToIXQGWIAC,GBAAA9710057
6,"Do It","Spice Girls",99,10A,86,2024-08-31,04:03,43,"","Spiceworld",1997-01-01,67,5,0,81,0,30,-5,B Minor,4,4oB9UvwZUkic3nWWZKULqs,GBAAA9710058
7,"Too Much","Spice Girls",120,10B,63,2024-08-31,04:31,60,"","Spiceworld",1997-01-01,43,48,0,34,0,30,-5,D Major,3,1RQnYh2xw2BPpnzQFbO5r5,GBAAA9710054
8,"Larger Than Life","Backstreet Boys",108,5A,97,2024-08-31,03:52,76,"","Millennium",1999-05-18,66,11,0,75,0,60,-3,C Minor,4,6sbXGUn9V9ZaLwLdOfpKRE,USJI19910620
9,"I Want It That Way","Backstreet Boys",99,11A,69,2024-08-31,03:33,86,"","Millennium",1999-05-18,69,26,0,48,0,10,-6,F#/G♭ Minor,4,47BBI51FKFwOMlIiX6m8ya,USJI19910614
10,"Show Me the Meaning of Being Lonely","Backstreet Boys",168,11A,63,2024-08-31,03:54,75,"","Millennium",1999-05-18,63,23,0,68,0,0,-5,F#/G♭ Minor,4,3BsaRV5QIulYz2lV9WWa8T,USJI19910621
