#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Too Much Time On My Hands","Styx",131,10A,40,2025-01-08,04:31,62,"classic rock, aor, progressive rock","Paradise Theatre",1981-01-01,80,11,0,89,0,30,-14,B Minor,4,4hWUOIDHda9XOb1zDchftP,USAM18000370
2,"I Can't Dance - 2007 Remaster","Genesis",108,5B,53,2025-01-08,03:59,70,"progressive rock, art rock","We Can't Dance (2007 Remaster)",1991-11-11,91,47,0,91,0,0,-10,D#/E♭ Major,4,0No5Hr1LxZjJHGsQSTy2bm,GBAAA0700775
3,"See Me, Feel Me - Single Version","The Who",94,8B,34,2025-03-21,03:36,43,"classic rock, rock","The Who Hits 50 (Deluxe)",2014-10-27,38,9,0,8,0,0,-11,C Major,4,7HVLE4CWBQjQi3Vyiz0fbe,GBF068890015
4,"Higher Love","Steve Winwood",99,7B,78,2025-03-22,05:51,70,"yacht rock, soft rock","Back In The High Life",1986-06-30,70,4,15,95,0,30,-12,F Major,4,4ZExvJvQXPEeYzGU0N3THi,GBAAN8600003
5,"Back In The High Life Again","Steve Winwood",169,10B,50,2025-03-22,05:35,60,"yacht rock, soft rock","Back In The High Life",1986-06-30,60,29,0,65,0,10,-15,D Major,4,1Bj6YgjjPbEb4jhQ50T8tJ,GBAAN0300580
6,"Beautiful In My Eyes","Joshua Kadison",142,5B,38,2025-01-08,04:09,62,"","Painted Desert Serenade",1993-01-01,58,60,0,28,0,10,-10,D#/E♭ Major,4,5o8gWPZxr4GZFslU85YMmu,USSB29300148
7,"Faithfully (2024 Remaster)","Journey",130,1B,56,2025-01-09,04:26,53,"aor, classic rock","Greatest Hits (2024 Remaster)",1988-11-29,41,21,0,26,0,0,-7,B Major,4,7aNk0hjd9VCAoBirwg6aYZ,USSM19932791
8,"I Got You Babe","Sonny & Cher",111,2B,80,2025-01-08,03:10,68,"","Look At Us",1965-00-00,63,14,0,60,0,10,-6,F#/G♭ Major,3,4SGBuq37Ol4HJr7pQqFMKa,USAT27500019
9,"The Most Beautiful Girl","Charlie Rich",103,9B,32,2025-01-08,02:47,59,"classic country, traditional country","Behind Closed Doors",1972-00-00,58,66,0,41,0,10,-14,G Major,4,542C7PqR1oEfl63hlhQO4V,USSM19928824
10,"In The Wee Small Hours Of The Morning - Remastered 1998","Frank Sinatra",118,8B,9,2025-01-08,03:00,59,"christmas, big band, adult standards, swing music, jazz, vocal jazz","In The Wee Small Hours",1955-00-00,29,86,0,7,0,10,-16,C Major,4,0Hsc0sIaxOxXBZbT3ms2oj,USCA29800105
11,"On The Sunny Side Of The Street - Remastered","Frank Sinatra",120,6B,21,2025-01-08,02:42,55,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Come Swing With Me! (Remastered)",1961-07,61,62,0,68,0,10,-14,A#/B♭ Major,4,6Q4m72Zmjc28NUgqOTcBoT,USCA29900890
12,"Theme From New York, New York - 2008 Remastered","Frank Sinatra",108,9B,50,2025-01-08,03:24,69,"christmas, big band, adult standards, swing music, jazz, vocal jazz","Nothing But The Best (2008 Remastered)",2008-05-13,36,59,0,55,0,20,-7,G Major,4,0K2WjMLZYr09LKwurGRYRE,USRH10723042
13,"Don't Stand So Close To Me","The Police",140,10B,51,2025-01-08,04:02,73,"","Zenyatta Mondatta (Remastered 2003)",1980-10-03,80,5,0,52,0,0,-9,D Major,4,5veJDT0MLsLbhYsx42GXUD,GBAAM0201148
14,"Roxanne","The Police",134,8B,75,2025-01-08,03:11,81,"","Outlandos D'Amour (Remastered 2003)",1978-11-02,62,4,0,66,30,0,-9,C Major,4,3EYOJ48Et32uATr9ZmLnAo,GBAAM0201086
15,"Message In A Bottle","The Police",151,12A,81,2025-01-08,04:50,80,"","Reggatta De Blanc (Remastered 2003)",1979-10-02,58,3,0,87,0,20,-7,C♯/D♭ Minor,4,1oYYd2gnWZYrt89EBXdFiO,GBAAM0201170
16,"867-5309 / Jenny","Tommy Tutone",138,7B,71,2025-01-09,03:46,66,"","Tommy Tutone - 2",1981-12-04,58,3,0,56,0,10,-10,F Major,4,6iX1f3r7oUJnMbGgQ2gx1j,USSM18100804
17,"Jessie's Girl","Rick Springfield",132,10B,70,2025-01-08,03:12,57,"yacht rock","The Best Of Rick Springfield",1999-03-20,69,7,0,84,0,0,-8,D Major,4,0TF3F5Lw5apoD1zvR8LikO,USRC18108188
18,"Hold the Line","TOTO",97,11A,90,2025-01-08,03:55,84,"yacht rock, soft rock","Toto",1978-10-10,47,1,6,81,0,10,-5,F#/G♭ Minor,4,4aVuWgvD0X63hcOCnZtNFA,USSM17800444
19,"The Boys Of Summer","Don Henley",177,2B,78,2025-03-23,04:48,54,"yacht rock","The Very Best Of",2009-01-01,52,40,0,86,0,20,-6,F#/G♭ Major,4,4TIZrHkVMOnEb0L3Vj8zUc,USGF18502601
20,"Let It Ride","Bachman-Turner Overdrive",104,11A,82,2025-01-09,04:27,60,"classic rock","Bachman-Turner Overdrive II",1973-12-01,64,11,0,82,0,10,-10,F#/G♭ Minor,4,3UQA4UTVqcI0VtSQ38nlq1,USPR37607317
