#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Crank That (Soulja Boy)","Soulja Boy",140,8B,74,2025-01-16,03:41,78,"","souljaboytellem.com",2007-01-01,73,51,0,80,0,0,-2,C Major,4,66TRwr5uJwPt15mfFkzhbi,USUM70742048
2,"Crank Dat Batman","Pop It Off Boyz",147,9B,76,2025-01-16,03:36,32,"","Crank Dat Batman",2007-01-01,73,1,0,83,30,10,-4,G Major,4,1miRBMuGs0oWawvYaFoSID,USUM70758913
3,"Crank That Spiderman","Duffle Bag Boiz",141,4B,75,2025-01-16,03:15,17,"","Crank Dat DBB",2010-01-11,65,62,0,59,20,30,-3,G#/A♭ Major,4,53lnhcBZyo3vZD4dDZvcox,USJ3V1000759
4,"Lip Gloss","Lil Mama",189,10B,87,2025-01-16,03:39,64,"","Lip Gloss (Main Version)",2007-03-06,62,41,0,94,50,0,-5,D Major,4,1Y4ZdPOOgCUhBcKZOrUFiS,USJI10700087
5,"Chicken Noodle Soup","Webstar,Young B,AG aka The Voice of Harlem",95,9B,69,2025-01-16,03:43,39,"k-rap, ","Webstar Presents: Caught In The WEB",2006-01-01,65,8,0,64,30,50,-6,G Major,4,6PGrYbKY6I0LnKmAseNBO2,USUM70606255
6,"Pop, Lock & Drop It (feat. Bow Wow & T-Pain) - Remix","Huey,Bow Wow,T-Pain",144,8B,69,2025-01-16,04:29,52,"crunk, r&b, ","Notebook Paper",2006-00-00,80,2,0,84,30,40,-6,C Major,4,6nbRXoZJAWlHtnWcPAY9Or,USJI10700290
7,"Laffy Taffy","D4L",77,6A,44,2025-01-16,03:44,70,"crunk, southern hip hop","Down for Life",2005-11-08,89,4,0,62,40,0,-8,G Minor,4,2ajhenDRiiAnCHHjsIOHhJ,USEA20520540
8,"Walk It Out","Unk",160,12A,78,2025-01-16,02:53,65,"crunk, southern hip hop","Beat'n Down Yo Block",2006-10-03,79,10,0,71,0,20,-4,C♯/D♭ Minor,4,0JPntF36B28bSTUkjplyNd,USKO10601381
9,"2 Step","Unk",77,10A,80,2025-01-16,03:15,53,"crunk, southern hip hop","Beat'n Down Yo Block",2006-10-03,76,6,0,65,0,30,-2,B Minor,4,3rALMatm3fRoubDlouWRpi,USKO10601384
10,"Right Thurr","Chingy",92,10B,75,2025-01-21,04:10,73,"crunk","Jackpot",2003-01-01,87,15,0,89,20,0,-4,D Major,4,0l3GEbH3CviUytD6iX4wzg,USCA20300283
11,"2 Much Booty","Down South",129,9B,92,2025-01-21,04:54,37,"miami bass, baltimore club","Bass Kings (Volume 1)",1999-01-01,92,0,4,55,10,20,-6,G Major,4,5lm3l9npXIV0ykvmEWhPzX,USTB11200182
12,"Stanky Legg - Main Edit","GS Boyz",154,10A,70,2025-01-16,03:53,49,"crunk","Stanky Legg (Main Edit)",2009-02-03,76,0,0,74,0,20,-6,B Minor,4,73GD9DI2EBRSi2l57wyh3Z,USJI10900224
13,"You're a Jerk","New Boyz",99,12B,46,2025-01-16,03:09,54,"","Skinny Jeanz and a Mic",2009-08-31,93,15,0,52,30,0,-6,E Major,4,30QbrkRLEimw7HWXb7ntrU,USEA20900194
