#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"1901","Phoenix",144,8B,83,2025-02-26,03:13,76,"indie","Wolfgang Amadeus Phoenix",2009-05-25,60,6,0,71,0,10,-5,C Major,4,68hYdj3GepWm2R202KhJT7,FR31Q0900002
2,"Lasso","Phoenix",151,1B,65,2025-02-26,02:47,63,"indie","Wolfgang Amadeus Phoenix",2009-05-25,65,2,0,95,0,10,-7,B Major,4,3LENMSJJU0LLqcdVgf4JVW,FR31Q0900006
3,"Fences","Phoenix",113,7A,75,2025-02-26,03:44,61,"indie","Wolfgang Amadeus Phoenix",2009-05-25,59,8,0,50,0,30,-7,D Minor,4,4N7159SXtxwObOFhimCLGW,FR31Q0900003
4,"Rome","Phoenix",126,10B,68,2025-02-26,04:38,53,"indie","Wolfgang Amadeus Phoenix",2009-05-25,65,35,7,41,0,10,-7,D Major,4,5BBR5jxgXXKXNHyAAyhOQr,FR31Q0900007
5,"Girlfriend","Phoenix",136,1B,65,2025-02-26,03:24,58,"indie","Wolfgang Amadeus Phoenix",2009-05-25,71,36,2,53,0,0,-8,B Major,4,6Z8I9zzJb5WCAJkz6qBo7k,FR31Q0900009
6,"Lisztomania","Phoenix",98,8B,81,2025-02-26,04:01,73,"indie","Wolfgang Amadeus Phoenix",2009-05-25,64,4,1,27,0,50,-6,C Major,4,4esUVfYnFcCCVHntx9FQCb,FR31Q0900001
7,"Entertainment","Phoenix",75,4B,72,2025-02-26,03:39,55,"indie","Bankrupt!",2013-04-23,40,0,4,50,0,30,-5,G#/A♭ Major,4,3kTVKRzfYb7zqz56thbKrj,FR9W11214238
8,"Trying To Be Cool","Phoenix",114,8A,76,2025-02-26,03:48,56,"indie","Bankrupt!",2013-04-23,48,1,2,49,0,30,-5,A Minor,4,3adprsGoZuParw5pyhhLCc,FR9W11214236
9,"Chloroform","Phoenix",138,8B,72,2025-02-26,04:04,52,"indie","Bankrupt!",2013-04-23,33,0,1,28,0,0,-8,C Major,4,0LucKGxWYkj2d0SHdx2WBh,FR9W11214237
10,"What You Know","Two Door Cinema Club",139,11A,76,2025-02-26,03:11,80,"indie, indie rock","Tourist History",2010-02-17,56,0,0,81,0,0,-4,F#/G♭ Minor,4,4iZxeyibg6w4EFCOoAQ6Eh,FRU700900116
11,"Come Back Home","Two Door Cinema Club",125,4A,88,2025-02-26,03:23,48,"indie, indie rock","Tourist History",2010-02-17,60,0,2,50,0,50,-5,F Minor,4,6X1yyl75llXExLdfAmStrw,FRU700900113
12,"Undercover Martyn","Two Door Cinema Club",160,10A,86,2025-02-26,02:47,73,"indie, indie rock","Tourist History",2010-02-17,44,0,0,58,10,0,-5,B Minor,4,1JmRbZclLHgneDrpyA9e3X,FRU700900115
13,"I Can Talk","Two Door Cinema Club",163,8A,75,2025-02-26,02:57,58,"indie, indie rock","Tourist History",2010-02-17,47,0,16,68,10,50,-5,A Minor,4,6W7rf0mCRfcvz5RpRdwLfm,FRU700900083
14,"Eat That Up, It's Good for You","Two Door Cinema Club",155,7B,89,2025-02-26,03:45,50,"indie, indie rock","Tourist History",2010-02-17,51,0,0,64,0,30,-5,F Major,4,00829N8kbRmuLpppY407Qb,FRU700900117
15,"Something Good Can Work","Two Door Cinema Club",120,8B,83,2025-02-26,02:44,65,"indie, indie rock","Tourist History",2010-02-17,65,1,0,68,0,10,-5,C Major,4,0zo5H2QWXCkarmPSK2KJvH,FRU700900101
16,"Next Year","Two Door Cinema Club",127,10B,81,2025-02-26,04:11,50,"indie, indie rock","Beacon",2012-08-31,56,0,0,48,0,0,-5,D Major,4,40zg2wBTtzhyLVhFe9ixhN,FRU701200084
17,"Handshake","Two Door Cinema Club",131,5A,83,2025-02-26,03:31,48,"indie, indie rock","Beacon",2012-08-31,56,0,42,82,0,40,-5,C Minor,4,7tAsO743OcgMj5Mu7OOoIt,FRU701200085
18,"Sleep Alone","Two Door Cinema Club",148,8B,75,2025-02-26,03:56,55,"indie, indie rock","Beacon",2012-08-31,53,0,0,52,0,0,-5,C Major,4,3fQahY4cFm7aTxAkw9twbf,FRU701200089
19,"Sun","Two Door Cinema Club",97,9A,53,2025-02-26,03:07,64,"indie, indie rock","Beacon",2012-08-31,65,1,0,60,0,10,-6,E Minor,4,2D83TfTgEGj6wp3O2boV55,FRU701200087
20,"Lessons In Love (All Day, All Night)","Neon Trees,Kaskade",128,9B,84,2025-02-26,03:43,38,"edm","Picture Show",2012-01-01,61,0,1,54,0,10,-4,G Major,4,39bEAYKI9sRQ1OvPYPmFvq,USUM71202858
21,"Moving In The Dark","Neon Trees",150,12B,79,2025-02-26,03:02,45,"","Picture Show",2012-01-01,52,0,0,76,0,20,-5,E Major,4,7cdmk4CTL9UQLhIjhqkxiQ,USUM71202861
22,"Trust","Neon Trees",117,7B,73,2025-02-26,06:05,25,"","Picture Show",2012-01-01,43,0,4,19,0,20,-7,F Major,4,7x2anCGr4Y5jw245JR2xQ5,USUM71202865
23,"Close To You","Neon Trees",120,8A,81,2025-02-26,05:05,26,"","Picture Show",2012-01-01,61,2,9,31,0,10,-6,A Minor,4,0QGRhDnZtSUbaighbPENYW,USUM71202866
24,"Everybody Talks","Neon Trees",155,4B,92,2025-02-26,02:57,82,"","Picture Show",2012-01-01,47,0,0,72,0,30,-4,G#/A♭ Major,4,2iUmqdfGZcHIhS3b9E9EWq,USUM71119189
25,"Animal","Neon Trees",148,7B,83,2025-02-26,03:32,30,"","Habits",2010-01-01,48,0,0,74,0,30,-6,F Major,4,7EYmsUSPUHASjJjkK3QGh4,USUM71001801
26,"Girls And Boys In School","Neon Trees",124,11A,80,2025-02-26,03:31,19,"","Habits",2010-01-01,54,0,13,44,0,10,-5,F#/G♭ Minor,4,2bCVLfOMonfOBFujSFUQnx,USUM71003397
27,"In The Next Room","Neon Trees",180,10A,91,2025-02-26,03:49,21,"","Habits",2010-01-01,38,0,0,65,0,10,-4,B Minor,4,61xq4mEECLGOgMmMHoVGhl,USUM71003396
28,"Your Surrender","Neon Trees",135,9B,88,2025-02-26,03:40,21,"","Habits",2010-01-01,45,1,0,44,0,30,-5,G Major,4,7zICz07Sqr6azgJHxmuIxN,USUM71003398
29,"1983","Neon Trees",153,6B,98,2025-02-28,03:42,24,"","Habits",2010-01-01,46,0,0,70,10,10,-4,A#/B♭ Major,4,320D2Nt6CU72EazBSNrPAR,USUM71002220
30,"Sins Of My Youth","Neon Trees",161,12B,82,2025-02-26,03:38,21,"","Habits",2010-01-01,43,0,0,64,0,20,-5,E Major,4,7oOnUNQDoysPIsvOUukkHP,USUM71003418
31,"Love And Affection","Neon Trees",124,12A,85,2025-02-26,03:03,18,"","Habits",2010-01-01,55,0,0,69,0,10,-4,C♯/D♭ Minor,4,5j5w5DeAmRZShmK8kF3bna,USUM71003420
32,"Called Out In The Dark","Snow Patrol",120,8B,71,2025-02-26,04:01,49,"","Fallen Empires",2011-01-01,73,2,0,96,0,0,-5,C Major,4,4BBt0kc625eUAdG2XpWPHm,GBUM71105911
33,"In The End","Snow Patrol",139,8B,82,2025-02-26,03:59,28,"","Fallen Empires",2011-01-01,43,1,1,17,0,60,-5,C Major,4,7pz9FnXkQd0MH9Ms3358Cj,GBUM71106136
34,"The Weight Of Love","Snow Patrol",124,8B,81,2025-02-26,04:15,22,"","Fallen Empires",2011-01-01,62,7,0,24,0,10,-6,C Major,4,1N96ja5vHzX8cFr8rExKED,GBUM71106130
35,"New York","Snow Patrol",139,7B,51,2025-02-26,04:01,42,"","Fallen Empires",2011-01-01,35,27,0,26,0,0,-7,F Major,4,7tI6xPZworV0dPtf5ZMMF6,GBUM71106140
36,"Hands Open","Snow Patrol",124,5B,97,2025-02-26,03:17,35,"","Eyes Open",2006-05-01,51,0,0,55,0,10,-2,D#/E♭ Major,4,1hZtWACY71OORlOx1J7GwT,GBUM70600344
37,"Make This Go On Forever","Snow Patrol",89,1B,45,2025-02-26,05:47,35,"","Eyes Open",2006-05-01,51,17,0,6,0,10,-7,B Major,4,6bAbcPjGByVcH6seqnTLOz,GBUM70600349
38,"Open Your Eyes","Snow Patrol",131,9B,79,2025-02-26,05:41,39,"","Eyes Open",2006-05-01,53,0,0,6,0,10,-6,G Major,4,45s6KD7U23bk5Wn2D0XTHN,GBUM70600352
39,"Shut Your Eyes","Snow Patrol",125,3A,74,2025-02-26,03:17,34,"","Eyes Open",2006-05-01,69,15,0,83,0,10,-6,A#/B♭ Minor,4,5TS2w2LQOcE9wCc0LveMSS,GBUM70600346
40,"You Could Be Happy","Snow Patrol",111,7B,31,2025-02-26,03:02,36,"","Eyes Open",2006-05-01,65,52,0,24,0,0,-10,F Major,4,12Mtrok8R2TonmvezClqlG,GBUM70600348
