#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Any Man Of Mine","Shania Twain",78,4B,73,2025-03-02,04:06,76,"country","The Woman In Me",1995-01-01,59,21,0,78,0,10,-9,G#/A♭ Major,4,0pdfN7nOHMYmKykzu1cyfm,USPR39402722
2,"(If You're Not In It For Love) I'm Outta Here!","Shania Twain",120,7B,76,2025-03-02,04:30,55,"country","The Woman In Me",1995-01-01,77,14,0,87,0,0,-8,F Major,4,6Lst3nF4McKOTLSLuTvLhw,USPR39402724
3,"No One Needs To Know","Shania Twain",135,9B,53,2025-03-02,03:03,64,"country","The Woman In Me",1995-01-01,66,11,0,73,0,30,-10,G Major,4,4vbW5aT9UQGRqEScStQPPy,USPR39402731
4,"Don't Be Stupid (You Know I Love You)","Shania Twain",122,10B,64,2025-03-02,03:34,49,"country","Come On Over",1997-11-04,77,26,0,90,0,50,-7,D Major,4,6xAF3xYDK915NEvC6WNbj9,USMR19887510
5,"That Don't Impress Me Much","Shania Twain",125,3B,76,2025-03-02,03:38,63,"country","Come On Over",1997-11-04,76,24,0,97,0,0,-8,C♯/D♭ Major,4,4FUfoWMypAyWbOavmYyeNu,USMR19900016
6,"Honey, I'm Home","Shania Twain",161,12B,72,2025-03-02,03:35,54,"country","Come On Over",1997-11-04,62,21,0,86,0,10,-6,E Major,4,39IoZIC8eEirT1v70rqSPq,USMR19887512
7,"You're Still The One","Shania Twain",134,5B,49,2025-03-02,03:32,75,"country","Come On Over",1997-11-04,59,36,0,63,0,0,-9,D#/E♭ Major,4,1wb4P4F0sxAQ2KXrRvsx6n,USMR19887499
8,"Man! I Feel Like A Woman!","Shania Twain",125,6B,64,2025-03-02,03:54,74,"country","Come On Over",1997-11-04,68,58,0,67,0,20,-8,A#/B♭ Major,4,6sxptembJVty4sNtcPMAVz,USMR19887508
9,"Dream Walkin'","Toby Keith",118,7B,77,2025-03-02,03:55,47,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,70,36,0,51,0,0,-5,F Major,4,6hDkCNq4s5ozvE86RqRIIz,USMR19787115
10,"Should've Been A Cowboy","Toby Keith",134,9B,79,2025-03-02,03:28,64,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,59,35,0,73,0,30,-4,G Major,4,18BajNiyvH6GpYshB0unrm,USPR39402268
11,"How Do You Like Me Now?!","Toby Keith",109,8B,84,2025-03-02,03:25,54,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,64,7,0,70,0,10,-5,C Major,4,7LimFGKop84KMDutqYaNIF,USDW19920901
12,"I Wanna Talk About Me","Toby Keith",106,7B,90,2025-03-02,03:03,46,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,76,16,0,66,0,10,-4,F Major,4,2Y1nNOwZEwVou7q3L25I2J,USDW10110283
13,"Who's Your Daddy?","Toby Keith",126,11B,87,2025-03-02,03:58,57,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,68,29,3,85,0,0,-4,A Major,4,0x7Yp9FYMcTH9u1hxxnh4e,USDW10200305
14,"A Little Less Talk And A Lot More Action","Toby Keith",125,11B,92,2025-03-02,02:49,47,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,72,23,0,96,0,10,-3,A Major,4,7ojVoUWBAUP701iFpdKnFu,USPR39402271
15,"You Ain't Much Fun","Toby Keith",138,11B,80,2025-03-02,02:26,49,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,75,33,0,78,0,30,-4,A Major,4,2XLDLXDfStaQTcnOhEQZrB,USPR39402241
16,"You Shouldn't Kiss Me Like This","Toby Keith",169,9B,79,2025-03-04,03:41,45,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,42,32,0,31,0,20,-4,G Major,4,5ueUywJbmAZY2MF9hdJS2y,USDW19920909
17,"I Love This Bar","Toby Keith",115,10B,85,2025-03-02,05:33,49,"country, classic country","Toby Keith 35 Biggest Hits",2008-01-01,60,3,1,46,0,30,-5,D Major,4,2EZWdLnLPwL97JcfNlBoM1,USDW10300576
18,"Cheeseburger In Paradise","Jimmy Buffett",140,10B,69,2025-03-02,02:56,61,"","Son Of A Son Of A Sailor",1978-01-01,70,17,0,97,0,0,-13,D Major,4,6VeZ970uI0Yi6sjBgyFBrp,USMC17800110
19,"Margaritaville","Jimmy Buffett",125,10B,55,2025-03-04,04:10,71,"","Changes In Latitudes, Changes In Attitudes",1977-01-01,80,71,0,86,0,10,-14,D Major,4,4EEjMyQub6tgFVshlM9j1M,USMC17601193
20,"Changes In Latitudes, Changes In Attitudes","Jimmy Buffett",125,10B,44,2025-03-04,03:17,61,"","Changes In Latitudes, Changes In Attitudes",1977-01-01,72,57,0,82,0,0,-15,D Major,4,5nIqitaV7WyyuM3KVUju1G,USMC17601188
21,"Volcano","Jimmy Buffett",177,7B,47,2025-03-04,03:39,57,"","Volcano",1979-01-01,65,33,0,88,20,10,-14,F Major,4,0s4jINkD2RoxH96zpy2i0D,USMC17908744
22,"Fins","Jimmy Buffett",135,12B,65,2025-03-04,03:27,55,"","Volcano",1979-01-01,67,1,0,92,0,0,-13,E Major,4,4X6qvY7lDpNxq9QokS5F0u,USMC17908751
23,"Brown Eyed Girl","Jimmy Buffett",133,9B,69,2025-03-04,03:55,56,"","One Particular Harbor",1983-00-00,72,7,0,95,0,10,-13,G Major,4,2ICMnjBhI7xQhI6dV3Z78P,USMC18213577
24,"It's Five O'Clock Somewhere","Alan Jackson,Jimmy Buffett",125,10B,77,2025-03-04,03:49,70,"country, country christian, classic country, ","Greatest Hits Volume II",2003-10-09,71,22,0,89,0,20,-7,D Major,4,7KysI43rsjlhjTeWO6ePUq,USAN20300025
25,"Wide Open Spaces","The Chicks",179,12B,54,2025-03-04,03:43,68,"country","Wide Open Spaces",1998-01-27,56,58,0,60,0,10,-6,E Major,4,6cjwec9ii5uLK7CDfPBYt1,USSM19702920
