#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Watermelon Sugar","Harry Styles",95,8B,82,2025-03-02,02:53,87,"","Fine Line",2019-12-13,55,12,0,56,0,30,-4,C Major,4,6UelLqGlWMcVH1E5c4H7lY,USSM11912587
2,"Falsetto","The-Dream",131,8B,55,2025-03-02,04:31,58,"r&b","Love/Hate",2007-01-01,73,16,0,48,0,10,-4,C Major,4,2P1e3xpjDhYFqOFeu8IWzS,USUM70761838
3,"Down On Me","Jeremih,50 Cent",160,10B,60,2025-03-02,03:48,7,"old school hip hop, east coast hip hop","All About You",2010-01-01,70,4,0,59,10,10,-8,D Major,4,0x3TibRgnSqzkcwrqBd4iX,USUM71023043
4,"Baby By Me","50 Cent,Ne-Yo",190,5A,83,2025-03-02,03:33,79,"old school hip hop, east coast hip hop, ","Before I Self-Destruct",2009-01-01,61,0,1,36,0,0,-5,C Minor,4,1x075F39Q0zOhjPzPKgG8E,USUM70986703
5,"Lollipop","Lil Wayne,Static Major",148,8B,43,2025-03-02,04:59,71,"rap, hip hop, ","Tha Carter III",2008-06-10,83,6,0,45,0,10,-9,C Major,4,4P7VFiaZb3xrXoqGwZXC3J,USCM50800556
6,"DESERT EAGLE","Beyoncé",85,8B,49,2025-03-04,01:12,55,"","COWBOY CARTER",2024-03-29,69,65,0,66,0,30,-8,C Major,4,2dklP2sRuvcJROlrM8F7Dp,USSM12402723
7,"I'm In It","Kanye West",170,3B,60,2025-03-02,03:54,60,"rap","Yeezus",2013-06-18,49,14,0,45,30,0,-5,C♯/D♭ Major,4,52NmkyHsGsHGb1UX8fTkMg,USUM71307517
8,"Whatever U Like","Nicole Scherzinger,T.I.",93,3A,68,2025-03-02,03:53,49,"southern hip hop","Whatever U Like",2007-01-01,69,17,0,51,0,10,-5,A#/B♭ Minor,4,4oKxYjLCnXbfEGB63C1MvC,USUM70743234
9,"Peacock","Katy Perry",140,8B,76,2025-03-02,03:51,51,"pop","Teenage Dream: The Complete Confection",2012-03-12,83,6,0,94,0,20,-3,C Major,4,0rXw5rWZpOdfeeCbMln8MU,USCA21001263
10,"LoveGame","Lady Gaga",105,11A,68,2025-03-02,03:36,75,"art pop, pop","The Fame",2008-01-01,89,1,0,84,0,30,-6,F#/G♭ Minor,4,0TcJ7QWpggdSg8t0fHThHm,USUM70824404
