#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Jailbreak","AWOLNATION",111,4A,40,2025-03-11,04:41,46,"","Run",2015-03-17,78,12,0,48,0,0,-6,F Minor,4,57UIoWO4bNtnrTRXHvHfbL,USP6L1400294
2,"All Ready To Go","Taking Back Sunday",114,1B,92,2025-03-10,03:59,24,"emo, pop punk, screamo, post-hardcore, punk","Twenty",2019-01-11,52,0,4,61,0,60,-5,B Major,4,0rkg1WLUTCvzYM8ViG29d8,USC4R1800936
3,"King","Florence + The Machine",106,11A,45,2025-03-19,04:40,64,"baroque pop","Dance Fever",2022-05-13,73,14,0,9,0,10,-8,F#/G♭ Minor,4,31ABtQJdfloNaGz7ZhXaN5,GBUM72108021
4,"Free","Florence + The Machine",175,3A,70,2025-03-19,03:54,71,"baroque pop","Dance Fever",2022-05-13,47,1,0,5,0,10,-6,A#/B♭ Minor,4,7H7SHw3YWXhb4zYqyoPNa1,GBUM72108016
5,"25 To Life","Eminem",80,1A,93,2025-03-10,04:01,63,"rap, hip hop","Recovery",2010-06-18,70,24,0,36,20,10,-1,G#/A♭ Minor,4,0dyWQoMOU9oERL6c9vxtRp,USUM71015420
6,"Not Afraid","Eminem",115,5A,95,2025-03-10,04:08,81,"rap, hip hop","Recovery",2010-06-18,86,53,0,67,20,20,-1,C Minor,5,7Ie9W94M7OjPoZVV216Xus,USUM71011769
7,"Bad Guy","Eminem",83,8B,80,2025-03-10,07:14,52,"rap, hip hop","The Marshall Mathers LP2 (Deluxe)",2013-11-05,50,6,0,35,40,20,-4,C Major,4,3IaAYtmN8T0YIYVqnxNnVz,USUM71314073
8,"So Much Better","Eminem",85,3A,86,2025-03-10,04:21,49,"rap, hip hop","The Marshall Mathers LP2 (Deluxe)",2013-11-05,72,25,0,62,20,60,-1,A#/B♭ Minor,4,6dJRP4pXk4SOzWfhfHL3Or,USUM71314076
9,"Survival","Eminem",176,10B,90,2025-03-11,04:32,62,"rap, hip hop","The Marshall Mathers LP2 (Deluxe)",2013-11-05,46,0,0,44,20,10,-3,D Major,4,3stOygN0I7CIvkEB2LJGbv,USUM71312879
10,"Legacy","Eminem",164,8A,90,2025-03-10,04:56,57,"rap, hip hop","The Marshall Mathers LP2 (Deluxe)",2013-11-05,66,28,0,53,40,20,-4,A Minor,4,1mavQ4WCzXSeL2Dm5DS4GQ,USUM71314077
11,"Wicked Ways","Eminem",138,4A,79,2025-03-11,06:31,49,"rap, hip hop","The Marshall Mathers LP2 (Deluxe)",2013-11-05,71,5,0,13,40,50,-7,F Minor,4,4dfAUJI1QesmK5HfK9gtYs,USUM71317910
12,"Take From Me","Bad Meets Evil",147,3B,78,2025-03-10,03:25,51,"","Hell: The Sequel (Deluxe)",2011-01-01,69,2,0,61,20,30,-5,C♯/D♭ Major,4,7n4PRAJjYzGFr1DR3KHYMU,USUM71107495
13,"That's All She Wrote","T.I.,Eminem",170,9B,79,2025-03-11,05:18,71,"southern hip hop, rap, hip hop","No Mercy",2010-12-02,50,3,0,36,30,0,-3,G Major,4,6XAA7T9VHcqKQSzjmXAJ8o,USAT21002600
14,"Over Now","Post Malone",164,9A,78,2025-03-10,04:06,68,"","beerbongs & bentleys",2018-04-27,57,14,0,18,0,10,-4,E Minor,4,09IOPhEh1OMe0HD9b36FJk,USUM71805169
15,"Boulevard of Broken Dreams","Green Day",167,4B,58,2025-03-11,04:20,81,"punk, pop punk","American Idiot (20th Anniversary Deluxe Edition)",2024-10-25,51,0,0,61,0,0,-8,G#/A♭ Major,4,0U87auHx1iZTEFcq9KVdmO,USRE11200337
16,"GREAT LAKES","cleopatrick",75,2B,79,2025-03-11,03:23,40,"","BUMMER",2021-06-04,45,0,0,52,0,30,-7,F#/G♭ Major,4,4ODBthPIrDroujDxRS7cWu,CAJXF2100017
17,"My Hand/Lawless Dream","Matt Maeson",113,6B,56,2025-03-10,05:42,35,"","Never Had to Leave",2022-08-26,56,8,0,25,0,10,-7,A#/B♭ Major,4,72HVBW3f3TF2p8aCP1h1Nu,USAT22207426
18,"Grave Digger","Matt Maeson",140,11A,44,2025-03-10,03:57,50,"","Grave Digger",2016-02-18,56,3,0,37,0,10,-8,F#/G♭ Minor,4,6UWmNaS12bUJzFBuQB6e7j,uscgh1674138
19,"Hurricane","Thirty Seconds To Mars",125,3A,75,2025-03-11,06:12,45,"","This Is War",2009-01-01,53,4,0,28,0,20,-6,A#/B♭ Minor,4,7jSyWNuHjjwJXr1SQCCAhB,USVI20900432
20,"How","The Neighbourhood",152,6A,75,2025-03-11,05:14,57,"","I Love You.",2013-04-22,38,0,69,6,0,0,-6,G Minor,4,6mAuw7R6u4vlNneuBgnC8K,USSM11300888
21,"Way down We Go","KALEO",163,3A,51,2025-03-11,03:33,84,"","A/B",2016-06-10,49,58,0,34,10,10,-8,A#/B♭ Minor,4,0y1QJc3SJVPKJ1OvFmFqe6,USAT21502122
22,"It's Called: Freefall","Rainbow Kitten Surprise",98,10B,52,2025-03-10,02:32,80,"","How to: Friend, Love, Freefall",2018-04-06,74,63,0,28,0,60,-6,D Major,4,474uVhyGgK5MtY9gMcDgGl,USAT21800165
23,"Devil Like Me","Rainbow Kitten Surprise",123,10B,63,2025-03-10,03:08,69,"","Seven + Mary",2013-11-13,68,76,0,56,10,10,-7,D Major,4,5VJe8OKFcPBBjNEAPUeDuJ,TCABT1491603
24,"First Class","Rainbow Kitten Surprise",90,3B,34,2025-03-10,05:43,65,"","Seven + Mary",2013-11-13,55,58,0,22,0,0,-10,C♯/D♭ Major,4,0uQxV7ysuBPhbfUkW1WOCp,TCABT1491600
25,"Feel Good","Matt Maeson",124,7B,25,2025-03-11,03:15,46,"","Bank On The Funeral",2019-04-05,70,71,0,17,0,30,-11,F Major,4,39Rqt9KEOpsBG5T2wvy0np,USAT21900737
26,"A Hole In the Earth","Daughter",85,8B,56,2025-03-11,04:41,37,"","Music from Before the Storm",2017-09-01,42,89,5,18,0,10,-8,C Major,4,4h8lzQfFJdA6YrWxTcEi0H,GBAFL1700298
27,"Jesus Christ","Brand New",88,10A,73,2025-03-11,05:18,57,"emo, pop punk, post-hardcore","The Devil And God Are Raging Inside Me",2006-01-01,66,30,16,26,0,20,-5,B Minor,4,72ccSGl5YcEWm0vhtVpi25,USUM70614449
28,"555","Jimmy Eat World",105,2B,51,2025-03-10,03:41,43,"emo, pop punk","Surviving",2019-10-18,42,1,0,19,0,0,-8,F#/G♭ Major,4,2TJkd845G0ocbd0m5jLroC,USRC11901701
29,"Unconsolable","X Ambassadors",151,11A,61,2025-03-11,03:36,41,"","Love Songs Drug Songs",2013-01-01,67,0,3,34,0,10,-8,F#/G♭ Minor,4,0jpoRHaMiyKNnCectzcXTv,USUM71304273
30,"The Hearse","Matt Maeson",156,12A,63,2025-03-11,03:42,52,"","The Hearse",2018-04-27,49,25,0,29,0,20,-7,C♯/D♭ Minor,4,7siD4wJRiNcC4680aiqOZg,USAT21801089
31,"The Best Deceptions","Dashboard Confessional",172,3B,40,2025-03-11,04:14,45,"emo, pop punk","The Places You Have Come to Fear the Most",2001-03-20,46,80,0,36,0,10,-9,C♯/D♭ Major,4,6yJl0W1IVV1DsTr0vfDY2e,USVR90235403
32,"End Of All Days","Thirty Seconds To Mars",98,5A,51,2025-03-11,04:46,39,"","LOVE LUST FAITH + DREAMS",2013-05-17,55,11,0,11,0,0,-10,C Minor,3,5aW4kes1vtZFKqfRiWUBbK,USVI21300026
33,"Rome","Phoenix",126,10B,68,2025-03-10,04:38,53,"indie","Wolfgang Amadeus Phoenix",2009-05-25,65,35,7,41,0,10,-7,D Major,4,5BBR5jxgXXKXNHyAAyhOQr,FR31Q0900007
34,"Handlebars","Flobots",142,7B,57,2025-03-11,03:26,65,"","Fight With Tools",2008-01-01,70,2,0,52,10,10,-7,F Major,4,6JH9yWhgbm0y9iAJhCslNc,USUM70810498
35,"Saints and Sailors","Dashboard Confessional",112,3B,74,2025-03-11,02:33,45,"emo, pop punk","The Places You Have Come to Fear the Most",2001-03-20,66,40,0,46,0,20,-6,C♯/D♭ Major,4,0kMMibKZeDcABgOWqY3LUm,USVR90235405
36,"Low Life","Crobot",76,2B,91,2025-03-11,03:36,48,"stoner rock","Motherbrain",2019-08-23,55,0,0,76,0,10,-5,F#/G♭ Major,4,3qsLiIMrQAq12sY3kWAoWm,NLB931902104
