#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"You Can't Look Back","Taking Back Sunday",108,12B,79,2025-03-18,04:27,37,"emo, pop punk, screamo, post-hardcore, punk","Tidal Wave",2016-09-16,66,3,0,27,0,10,-5,E Major,4,5qHSOO5fanhbdjPaiAIeVY,USHR21681003
2,"Golden Dandelions","Barns Courtney",139,5A,92,2025-03-19,03:24,56,"","The Attractions Of Youth",2017-09-29,46,2,0,37,0,10,-6,C Minor,4,5vdNoFezjTsQTrZxPK8tDg,GBUM71701356
3,"Heat Stroke","Black Math",120,4B,85,2025-03-18,02:36,42,"","Black Math",2016-12-09,73,3,1,24,20,10,-5,G#/A♭ Major,4,6eO78rJBtNGmKDdVS0USVT,TCACT1668460
4,"Lion","Saint Mesa",86,11A,50,2025-03-18,02:50,59,"","Lion",2017-09-01,25,20,1,32,0,30,-9,F#/G♭ Minor,3,5yuzTsgXe97MkNVNHtHic1,USUM71708838
5,"Free Animal","Foreign Air",80,4A,58,2025-03-19,03:00,61,"","For the Light",2016-09-23,58,9,0,41,0,0,-7,F Minor,4,6pnD89Q888HUHhcwQUTky8,TCACJ1573640
6,"Dream Girl Evil","Florence + The Machine",83,8B,71,2025-03-18,03:47,60,"baroque pop","Dance Fever",2022-05-13,55,1,0,26,0,10,-7,C Major,4,7GtOjSSp5Qyi3gNbNDZgja,GBUM72108019
7,"Fisherman","The Peach Kings",123,9A,70,2025-03-18,03:26,40,"","Fisherman",2012-05-02,80,18,0,68,0,10,-8,E Minor,4,7iXR11NaUdhfbAl9Aux0vP,TCACH1572329
8,"Oh No","Frances Lion",163,8B,51,2025-03-18,03:45,7,"","Oh No",2018-08-31,39,77,0,42,0,0,-5,C Major,4,5ir3dzVbAA2lZYisuUWU33,QM7G91611303
9,"Misbehave","Frances Lion",93,9B,75,2025-03-20,03:03,39,"","Misbehave",2024-10-23,70,11,0,49,0,20,-5,G Major,4,45xKkc83u4BOkfDwLLP1ey,UK9AV2400587
10,"Say What","The Peach Kings",86,11B,61,2025-03-18,04:27,15,"","Mojo Thunder EP",2014-06-03,65,3,0,70,0,0,-6,A Major,4,0wDHfPk4QxF6TVk3j0Zojy,TCABW1480934
11,"Hold On","The Peach Kings",170,8A,76,2025-03-19,03:03,21,"","Mojo Thunder EP",2014-06-03,61,43,10,65,0,0,-7,A Minor,4,4oNul1LRWqBvycre6N2Xpj,TCABW1480932
12,"Miles","Bad Flamingo",79,4B,29,2025-04-09,03:22,13,"","Miles",2025-03-28,60,35,0,42,0,0,-16,G#/A♭ Major,4,2revqLmN2oDP9uhBtAmGwg,QZ76Q2500001
13,"Frying Pan","Bad Flamingo",136,12B,25,2025-03-20,04:02,11,"","Frying Pan",2024-12-12,64,7,1,24,20,0,-16,E Major,4,1Wjey1LS5vH3w4ZOorM09u,QZ76Q2400007
14,"Kiss Bang","grandson",79,11A,83,2025-03-19,02:52,42,"","Kiss Bang",2017-03-03,32,0,22,32,0,30,-4,F#/G♭ Minor,1,20UffSyFaybW0xW04IhSbL,USRC11700086
15,"Rules","Rafferty",137,3A,86,2025-03-19,03:12,48,"","Rules",2017-03-10,63,4,2,53,0,20,-5,A#/B♭ Minor,4,2a6ehG2BKj0TQr3MBh81Q7,TCACY1731321
16,"Horns","Bryce Fox",156,2B,75,2025-03-19,03:37,61,"","Heaven on Hold",2017-10-20,49,8,0,33,20,20,-5,F#/G♭ Major,4,49qEikVVPd6PgH6S2pbXjZ,TCACN1612157
17,"King is Dead","Bryce Fox,King Green",133,11A,69,2025-03-19,03:35,5,"","Psychopath",2025-02-14,53,7,1,6,0,10,-6,F#/G♭ Minor,4,379D8MEiFstQthmqVqbWCT,CAN112402524
18,"Coming for You","Dirty Monster",174,11B,63,2025-03-20,01:19,30,"","Black",2020-02-18,72,1,0,30,0,10,-6,A Major,4,2eHWld6ITXqpQ8qUCjdP3r,uscgj2005113
19,"Gold in My Hair","Black Math",188,7B,86,2025-03-20,02:51,36,"","New Game",2019-06-21,61,2,0,89,10,10,-5,F Major,3,11xzzqo9lMGxd7z1UfMHcv,QZ25C1700487
20,"Freaks","The Hawk In Paris",133,1B,79,2025-03-20,03:20,41,"","Freaks",2013-10-29,65,0,63,82,0,10,-5,B Major,4,2pEPwdpxKzEi7zC3uxzFJs,TCABQ1330637
21,"Golden Boy","Bryce Fox",130,11B,78,2025-03-19,02:48,46,"","Strength",2022-04-08,70,0,0,62,0,20,-7,A Major,4,4QKn0rrKtijBZ1KS8W63tJ,QZGLS2189244
22,"Electric Bones","Findlay",95,3B,88,2025-03-20,03:12,41,"","Forgotten Pleasures",2017-03-03,59,0,0,67,0,90,-4,C♯/D♭ Major,4,2P7s3YjIeYTpzfFG5sZzFG,GBKPL1512008
23,"Thieves & Kings","The Peach Kings",160,11B,73,2025-03-18,03:40,42,"","Thieves & Kings",2012-09-06,43,1,6,44,0,10,-6,A Major,4,3etNLnzuLqShLyEbSwIiQF,TCACH1572294
24,"Woman Is King","Bishop Briggs",149,9A,67,2025-03-18,01:46,38,"","Tell My Therapist I'm Fine (Deluxe)",2025-03-07,61,13,0,45,10,20,-6,E Minor,4,1gxc1dIYLmSS2sxMm8BYNj,USA2P2503938
