#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"How Do You Like Me Now?!","Toby Keith",110,8B,67,2025-07-02,03:29,71,"country, classic country","How Do You Like Me Now?!",1999-01-01,65,5,0,67,0,0,-9,C Major,4,7rDcULv8vV16vetBjPJhuE,USDW19920901
2,"Gives You Hell","The All-American Rejects",100,12B,69,2025-07-02,03:33,66,"pop punk, emo","When The World Comes Down",2008-12-16,72,2,0,55,0,0,-6,E Major,4,5gb9UJkh8TfrNMRYOJNbew,USUM70837368
3,"She Hates Me","Puddle Of Mudd",110,12B,75,2025-07-02,03:36,75,"post-grunge","Come Clean",2001-08-28,58,1,0,58,0,70,-5,E Major,4,16DhvbuyvJob4Q9GHNYu2n,USIR10110582
4,"Bad Guy","Eminem",83,8B,80,2025-07-02,07:14,52,"rap, hip hop","The Marshall Mathers LP2 (Deluxe)",2013-11-05,50,6,0,35,40,20,-4,C Major,4,3IaAYtmN8T0YIYVqnxNnVz,USUM71314073
5,"I Don't Fuck With You","Big Sean,E-40",98,3B,73,2025-07-02,04:44,76,"hyphy, west coast hip hop, g-funk","Dark Sky Paradise",2015-02-23,82,4,0,40,0,30,-5,C♯/D♭ Major,4,7FYH5AW3bVfZHJIQpq3UOA,USUM71414033
6,"Move Bitch","Ludacris,Mystikal,I-20",178,3B,76,2025-07-02,04:30,66,"southern hip hop, crunk, old school hip hop, gangster rap","Word Of Mouf",2001-01-01,78,24,0,17,10,10,-6,C♯/D♭ Major,4,1Q9b6CeMcDuO0uq5OJCrqu,USDJ20110894
7,"Deuces (feat. Tyga & Kevin McCall)","Chris Brown,Tyga,Kevin McCall",74,3B,74,2025-07-02,04:36,73,"r&b, ","F.A.M.E. (Expanded Edition)",2011-03-22,69,3,0,22,10,0,-5,C♯/D♭ Major,4,6wN4nT2qy3MQc098yL3Eu9,USJI11000113
8,"Cold Hard Bitch","Jet",130,10B,89,2025-07-02,04:03,66,"","Get Born (Deluxe Edition)",2003-09-14,47,0,0,35,0,10,-4,D Major,4,0wESZs7gN7TvfDbVP0w3Aw,USEE10340568
9,"Savior","Rise Against",112,4A,93,2025-07-02,04:02,79,"punk, hardcore punk","Appeal To Reason",2008-01-01,55,0,0,48,0,40,-3,F Minor,4,1vcxF91pWs9uNwDROuiCPB,USUM70832584
10,"Houndin","Layto",133,8B,46,2025-07-02,03:15,57,"dark r&b","Houndin",2020-06-07,74,3,0,42,0,0,-10,C Major,4,3uEYOp1rDL1CJViIruQtb7,QM42K1912637
11,"Fuck It (I Don't Want You Back)","Eamon",68,5A,62,2025-07-02,03:44,54,"","Fuck It (I Don't Want You Back)",2004-04-05,83,10,0,50,0,0,-6,C Minor,4,3K67L83YEiEo6Wyir4pkDU,USJI10300480
12,"Bad Boys (Theme from Cops)","Inner Circle",88,9B,72,2025-07-02,03:49,61,"reggae, roots reggae","Bad Boys (Theme from Cops)",2012-06-05,78,24,0,53,0,0,-8,G Major,4,3gMsf1A4ewNI3NWDGVlmHb,USQY51293407
13,"Big Balls","AC/DC",107,11B,63,2025-07-02,02:38,60,"rock, hard rock, classic rock, rock and roll","Dirty Deeds Done Dirt Cheap",1976-09-20,62,43,0,42,20,60,-6,A Major,4,2KmSnPWWCIsEomVsKnbE1a,AUAP07600051
14,"Grow A Pear","Kesha",120,8B,67,2025-07-02,03:28,64,"","Cannibal (Expanded Edition)",2010-11-19,86,2,0,89,0,10,-4,C Major,4,2ISUiwj8xXqHeUFcen0AIU,USRC11000890
