#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Not Like That Anymore","Lola Young",135,4B,83,2025-07-07,03:22,59,"","Not Like That Anymore",2025-06-20,76,44,0,96,0,30,-5,G#/A♭ Major,4,6ugu9WpCEHXmns0PiqYTU1,GBUM72503144
2,"Downstairs","Matt Maeson",137,2B,49,2025-07-11,03:36,48,"","Downstairs",2025-07-11,65,22,0,25,0,10,-8,F#/G♭ Major,4,5a0z3YMeIkXwvJxja3gdy9,USAT22504166
3,"Grave","Kid Cudi",148,4A,85,2025-07-11,03:11,44,"","Grave",2025-07-11,75,38,0,84,0,30,-3,F Minor,4,5iSdtklaHGhsLtWZDgFUiB,USUG12505718
4,"Gone","HAIM",105,6B,84,2025-07-07,04:19,39,"","I quit",2025-06-20,49,17,0,51,20,0,-6,A#/B♭ Major,4,7GB9nHKwwLs9mdbjErqK4H,GBUM72501094
5,"Television Love","Of Monsters and Men",120,8B,71,2025-07-07,04:40,41,"folk pop","Television Love",2025-07-01,30,1,3,17,0,10,-8,C Major,4,4eh6lldHwQEu5yyfLzqrFw,USA2P2527415
6,"I Want It That Way - Alternate Lyrics","Backstreet Boys",99,11A,76,2025-07-11,03:34,42,"","Millennium 2.0",2025-07-11,67,28,0,46,0,10,-5,F#/G♭ Minor,4,4lcMnJrTxQPrf5mOHtpmJ9,USJI12400029
7,"Nothing Lasts Forever","The Goo Goo Dolls",116,8A,64,2025-07-11,03:25,44,"","Nothing Lasts Forever",2025-07-11,62,0,0,42,0,10,-6,A Minor,4,6ECALfGd5yXKI8NibYIHnA,USWB12502038
8,"Man On A Mission","The Black Keys",89,9A,91,2025-07-07,03:31,46,"blues rock, garage rock, modern blues, rock","Man On A Mission",2025-06-20,40,2,2,26,0,10,-4,E Minor,4,6fJld32axCH9Aw7XlVLoGG,USWB12501245
9,"we never dated","sombr",104,2B,87,2025-07-08,03:16,69,"","we never dated",2025-06-20,59,14,0,97,0,10,-5,F#/G♭ Major,4,7o3xJRQhpHRZ6IbyQX2xrp,USWB12501938
10,"vampire diaries","mgk",105,11B,87,2025-07-11,02:35,4,"","vampire diaries",2025-07-11,51,2,0,41,0,0,-5,A Major,4,03HuVUgzwdz4HNn6qiEPmJ,USUG12504418
11,"TATTOOS & U","iann dior",168,11A,78,2025-07-09,01:58,0,"melodic rap","CYCLES",2025-06-13,60,9,0,74,0,40,-5,F#/G♭ Minor,4,09UYofj7iYJ6ORZMPx7Qlf,USA2P2524054
12,"Mad","Reneé Rapp",180,11B,67,2025-07-08,02:54,2,"","Mad",2025-06-27,47,3,0,72,0,0,-5,A Major,4,1uq1pf0UdjGmfbPqIpPg5K,USUM72504841
13,"Intentions","Justin Bieber,Quavo",148,11B,55,2025-07-12,03:32,72,"","Intentions",2020-02-07,81,32,0,86,0,10,-7,A Major,4,364dI1bYnvamSnBJ8JcNzN,USUM72001302
14,"DAISIES","Justin Bieber",110,4B,38,2025-07-11,02:56,95,"","SWAG",2025-07-11,80,72,0,48,0,10,-9,G#/A♭ Major,4,5BZsQlgw21vDOAjoqkNgKb,USUG12504304
15,"THINGS YOU DO","Justin Bieber",99,9A,19,2025-07-20,01:48,74,"","SWAG",2025-07-11,82,92,0,57,0,10,-16,E Minor,4,1j8TmNa6vaFAEAws43kP0Q,USUG12506183
16,"WAY IT IS","Justin Bieber,Gunna",77,4B,58,2025-07-20,03:15,72,"melodic rap","SWAG",2025-07-11,56,36,0,39,0,10,-6,G#/A♭ Major,4,1r3uOHPoiIv89Xb6K9bDH4,USUG12506177
17,"Diet Pepsi","Addison Rae",150,6B,56,2025-07-08,02:49,81,"","Addison",2025-06-06,67,50,1,82,0,10,-7,A#/B♭ Major,4,6ouhsRJ7gExB7LCYjITk4Y,USSM12405456
