#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Viva Las Vegas","Elvis Presley",144,9B,57,2025-10-07,02:24,61,"rockabilly, rock and roll","Elvis' Gold Records, Vol. 4",1968-01-22,61,82,0,86,0,30,-11,G Major,4,5Q7ayTarb9Tpmkik5cVMug,USRC16301778
2,"Waking Up In Vegas","Katy Perry",131,4A,88,2025-10-07,03:19,61,"pop","One Of The Boys",2008-06-17,52,0,0,59,0,10,-3,F Minor,4,6fvxos1qSHrIgOkKw4dhWS,USCA20802541
3,"Vegas","Doja Cat",160,1A,60,2025-10-07,03:03,56,"","ELVIS (Original Motion Picture Soundtrack)",2022-06-24,79,8,0,77,20,10,-8,G#/A♭ Minor,4,3FWwi61OP7vXEikwqhZCPZ,USRC12201441
4,"Vegas","Shaboozey",142,6A,54,2025-10-07,03:01,59,"","Where I've Been, Isn't Where I'm Going",2024-05-31,56,40,0,24,0,10,-6,G Minor,4,27QKdaqsOcLodD31PuYFZJ,USUYG1537474
5,"Vegas","Sara Bareilles",80,3B,60,2025-10-07,04:07,37,"","Little Voice",2007-07-03,63,1,0,60,0,10,-6,C♯/D♭ Major,4,1NcGrbn2dbx6VQOPQeKhjl,USSM10702220
6,"Vegas","Kehlani",95,10B,73,2025-10-07,03:46,39,"","CRASH",2024-06-21,53,3,0,12,0,70,-4,D Major,4,2en7hnmRZpVWwCrKtD0KBK,USAT22402871
7,"Fever","The Cramps",112,10B,33,2025-10-07,04:16,0,"psychobilly, horror punk, rockabilly, deathrock, gothic rock","The Hangover - Original Motion Picture Soundtrack",2009-01-01,68,79,25,41,0,10,-12,D Major,4,4VkA0odEfn8lmHNEs8xQsu,USCA28000198
8,"Right Round","Flo Rida,Kesha",125,9B,67,2025-10-07,03:24,85,"","R.O.O.T.S. (Route of Overcoming the Struggle)",2009-03-23,72,1,0,71,0,20,-7,G Major,4,3GpbwCm3YxiWDvy29Uo3vP,USAT20900156
9,"Where Have You Been","Rihanna",128,5A,85,2025-10-07,04:02,79,"","Talk That Talk",2011-11-19,72,0,2,44,0,20,-6,C Minor,4,3tyPOhuVnt5zd5kGfxbCyL,USUM71118074
10,"Vegas Girl","Conor Maynard",176,3B,73,2025-10-07,02:49,36,"","Contrast",2012-05-28,57,0,0,21,0,0,-6,C♯/D♭ Major,4,55zVsfjfD9qbCCFRVv95qi,GBAYE1200794
11,"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha,Ty Dolla $ign",140,7B,62,2025-10-07,03:17,57,"trap soul","All Your Fault: Pt. 1",2017-02-16,66,3,0,37,0,20,-6,F Major,4,4ZJPwET9Jrgpkqi4Vo3Yg8,USWB11700170
12,"Double Down","Slothrust",75,5A,64,2025-10-07,03:11,4,"","The Pact",2018-09-14,64,1,0,79,10,0,-5,C Minor,4,6Y7vgyXBoedIKgvmZSYXMw,US3R21816901
13,"Counting Cards","Rainbow Kitten Surprise",110,8A,59,2025-10-07,03:49,35,"","RKS",2015-00-00,76,8,0,33,0,10,-8,A Minor,4,0OpI4787ZNiXvJoKJJLwnp,USAT21800291
14,"Longshot","Catfish and the Bottlemen",103,9B,77,2025-10-07,03:52,46,"indie, indie rock","Longshot",2019-01-08,48,0,0,47,0,10,-4,G Major,4,1Yi8XPnCPoimWwqxwm3uz9,GBUM71804352
15,"Hot Streak","Creature Canyon",160,4A,83,2025-10-07,03:14,0,"","Did You Want That",2018-10-19,63,8,0,72,0,0,-4,F Minor,4,0pedRj9MtlLH4AN5eWFOkB,GBKPL1808380
16,"Greenback Boogie","Ima Robot",143,6B,54,2025-10-09,04:57,47,"","Greenback Boogie",2015-12-11,55,42,1,28,0,60,-10,A#/B♭ Major,4,74RBxG1kzNOYOgDGn5RO8S,USA2B1011801
17,"Dirty Life","Ima Robot",110,7A,88,2025-10-09,03:42,20,"","Ima Robot",2003-01-01,58,1,0,65,0,10,-6,D Minor,4,46bY1xJ6ZtfmsweuiMp5jX,USVI20301120
18,"Body Talks","The Struts",93,1A,86,2025-10-07,02:56,0,"glam rock","Body Talks",2018-06-15,59,0,0,62,10,40,-3,G#/A♭ Minor,4,4ikBDu58f3peRVRsXxuP2Q,USUM71807300
19,"Negative Space","Alex Frankel",104,4A,65,2025-10-08,03:58,0,"nu disco","Negative Space",2016-09-30,76,7,1,71,0,0,-7,F Minor,4,7HnchKYj7p3nZpGxQiywQ4,GBKPL1672002
20,"Bet On It","Troy,Disney",137,4A,67,2025-10-07,03:18,66,"","High School Musical 2 (Original Soundtrack)",2007-01-01,81,2,0,44,0,0,-6,F Minor,4,4EnwhEyuVrC1CgvSur5YL4,USWD10732099
21,"Can't Stop","Red Hot Chili Peppers",91,11B,94,2025-10-07,04:29,89,"funk rock, alternative rock, rock","By the Way (Deluxe Edition)",2002-07-09,62,2,0,88,0,10,-3,A Major,4,3ZOEytgrvLwQaqXreDs2Jx,USWB10201694
22,"Mojo So Dope","Kid Cudi",180,11A,79,2025-10-09,03:30,64,"","Man On The Moon II: The Legend Of Mr. Rager",2010-11-09,61,55,84,85,0,30,-8,F#/G♭ Minor,4,6hPSal3ragmfUt1I5mKZjn,USUM71025500
23,"Ashin’ Kusher","Kid Cudi",93,6B,64,2025-10-09,03:48,50,"","Man On The Moon II: The Legend Of Mr. Rager",2010-11-09,86,73,0,58,20,10,-6,A#/B♭ Major,4,6GSMozgAebBmuM2hCV15H3,USUM71025501
24,"Mr. Rager","Kid Cudi",102,9B,73,2025-10-09,04:54,75,"","Man On The Moon II: The Legend Of Mr. Rager",2010-11-09,67,39,88,58,0,10,-9,G Major,4,393MDhe62s8hbH8ETrlxe5,USUM71025042
