#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Let It Ride","Bachman-Turner Overdrive",104,11A,82,2025-11-23,04:27,60,"classic rock","Bachman-Turner Overdrive II",1973-12-01,64,11,0,82,0,10,-10,F#/G♭ Minor,4,3UQA4UTVqcI0VtSQ38nlq1,USPR37607317
2,"Stealin'","Uriah Heep",118,9B,49,2025-11-23,04:49,0,"progressive rock, hard rock","Sweet Freedom (Expanded Version)",1973-09-01,33,0,1,7,0,10,-12,G Major,4,2AEW4oatiphhXuGRteMLqx,GBAJE7300388
3,"Carry on Wayward Son","Kansas",127,9B,79,2025-11-23,05:23,79,"classic rock, progressive rock, aor","Leftoverture (Expanded Edition)",1976-00-00,48,0,0,79,0,40,-6,G Major,4,4DMKwE2E2iYDKY01C335Uw,USSM17600874
4,"Dust in the Wind","Kansas",94,9B,32,2025-12-07,03:26,81,"classic rock, progressive rock, aor","Point Of Know Return (Expanded Edition)",1977-00-00,48,37,0,39,0,10,-11,G Major,4,6zeE5tKyr8Nu882DQhhSQI,USSM10103196
5,"Play the Game Tonight","Kansas",118,7A,63,2025-12-07,03:27,51,"classic rock, progressive rock, aor","Vinyl Confessions",1982-06-01,64,21,0,25,0,0,-9,D Minor,4,5JQaG1VrTu4fbieUsDUdrt,USSM11102575
6,"Point of Know Return","Kansas",136,7B,59,2025-12-07,03:10,51,"classic rock, progressive rock, aor","Point Of Know Return (Expanded Edition)",1977-00-00,69,9,0,65,0,10,-5,F Major,4,0YoAVHXeEPPzZxK0xPQqYn,USSM10103190
7,"Can I Tell You","Kansas",102,9A,71,2025-12-07,03:32,32,"classic rock, progressive rock, aor","Kansas (Expanded Edition)",1974-00-00,52,4,0,71,10,0,-7,E Minor,4,0b1gFyh1DnjTD6cHIpzPIG,USSM10008308
8,"Child of Innocence","Kansas",169,12A,73,2025-12-07,04:34,29,"classic rock, progressive rock, aor","Masque (Expanded Edition)",1975-00-00,28,10,0,76,0,40,-8,C♯/D♭ Minor,4,151D7hJead77tBDUWVgzpq,USSM10103171
9,"Fight Fire With Fire","Kansas",119,9B,79,2025-12-07,03:40,33,"classic rock, progressive rock, aor","The Best Of Kansas",1984-00-00,54,7,0,62,0,20,-9,G Major,4,5RC12RMHBqOtB1S6wmiw7L,USSM19803731
10,"What's on My Mind","Kansas",118,3A,78,2025-12-07,03:28,47,"classic rock, progressive rock, aor","Leftoverture (Expanded Edition)",1976-00-00,56,13,0,93,0,30,-6,A#/B♭ Minor,4,4DF4knUo8uST0QOR6ZqLsD,USSM19915150
11,"If You Leave Me Now","Chicago",104,1B,56,2025-12-07,03:55,81,"yacht rock, soft rock","Chicago X",1976-06-14,43,2,0,28,0,10,-7,B Major,4,0KMGxYKeUzK9wc5DZCt3HT,USRH10285535
