#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Shut Me Up","Mindless Self Indulgence",174,3B,80,2025-12-27,02:48,73,"","You'll Rebel to Anything (Expanded and Remastered 2008)",2005-00-00,59,0,0,79,10,0,-4,C♯/D♭ Major,4,3oZUlZMXkj51AyYG8lGaE7,US68L0500001
2,"I WANNA BE YOUR SLAVE","Måneskin",133,3B,61,2025-12-27,02:53,86,"","Teatro d'ira - Vol. I",2021-03-19,75,0,0,96,0,10,-4,C♯/D♭ Major,4,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
3,"I'm so crazy for youuu </3","Rebzyyx",159,2B,100,2025-12-27,01:50,75,"hyperpop","I'm so crazy for youuu </3",2021-04-13,52,8,0,80,10,70,-1,F#/G♭ Major,4,3uKqnQ0dGBcpovf9lV2nqg,QZES92129250
4,"Psycho Killer","Talking Heads",123,10B,40,2025-12-27,04:20,78,"new wave, post-punk","Talking Heads '77",1977-09-16,72,6,0,94,0,10,-12,D Major,4,7dSCxR4LqkmxoBrq9MzVSD,USWB19900858
5,"Super Psycho Love","Simon Curtis",110,8A,82,2025-12-27,03:42,59,"","Super 8-Bit Heart",2016-01-08,73,1,0,79,0,0,-6,A Minor,4,50fBaxpXWE8Ul4yjo0Q5O2,TCACK1570046
6,"Addicted","Saving Abel",138,9B,86,2025-12-27,03:42,73,"post-grunge","Saving Abel",2008-01-01,51,0,0,53,0,10,-4,G Major,4,3pxCXv0NACYfYnLjFcQW5D,USVI20701296
7,"Sex for Homework","Mindless Self Indulgence",144,2B,90,2025-12-27,03:14,59,"","MSI B-SIDES vol.1",2024-06-15,68,6,0,88,0,0,-7,F#/G♭ Major,4,2ayu5rqFNgoMGXZNV0wWzr,QZNWX2434219
8,"Seven Minutes in Heaven","Mindless Self Indulgence",115,10A,95,2025-12-27,02:13,78,"","MSI B-SIDES vol.1",2024-06-15,61,1,0,58,10,30,-4,B Minor,4,2t7B8DDBgLbMcYVMTo8vd5,QZNWX2434220
9,"Dirty Mind","3OH!3",93,12B,86,2025-12-27,03:17,67,"","Dirty Mind",2011-12-20,64,3,0,58,20,20,-4,E Major,4,0R97k5AJy1udJI6mGV82FJ,USAT21103579
10,"She's My Collar (feat. Kali Uchis)","Gorillaz,Kali Uchis",140,1B,82,2025-12-27,03:29,80,"","Humanz (Deluxe)",2017-04-28,73,1,8,46,0,10,-6,B Major,4,3lIxtCaROdRDuTnNBDm3n2,GBAYE1700176
11,"What Do They Know?","Mindless Self Indulgence",154,9B,79,2025-12-27,03:08,68,"","You'll Rebel to Anything (Expanded and Remastered 2008)",2005-00-00,65,4,0,60,0,20,-5,G Major,4,5abubE0dYFaEPDeM2sZ4TY,US68L0500006
12,"Get It Up","Mindless Self Indulgence",120,8A,90,2025-12-27,02:35,0,"","If",2008-04-29,65,1,0,47,0,30,-4,A Minor,4,1Fbqr1IBdkyoxoP9E1cQYI,US2420809921
13,"Never Wanted To Dance","Mindless Self Indulgence",92,10B,75,2025-12-27,03:08,66,"","If",2008-04-29,57,1,0,74,10,20,-4,D Major,4,1vOdNMCzhbdz2tMQJYsHJB,US2420809916
14,"A Little Bit Harder Now","She Wants Revenge",120,9B,75,2025-12-27,02:54,73,"darkwave, gothic rock","Up and Down",2009-09-22,77,0,0,91,0,10,-3,G Major,4,5td7LYTivVH0MXXwin8QvE,USI4R0911563
15,"Dangerous Animals","Arctic Monkeys",125,5B,92,2025-12-27,03:30,0,"indie, garage rock","Humbug",2009-08-25,34,1,0,53,10,20,-5,D#/E♭ Major,4,141YScqYkYhHPpqWhIBebc,GBCEL0900444
16,"FUNERAL GREY","Waterparks",146,12A,85,2025-12-27,02:44,53,"pop punk","INTELLECTUAL PROPERTY",2023-04-14,65,2,0,96,0,60,-4,C♯/D♭ Minor,4,6Rebnr2UDaxxg3VNe6CBg2,USAT22203967
17,"Funeral","Miguel",96,11B,31,2025-12-27,02:14,38,"r&b","Art Dealer Chic 4",2021-04-09,76,4,2,15,0,10,-10,A Major,4,1nEmf9nzeRDWQEb6tb6EKZ,USRC11903399
18,"Every Night","Montell Fish",120,4B,85,2025-12-27,02:28,63,"christian lo-fi","Her Love Still Haunts Me Like a Ghost",2022-10-28,53,69,1,51,10,10,-4,G#/A♭ Major,4,21MjiNNSZylKr74tEuGHpm,QZVBE2200010
19,"Exscape","Montell Fish",140,9A,85,2025-12-27,02:22,63,"christian lo-fi","Her Love Still Haunts Me Like a Ghost",2022-10-28,60,65,0,45,0,10,1,E Minor,4,2JxPgHghyuG0SKNy8htBWg,QZVBE2200011
20,"Too Much","Pale",108,3A,36,2025-12-27,03:38,32,"","Too Much",2013-03-12,89,16,0,77,0,0,-9,A#/B♭ Minor,4,1Dr1BdcdCNFittgQmEMut7,GBKPL1351953
21,"Danny Phantom (feat. XXXTENTACION)","Trippie Redd,XXXTENTACION",147,10A,80,2025-12-27,02:16,52,"melodic rap, emo rap","Trip At Knight",2021-08-21,63,16,0,81,40,30,-7,B Minor,4,2CxXnPvHjWOrzSVvNs0j8c,QZJ842001150
22,"BAD!","XXXTENTACION",144,4A,49,2025-12-27,01:34,73,"emo rap","SKINS",2018-12-07,78,6,3,37,0,10,-3,F Minor,4,22An65gG31JLf9n18qjdhZ,USUYG1225643
23,"FMLYHM","Seether",196,10B,82,2025-12-27,03:28,58,"post-grunge, alternative metal, rock","Finding Beauty In Negative Spaces (Bonus Track Version)",2007-01-01,37,0,0,31,0,10,-4,D Major,4,7kwsODkk97z4tn9pW3GkaK,USWU30700134
24,"hell of a good time","Haiden Henderson",130,12A,78,2025-12-27,02:41,66,"","hell of a good time",2024-03-15,77,1,0,84,0,10,-5,C♯/D♭ Minor,4,7132EFlbWFNX4mLDY23OR5,USUM72402787
25,"Miss Murder","AFI",144,4B,87,2025-12-27,03:26,72,"punk, horror punk, emo, skate punk","DECEMBERUNDERGROUND",2006-06-06,31,0,0,69,0,10,-5,G#/A♭ Major,4,0Ti2dlF2xLjXblvdU5fCxM,USUM70602578
