#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"All I Have to Give","Backstreet Boys",96,3B,57,2025-12-30,04:36,59,"","Backstreet Boys",1996-00-00,73,6,0,39,0,0,-7,C♯/D♭ Major,4,3hlhefxgyp4MDnN6C2dQ5H,USJI19710095
2,"All of Your Life (You Need Love)","Backstreet Boys",131,8B,82,2025-12-30,03:55,36,"","This Is Us",2009-10-06,67,0,0,58,0,10,-5,C Major,4,03HycZUV9vzoo4XrbgCzsj,USJI10900525
3,"The Answer to Our Life","Backstreet Boys",110,11B,76,2025-12-30,03:17,49,"","Black & Blue",2000-11-21,72,7,0,94,0,20,-4,A Major,4,3BpjGJcn3ethvch0CJsqXo,USJI10000540
4,"Any Other Way","Backstreet Boys",109,1A,92,2025-12-30,03:23,36,"","Unbreakable",2007-10-24,56,0,0,81,0,0,-4,G#/A♭ Minor,4,76DVcA804KOxwKzKp2YMxq,USJI10700632
5,"Anywhere for You","Backstreet Boys",130,4A,58,2025-12-30,04:41,44,"","Backstreet Boys",1996-00-00,63,33,0,30,0,10,-7,F Minor,4,05sp2EySV6DXsKLeBnjaK0,GBAHK9600041
6,"As Long as You Love Me","Backstreet Boys",98,8B,82,2025-12-30,03:34,69,"","Backstreet Boys",1996-00-00,78,17,0,75,0,10,-6,C Major,4,00WvmRXTkPBZNhhRK3xfdy,USJI19710149
7,"Back to Your Heart","Backstreet Boys",92,10B,43,2025-12-30,04:21,51,"","Millennium",1999-05-18,65,23,0,24,0,10,-7,D Major,4,0rVPrbLlFgLtJWd31gM5Cw,USJI19910627
8,"Bigger","Backstreet Boys",105,8B,75,2025-12-30,03:15,50,"","This Is Us",2009-10-06,53,2,0,30,0,20,-6,C Major,4,2DTBXyVq5YqQUB26nP0AKc,USJI10900514
9,"Breathe","Backstreet Boys",106,9B,63,2025-12-30,03:50,28,"","In a World Like This",2013-07-30,63,0,0,41,0,10,-6,G Major,4,5l2Umj2nI73rKCgOqPjyQK,QMRSZ1300093
10,"Breathe","Backstreet Boys",85,12B,36,2025-12-30,03:06,47,"","DNA",2019-01-25,44,57,0,33,0,10,-6,E Major,4,5QQKkakSDzALyAO0GmxzJ6,USRC11803635
11,"Bye Bye Love","Backstreet Boys",127,11A,69,2025-12-30,04:20,37,"","This Is Us",2009-10-06,76,6,0,71,0,20,-4,F#/G♭ Minor,4,66QXyC4ndlpuEiTVB3VLUF,USJI10900515
12,"The Call","Backstreet Boys",104,3A,87,2025-12-30,03:24,67,"","Black & Blue",2000-11-21,70,12,0,75,0,30,-3,A#/B♭ Minor,4,1mxTCArq9EhSg4QPGqhjhT,USJI10000535
13,"Chances","Backstreet Boys",110,1B,76,2025-12-30,02:53,45,"","DNA",2019-01-25,55,2,0,30,0,40,-6,B Major,4,1D0suElatoKurOqJBol7JV,USRC11803316
14,"Chateau","Backstreet Boys",78,3B,51,2025-12-30,03:08,39,"","DNA",2019-01-25,68,26,0,51,0,10,-4,C♯/D♭ Major,4,2yedRoI0ixMxQSyHE0q1Jq,USRC11803640
15,"Climbing the Walls","Backstreet Boys",91,7B,87,2025-12-30,03:42,43,"","Never Gone",2005-06-14,49,5,0,23,0,20,-4,F Major,4,1sSNrDbb7hEptYOXaiOnUm,USJI10500260
16,"Crawling Back to You","Backstreet Boys",142,12B,76,2025-12-30,03:44,52,"","Never Gone",2005-06-14,50,3,0,26,0,10,-4,E Major,4,4flpoC8HIvSNFO0MJljT6E,USJI10500255
17,"Darlin'","Backstreet Boys",122,5A,52,2025-12-30,05:31,33,"","Backstreet Boys",1996-00-00,67,11,0,31,0,10,-8,C Minor,4,1xiZcrzUUtdy7kr2zp9zsu,GBAHK9600036
18,"Don't Go Breaking My Heart","Backstreet Boys",95,8B,70,2025-12-30,03:36,51,"","DNA",2019-01-25,64,2,0,25,0,10,-6,C Major,4,1E3ghCAkxEdT5KHVBwArr3,USRC11800456
19,"Don't Wanna Lose You Now","Backstreet Boys",93,2B,55,2025-12-30,03:55,60,"","Millennium",1999-05-18,66,37,0,54,0,10,-8,F#/G♭ Major,4,6gPVAM9CNj1uQQtGK0eYzZ,USJI19910625
20,"Don't Want You Back","Backstreet Boys",103,11A,64,2025-12-30,03:26,54,"","Millennium",1999-05-18,73,10,0,89,0,10,-5,F#/G♭ Minor,4,2EgIkNeq1Tsx1JamvF6JWg,USJI19910624
21,"Downpour","Backstreet Boys",109,1A,80,2025-12-30,03:21,35,"","Unbreakable",2007-10-24,51,17,0,39,0,10,-3,G#/A♭ Minor,4,54yKfCCeBWdv8Jd2oZSCyc,USJI10700646
22,"Drowning","Backstreet Boys",142,2B,78,2025-12-30,04:27,74,"","The Hits--Chapter One",2001-10-23,57,8,0,48,0,10,-6,F#/G♭ Major,4,0AiTIiCQ15NW8QHQwSxKuR,USJI10100373
23,"Everybody (Backstreet's Back) - Extended Version","Backstreet Boys",108,3A,81,2025-12-30,04:47,64,"","Backstreet Boys",1996-00-00,79,1,0,51,0,20,-5,A#/B♭ Minor,4,5WTxbyWTpoqhdxEN2szOnl,USJI19710084
24,"Everyone","Backstreet Boys",110,6B,96,2025-12-30,03:29,49,"","Black & Blue",2000-11-21,69,3,0,92,0,30,-3,A#/B♭ Major,4,464iersUDsSz3mIToTEWvK,USJI10000541
25,"Everything But Mine","Backstreet Boys",130,10A,91,2025-12-30,04:06,36,"","Unbreakable",2007-10-24,58,1,0,60,0,30,-4,B Minor,4,4FFh8DPprWLaVdWoRnmZxy,USJI10700633
26,"Feels Like Home","Backstreet Boys",112,10B,81,2025-12-30,03:26,28,"","In a World Like This",2013-07-30,69,3,0,75,0,10,-5,D Major,4,12iAtziLBQkl3RZzr9iBdD,QMRSZ1300101
