#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Did You Get My Message?","Jason Mraz",170,3B,75,2026-01-10,04:00,31,"soft pop, acoustic pop","Mr. A-Z",2005-07-26,53,43,0,65,0,0,-5,C♯/D♭ Major,4,4OI0mQIFAvlHFm2PPSOG0R,USEE10500843
2,"The Suburbs","Arcade Fire",118,11A,68,2026-01-10,05:15,58,"indie rock, baroque pop","The Suburbs",2010-08-02,62,6,2,53,0,30,-6,F#/G♭ Minor,4,2UWdUez9MB9yzL7Y81Mcip,GBUM71018417
3,"Top of My School","Katherine Lynn-Rose",209,12B,41,2026-01-10,02:37,59,"","Top of My School",2021-02-19,46,71,0,29,0,10,-10,E Major,3,5OKyAO31eOeJV5qEx2lv4k,QZFZ72108704
4,"Price of Perfection","Katherine Lynn-Rose,Lilianne Coeverden",142,5A,43,2026-01-10,03:26,47,"","Price of Perfection",2022-02-04,62,24,0,48,0,10,-10,C Minor,4,2bu6TFn64ASDFXocD9HQ38,QZFZ62241506
5,"When He Sees Me","Sara Bareilles",120,5B,49,2026-01-10,03:50,45,"","What's Inside: Songs from Waitress",2015-11-06,71,32,0,36,0,10,-7,D#/E♭ Major,4,6GxexyfupoH665lm63C0zs,USSM11507933
6,"Bad Idea (feat. Jason Mraz)","Sara Bareilles,Jason Mraz",168,3B,89,2026-01-10,03:26,34,"soft pop, acoustic pop","What's Inside: Songs from Waitress",2015-11-06,59,2,0,79,0,0,-6,C♯/D♭ Major,3,1xi7L6YU6TRzXgh2rogz1h,USSM11507937
7,"Someone Gets Hurt","Taylor Louderman,Kyle Selig,Original Broadway Cast of Mean Girls",150,10A,69,2026-01-10,03:07,58,"musicals","Mean Girls (Original Broadway Cast Recording)",2018-05-18,27,13,0,32,0,20,-4,B Minor,4,1zyrjK69LRZCvEmUtJUbsT,USAT21801365
8,"I'd Rather Be Me","Barrett Wilbert Weed,Original Broadway Cast of Mean Girls",140,12B,80,2026-01-10,02:50,51,"musicals","Mean Girls (Original Broadway Cast Recording)",2018-05-18,68,10,0,81,10,20,-3,E Major,4,5cesclKWAhsCcZJDBhkWaa,USAT21801373
9,"Popular","Ariana Grande",178,7B,32,2026-01-10,04:01,70,"pop","Wicked: The Soundtrack",2024-11-22,44,73,0,47,10,10,-12,F Major,4,3i8fIJNV0yuC4kXT3SkVBZ,USUG12407080
10,"All You Wanna Do","SIX,Aimie Atkinson",144,10A,53,2026-01-10,06:50,64,"musicals, ","Six: The Musical (Studio Cast Recording)",2018-08-31,74,30,0,60,10,0,-8,B Minor,4,1U0hiOuodfSsxdcTYXGEdT,GBKPL1821969
11,"Don't Lose Ur Head","SIX,Christina Modestou",83,6A,61,2026-01-10,04:05,67,"musicals, ","Six: The Musical (Studio Cast Recording)",2018-08-31,86,25,0,72,30,10,-8,G Minor,4,6sUQqRmOcRyAG5M3EWXzr3,GBKPL1821972
12,"Girlfriend","Avril Lavigne",164,9B,96,2026-01-10,03:36,81,"","The Best Damn Thing (Expanded Edition)",2007-04-17,56,0,0,67,10,20,-2,G Major,4,45hOioMDJktr86iKDHC8gr,USRC10700021
13,"The Call","Backstreet Boys",104,3A,87,2026-01-10,03:24,67,"","Black & Blue",2000-11-21,70,12,0,75,0,30,-3,A#/B♭ Minor,4,1mxTCArq9EhSg4QPGqhjhT,USJI10000535
14,"Get'cha Head In The Game","Troy,Disney",113,10A,90,2026-01-10,02:27,61,"","High School Musical",2006-01-01,88,4,1,53,10,0,-7,B Minor,4,3sT37kCEpxM1zQ8s98i7ps,USWD10527736
15,"Bet On It","Troy,Disney",137,4A,67,2026-01-10,03:18,66,"","High School Musical 2 (Original Soundtrack)",2007-01-01,81,2,0,44,0,0,-6,F Minor,4,4EnwhEyuVrC1CgvSur5YL4,USWD10732099
16,"Scream","High School Musical Cast,Zac Efron,Disney",111,2A,84,2026-01-10,03:56,61,"musicals, ","High School Musical 3: Senior Year",2008-01-01,63,6,0,54,0,0,-4,D#/E♭ Minor,4,20QRXRV7wUFOIgBQCGnUy3,USWD10834894
17,"Mowgli's Road","MARINA",146,3A,81,2026-01-10,03:12,46,"","The Family Jewels",2009-07-15,62,1,0,66,0,30,-7,A#/B♭ Minor,4,7GSt1wQIumbnBcx3Fc6oxS,GBFFS0900113
18,"Crazy = Genius","Panic! At The Disco",114,10B,91,2026-01-10,03:18,63,"emo","Death of a Bachelor",2016-01-15,46,0,0,45,10,10,-4,D Major,4,6V68ItawQkQlZhYIf1S86C,USAT21503697
