#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Forgot About Dre","Dr. Dre,Eminem",134,4B,74,2026-03-09,03:42,80,"old school hip hop, g-funk, gangster rap, west coast hip hop, hip hop, rap","2001",1999-11-16,92,8,0,62,0,10,-1,G#/A♭ Major,4,7iXF2W9vKmDoGAhlHdpyIa,USIR19915077
2,"Still D.R.E.","Dr. Dre,Snoop Dogg",93,1B,78,2026-03-09,04:30,85,"old school hip hop, g-funk, gangster rap, west coast hip hop, hip hop, rap","2001",1999-11-16,82,16,0,53,20,0,-3,B Major,4,503OTo2dSqe7qk76rgsbep,USIR19905031
3,"The Next Episode","Dr. Dre,Snoop Dogg",95,3A,91,2026-03-09,02:41,82,"old school hip hop, g-funk, gangster rap, west coast hip hop, hip hop, rap","2001",1999-11-16,92,3,0,31,20,0,-2,A#/B♭ Minor,4,4LwU4Vp6od3Sb08CsP99GC,USIR19915078
4,"Ms. Jackson","Outkast",95,9A,81,2026-03-09,04:30,86,"southern hip hop, hip hop","Stankonia",2000-10-31,84,14,0,61,20,0,-6,E Minor,4,0I3q5fE6wg7LIfHGngUTnV,USLF20000357
5,"Gangsta's Paradise","Coolio,L.V.",80,4B,51,2026-03-09,04:00,89,"west coast hip hop, g-funk, ","Gangsta's Paradise",1995-11-07,65,7,0,39,0,40,-10,G#/A♭ Major,4,1DIXPcTDzTj8ZMHt3PDt8p,USTB10400128
6,"Can't C Me","2Pac",95,8B,85,2026-03-11,05:30,72,"old school hip hop, west coast hip hop, gangster rap, g-funk, hip hop","All Eyez On Me",1996-02-13,80,4,0,67,10,30,-2,C Major,4,7rUchbZxrhF29Q0vYjKEU0,USKO10404416
7,"Notorious Thugs - 2014 Remaster","The Notorious B.I.G.",155,10A,87,2026-03-09,06:06,73,"old school hip hop, gangster rap, east coast hip hop, hip hop","Life After Death (2014 Remastered Edition)",1997-03-04,70,12,0,74,10,20,-4,B Minor,4,19FsxX4RthRMZGfXkImdCb,USAT21402735
8,"Let Me Clear My Throat - Old School Reunion Remix '96","DJ Kool",103,9B,90,2026-03-10,04:50,60,"go-go, old school hip hop","Let Me Clear My Throat",1996-01-01,70,17,0,54,20,30,-7,G Major,4,7k3sn5TIQ3qRVJ8FPTG9kx,USSM19802892
9,"Paul Revere","Beastie Boys",92,11A,55,2026-03-09,03:40,62,"rap rock, old school hip hop, east coast hip hop, hip hop","Licensed To Ill",1986-11-15,88,2,0,58,90,20,-13,F#/G♭ Minor,4,3gKwVWwKmeuFtPubICbOGc,USDJ28600009
10,"It's Tricky","Run–D.M.C.",128,10A,92,2026-03-09,03:02,67,"old school hip hop, east coast hip hop, hip hop","Raising Hell (Expanded Edition)",1986-05-15,97,0,0,94,10,0,-5,B Minor,4,5IGUkmuTVroDG2PnaUiNFj,USAR18600005
11,"Wild Thing","Tone-Loc",126,9B,69,2026-03-09,04:23,66,"","Loc-ed After Dark",1989-01-01,94,0,0,81,10,0,-12,G Major,4,0gljI0CtjpdZK6ecidfxto,USA370507633
12,"Funky Cold Medina","Tone-Loc",117,4A,63,2026-03-09,04:08,63,"","Loc-ed After Dark",1989-01-01,99,8,0,93,0,0,-15,F Minor,4,5YIF6HSOtHN9HdcE5IPzMe,USA370507637
13,"Parents Just Don't Understand","DJ Jazzy Jeff & The Fresh Prince",88,3A,73,2026-03-09,05:36,35,"old school hip hop","He's the DJ, I'm the Rapper (Expanded Edition)",1988-03-29,83,2,0,76,20,10,-10,A#/B♭ Minor,4,4vEWRakctkzouRwOeR6BRQ,USJI11600018
14,"The Fresh Prince of Bel-Air","DJ Jazzy Jeff & The Fresh Prince",101,3A,68,2026-03-09,02:57,59,"old school hip hop","Greatest Hits",1998-00-00,82,0,0,87,0,0,-7,A#/B♭ Minor,4,0UREO3QWbXJW3gOUXpK1am,USJI19000013
15,"Come Baby Come","K7",106,10B,73,2026-03-09,03:59,65,"freestyle","Swing Batta Swing",1993-11-09,83,3,0,55,10,0,-8,D Major,4,2b8RCiPb2rtG5AQ1FwyUZX,USTB10300395
16,"Move It Like This","K7",106,9B,64,2026-03-09,05:06,43,"freestyle","Swing Batta Swing",1993-11-09,78,3,0,80,0,0,-10,G Major,4,6nwqlo3MoeUjpzx8wveoaY,USTB10301269
17,"I Love to Turn You On (Zunga Zeng)","K7",104,3B,66,2026-03-09,04:33,35,"freestyle","Swing Batta Swing",1993-11-09,85,5,0,62,10,0,-10,C♯/D♭ Major,4,64b3qITpWZ0U6aoH6v7l2J,USTB10300422
18,"Rump Shaker","Wreckx-N-Effect",103,4A,82,2026-03-09,05:12,64,"new jack swing, old school hip hop","Hard Or Smooth",1992-01-01,89,0,2,23,20,30,-7,F Minor,4,4dY4JVC0Q9CwpeZ6JAclIc,USMC19238663
19,"Da' Dip","Freak Nasty",132,4B,43,2026-03-09,03:57,57,"miami bass, new orleans bounce","Controversee…That's Life…and That's the Way It Is",1996-10-29,95,1,3,72,30,20,-17,G#/A♭ Major,4,76YDsWGWezclVy9Z6sDGhf,US25T9920900
20,"Whoomp! There It Is - Radio Edit","Tag Team",129,9A,64,2026-03-09,03:45,65,"miami bass","Whoomp! There It Is (Radio Edit)",1993-05-07,80,0,0,42,0,0,-7,E Minor,4,3oWXoSkjdbTlQlteizN7Hb,US25X1900111
21,"I Got 5 On It","Luniz,Michael Marshall",174,3A,71,2026-03-09,04:13,77,"g-funk, west coast hip hop, old school hip hop, brazilian bass","Operation Stackola",1995-07-04,58,21,0,58,30,10,-8,A#/B♭ Minor,4,4IYKjN1DrYzxKXt0umJqsG,USVI29500016
22,"It Wasn't Me","Shaggy,Rik Rok",95,8B,61,2026-03-09,03:47,83,"reggae, dancehall, riddim, ragga, lovers rock","Hot Shot",2000-08-08,85,6,0,65,0,30,-5,C Major,4,3WkibOpDF7cQ5xntM1epyf,USMC10000393
23,"Angel","Shaggy,Rayvon",171,2B,77,2026-03-09,03:55,82,"reggae, ","Hot Shot",2000-08-08,74,12,0,81,10,0,-3,F#/G♭ Major,4,7FDV5ELOJHCGLe52AnttEd,USMC19989405
24,"My Name Is","Eminem",86,3B,68,2026-03-09,04:28,75,"rap, hip hop","The Slim Shady LP",1999-02-23,87,4,0,82,30,0,-6,C♯/D♭ Major,4,75IN3CtuZwTHTnZvYM4qnJ,USIR19902059
25,"Whatta Man","Salt-N-Pepa,En Vogue",173,7B,54,2026-03-11,05:08,64,"old school hip hop, new jack swing","Very Necessary",1993-10-12,76,15,0,92,20,20,-11,F Major,4,7sJN693sYKEIEMu7fc5VnJ,USIR20300399
26,"The Real Slim Shady","Eminem",105,4A,66,2026-03-09,04:44,86,"rap, hip hop","The Marshall Mathers LP",2000-05-23,95,3,0,76,0,0,-4,F Minor,4,3yfqSUWxFvZELEM4PmlwIR,USIR10000448
27,"Money Ain't A Thang","JAŸ-Z,Jermaine Dupri",100,11A,70,2026-03-10,04:13,45,"hip hop, east coast hip hop, rap, southern hip hop","Vol.2... Hard Knock Life",1998-11-29,86,5,0,86,20,10,-8,F#/G♭ Minor,4,3dT126FgdirenOn5aDXHBE,USRL19800897
28,"Touch It","Monifah",115,1A,48,2026-03-09,04:45,56,"new jack swing","Mo'Hogany",1998-01-01,86,3,5,78,0,0,-10,G#/A♭ Minor,4,3upCmUgdchN3u0vkedbC5S,USUR19800992
29,"Too Close","Next",100,9B,40,2026-03-09,04:19,69,"r&b","Rated Next",1997-09-30,85,1,0,75,0,20,-10,G Major,4,5IFCyWplye09HytIP80RCF,USAR19700121
30,"Dance With Me","112",102,11B,51,2026-03-09,03:51,68,"r&b","Part III",2001-00-00,91,3,0,61,20,0,-6,A Major,4,6uRH1qMz30ZBwwUG0IYE5s,USBB40581356
31,"It's Over Now","112",98,3B,71,2026-03-09,04:24,60,"r&b","Part III",2001-00-00,66,1,0,23,0,0,-5,C♯/D♭ Major,4,769geiA8btidGHda4BBDOJ,USBB40581357
32,"Peaches & Cream","112",204,9A,52,2026-03-09,03:13,65,"r&b","Part III",2001-00-00,68,0,0,77,30,0,-6,E Minor,4,2SLZ2rX5773RS16mcqBxG7,USBB40581358
33,"Butterfly","Crazy Town",104,8A,81,2026-03-09,03:36,77,"rap rock, nu metal","The Gift Of Game",2000-12-15,74,0,0,61,0,10,-4,A Minor,4,4BggEwLhGfrbrl7JBhC8EC,USSM19911429
