#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"The Great Beyond","R.E.M.",110,6B,75,2026-04-05,05:07,57,"jangle pop, alternative rock, rock","In Time: The Best Of R.E.M. 1988-2003",2003-08-27,33,13,0,18,0,20,-6,A#/B♭ Major,4,7w57O4o0xCTn9YpKuaPZDd,USWB19902543
2,"To the Moon & Back","Savage Garden",104,5A,76,2026-04-05,05:39,65,"","Savage Garden (Original Version)",1997-00-00,59,2,0,34,0,10,-7,C Minor,4,48YTxXgK2CT31UlfYz5MKU,AURQ09700001
3,"Slingshot","HENGE",174,4A,75,2026-04-05,03:32,55,"","Journey to Voltus B",2025-01-31,56,12,26,85,0,10,-10,F Minor,4,1TOYsMwlftOZ5GZL6sF8lF,GBER72400166
4,"Eclipse","Pink Floyd",68,6B,58,2026-04-05,02:06,69,"progressive rock, psychedelic rock, classic rock, art rock, rock","The Dark Side of the Moon",1973-03-01,36,6,75,14,0,0,-11,A#/B♭ Major,4,1tDWVeCR9oWGX8d5J9rswk,GBN9Y1100084
5,"Everything In Its Right Place","Radiohead",124,4A,46,2026-04-07,04:11,76,"art rock, alternative rock","Kid A",2000-10-02,30,71,5,6,0,10,-11,F Minor,5,2kRFrWaLWiKq48YYVdGcm8,GBAYE0000810
6,"Dark Side","Bishop Briggs",138,11B,55,2026-04-05,03:28,58,"","Bishop Briggs",2017-04-14,71,61,0,13,0,0,-6,A Major,4,6FFrva3VXMwabDvuHkX4ZU,QM7G91600088
7,"Sunset","The xx",120,10B,18,2026-04-05,03:38,59,"","Coexist",2012-09-10,84,56,45,38,0,10,-16,D Major,4,76G5L5EC20PrZkH1vvT0s2,GBBKS1200090
8,"Limit To Your Love","James Blake",140,3A,28,2026-04-05,04:36,54,"","James Blake",2011-01-01,78,55,24,4,10,0,-10,A#/B♭ Minor,4,33BnSMHgX0AsbKSIbkuMwh,GBUM71028665
9,"Retrograde","James Blake",78,6A,25,2026-04-07,03:43,63,"","Overgrown",2013-04-08,53,87,10,19,0,10,-11,G Minor,4,2IqjKEBiz0CdLKdkXhxw84,GBUM71300788
10,"Rule #34 - Remix","Fish in a Birdcage,PINEO & LOEB",170,8B,85,2026-04-07,02:17,40,"","Rule #34 (Remix)",2026-04-01,59,0,0,44,0,30,-6,C Major,4,0OG6hwXBGV66VDIcWj14X2,CAN112600420
11,"Down - Live From 9:30 Club","Marian Hill",85,5A,48,2026-04-05,03:53,10,"","Down (Live From 9:30 Club)",2017-08-25,51,53,0,27,10,60,-11,C Minor,4,0bmijNqsFXrCaGv4bBaLUW,USUM71709092
12,"One Time - Louis Futon Remix","Marian Hill,Louis Futon",93,8B,62,2026-04-05,03:37,24,"","One Time (Louis Futon Remix)",2016-02-12,66,10,46,12,0,10,-7,C Major,4,0DG4673ZDofUo55MmTgkC2,USUM71600804
13,"Lovit","Marian Hill",36,4A,38,2026-04-05,02:53,46,"","Sway",2015-02-17,61,65,3,27,40,10,-12,F Minor,4,2Ag3LUfgpN6ymEMwDOqKdg,TCABU1440579
14,"Crazy - Radio Mix","TEEMID,Joie Tan",110,10A,64,2026-04-05,03:35,49,"","Crazy",2014-11-14,69,36,38,43,30,40,-11,B Minor,4,1mPiwyeKSNBoNse8lCujYi,DEA621400409
15,"Intergalactic - Remastered 2009","Beastie Boys",106,10B,86,2026-04-05,03:51,72,"rap rock, old school hip hop, east coast hip hop, hip hop","Hello Nasty (Deluxe Edition/Remastered)",1998-07-14,73,2,0,47,30,20,-6,D Major,4,5fpizYGbi5IQoEraj6FP0R,USCA20903764
16,"Supermassive Black Hole","Muse",120,9B,92,2026-04-05,03:32,84,"alternative rock, rock","Black Holes and Revelations",2006-06-28,67,5,1,78,0,0,-4,G Major,4,3lPr8ghNDBLc2uZovNyLs9,GBAHT0500593
17,"Shooting Stars","Bag Raiders",125,1B,72,2026-04-05,03:55,72,"alternative dance","Bag Raiders (Deluxe)",2011-01-01,64,9,2,43,0,0,-6,B Major,4,0UeYCHOETPfai02uskjJ3x,AUUM71001517
18,"When Will I See You Again","Shakka",75,2B,88,2026-04-05,03:37,57,"","When Will I See You Again",2014-10-18,58,31,0,67,10,10,-6,F#/G♭ Major,4,1HGsdjGK835eramyE3cAe1,QZFZ42666918
19,"Where To Land","Travis Garland",92,4A,41,2026-04-05,04:05,27,"","Travis Garland",2013-09-10,54,51,0,19,0,20,-8,F Minor,4,5iPC1qNsmhcNVXzT4w3pN2,USUYG1034043
20,"Closer","Kings of Leon",109,10A,77,2026-04-05,03:57,74,"","Only By The Night",2008-09-23,40,47,0,24,0,10,-5,B Minor,5,1O8d2pWtBclzuY3FctBPVa,USRC10800298
21,"Good Things Go","Linkin Park",127,7A,76,2026-04-05,03:29,68,"nu metal, rap metal, rock, alternative metal","From Zero",2024-11-15,54,1,0,31,0,10,-5,D Minor,4,6aCBjSb87RizdH8lVBIRW7,USWB12403473
