#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"Frightening Fishes - Main Title Theme from  Shrinking ","Benjamin Gibbard,Tom Howe",105,8B,73,2026-04-06,02:27,0,"alt country, ","Frightening Fishes (Main Title Theme from  Shrinking )",2023-01-26,55,2,0,56,0,20,-7,C Major,4,487RnLlaejLyPI7l5B8lwm,USNLR2300147
2,"Drop Stop Roll","Rainbow Kitten Surprise",105,4B,67,2026-04-06,02:50,58,"","Drop Stop Roll",2023-04-10,73,4,0,37,0,10,-9,G#/A♭ Major,4,1y3NV3N99VoSP4crdkbog7,USAT22303038
3,"Sixteen","Rainbow Kitten Surprise",143,3B,85,2026-04-24,03:26,65,"","Sixteen",2026-03-20,52,1,0,62,0,0,-4,C♯/D♭ Major,4,03mN5X7xFtv6uuBGsB43aY,USAT22601139
4,"Cursive (feat. Manchester Orchestra)","Matt Maeson,Manchester Orchestra",142,10B,52,2026-04-06,03:47,54,"","A Quiet and Harmless Living",2025-09-12,55,35,0,31,0,10,-8,D Major,3,2RJnW5OLYkMUcxn9Hv8XIg,USAT22504336
5,"Growing Sideways","Noah Kahan",178,9B,29,2026-04-06,04:15,69,"","Stick Season",2022-10-14,52,74,0,56,0,10,-9,G Major,4,1JcIXOir94YUYBt2cXTzn2,USUM72217176
6,"Dust","Augustana",146,10A,63,2026-04-24,05:04,18,"","Can't Love, Can't Hurt",2008-00-00,38,10,0,50,0,30,-5,B Minor,4,0Y0opRUBGuBOh7sogywclY,USSM10800221
7,"Rest, Shame, Love","Augustana",83,3B,52,2026-04-24,03:59,19,"","Can't Love, Can't Hurt",2008-00-00,53,14,0,25,0,0,-10,C♯/D♭ Major,4,175oG6417WnAUwOAwRCx72,USSM10800222
8,"Where Love Went Wrong","Augustana",170,11B,58,2026-04-24,05:30,22,"","Can't Love, Can't Hurt",2008-00-00,22,6,36,20,0,10,-4,A Major,4,0eINNbCIAfJdeDvuniRs3w,USSM10800223
9,"The Roads","Jonah Kagen",110,12A,52,2026-04-06,04:10,74,"folk pop","The Roads",2023-12-01,64,18,0,32,0,0,-9,C♯/D♭ Minor,4,2bSaJE7jrTeDXW4bZB93Ji,USAR12300194
10,"I Remember Everything (feat. Kacey Musgraves)","Zach Bryan,Kacey Musgraves",78,8B,45,2026-04-06,03:47,87,"country, red dirt, ","Zach Bryan",2023-08-25,43,55,0,16,0,10,-8,C Major,4,4KULAymBBJcPRpk1yO4dOG,USWB12304903
