#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"MakeDamnSure - Live From Orensanz, New York, NY / 2010","Taking Back Sunday",125,2B,78,2026-04-25,04:09,29,"emo, pop punk, screamo, post-hardcore, punk","Live From Orensanz",2010-08-17,50,7,0,46,0,80,-7,F#/G♭ Major,4,3kprNlCNkGDpE6CeTb52vy,USWB11001684
2,"Cute Without The E - Cut From The Team","Taking Back Sunday",77,12B,32,2026-04-25,04:26,36,"emo, pop punk, screamo, post-hardcore, punk","Punk Goes Acoustic",2004-04-20,42,81,0,26,0,10,-9,E Major,4,3Gx7jAdpTsJzYpANTvlq3m,USADD0330510
3,"Vulnerable","Secondhand Serenade",180,8B,52,2026-04-25,03:20,55,"emo","Awake",2007-00-00,42,55,0,36,0,10,-6,C Major,4,1JJOL5EhixrtlbXDWKS0yj,TCABI1231057
4,"Your Biggest Fan","Never Shout Never",125,8B,31,2026-04-25,03:30,45,"emo","Me and My Uke",2009-11-03,74,94,0,53,0,10,-7,C Major,4,0L3di3gB5KlamEABLJK8KK,USSCU0800159
5,"New American Classic","Taking Back Sunday",88,9B,34,2026-04-25,04:35,42,"emo, pop punk, screamo, post-hardcore, punk","Where You Want To Be",2004-07-27,31,28,0,17,0,10,-9,G Major,4,7ElBuVj3aaxCizPgK1avW4,USVIC0422806
6,"Lyrical Lies","Cute Is What We Aim For",107,10B,27,2026-04-25,03:33,35,"pop punk, emo","The Same Old Blood Rush With A New Touch",2006-06-19,69,83,0,35,0,10,-10,D Major,4,2tQWm5Xvo87waN5CZmNm9f,US56V0608710
7,"The Best Deceptions","Dashboard Confessional",172,3B,40,2026-04-25,04:14,47,"emo, pop punk","The Places You Have Come to Fear the Most",2001-03-20,46,80,0,36,0,10,-9,C♯/D♭ Major,4,6yJl0W1IVV1DsTr0vfDY2e,USVR90235403
8,"Heregoesnothin","Never Shout Never",170,5B,98,2026-04-25,03:26,48,"emo","The Yippee EP",2009-07-03,49,13,0,26,40,10,-5,D#/E♭ Major,4,4eaLY5pOPsgKzs37woeTRz,US4K30800107
9,"All Fall Down","OneRepublic",92,9B,77,2026-04-25,04:06,36,"soft pop","Dreaming Out Loud (Deluxe Edition)",2026-03-20,52,19,0,44,0,10,-7,G Major,4,40QsFxz100z2qWqV20zuvz,USUM70758796
10,"All We Are","OneRepublic",158,10B,80,2026-04-25,04:27,34,"soft pop","Dreaming Out Loud (Deluxe Edition)",2026-03-20,41,5,0,38,0,20,-7,D Major,4,0kdXJVkOLJ2WvBswHSQOJ9,USUM70758797
11,"Just A Feeling","Maroon 5",150,5B,62,2026-04-25,03:46,49,"pop","Hands All Over (Deluxe)",2010-00-00,60,15,0,30,0,10,-5,D#/E♭ Major,4,2t2CoOfwakFAexhvMmWtTb,USUM71019661
12,"All Around Me - Acoustic","Flyleaf",147,11B,37,2026-04-25,03:20,31,"christian rock, christian alternative rock, emo","Flyleaf (Deluxe Edition)",2022-11-04,54,79,0,41,0,10,-6,A Major,4,6SgAezKm0d5BTRhhRxS4As,USUM70753920
13,"When I'm Small","Phantogram",92,6B,76,2026-04-25,04:09,73,"","Eyelid Movies",2010-00-00,65,19,10,42,0,10,-4,A#/B♭ Major,4,1U3BASc885MPCYOzYwOIpO,USBS50931058
14,"Someone Else's Bed","Hole",152,2A,72,2026-04-25,04:27,39,"riot grrrl, grunge","Nobody's Daughter",2010-01-01,31,0,0,40,0,10,-5,D#/E♭ Minor,4,1fTmjkJgR6k70qr4UJ1Aie,USUM71007986
15,"I Want You To Want Me","Letters To Cleo",104,8B,80,2026-04-25,03:25,60,"riot grrrl","10 Things I Hate About You (Original Motion Picture Soundtrack)",1999-04-06,49,2,0,66,0,0,-3,C Major,4,3JSlThUtSZKbwhO9dURnxB,USHR10215178
16,"Vindicated","Dashboard Confessional",86,4B,80,2026-04-25,03:21,64,"emo, pop punk","Dusk And Summer",2006-00-00,52,3,0,29,0,0,-3,G#/A♭ Major,4,1EotcFbWTbMCXeKFVEtX6Y,USVR90400024
17,"Cringe","Matt Maeson",126,7B,47,2026-04-25,03:36,70,"","Bank On The Funeral",2019-04-05,73,7,0,44,0,0,-8,F Major,4,12rhvKDK2FfHTZZ1sSAHDG,USAT21603312
18,"God Needs The Devil","Jonah Kagen",81,8A,53,2026-04-25,03:12,80,"folk pop","God Needs The Devil",2024-05-03,55,64,0,29,0,0,-8,A Minor,4,3nEotpBFeXq0OJstuHzwDP,USAR12400126
19,"Devil Like Me - Audiotree Live Version","Rainbow Kitten Surprise,Audiotree",118,9A,38,2026-04-25,03:11,34,"math rock","Rainbow Kitten Surprise on Audiotree Live",2017-02-09,80,44,0,34,0,10,-11,E Minor,4,1nR4y4D5imW4jQfPV3TCd2,QM99V1700201
20,"First Class","Rainbow Kitten Surprise",90,3B,34,2026-04-25,05:43,65,"","Seven + Mary",2013-11-13,55,58,0,22,0,0,-10,C♯/D♭ Major,4,0uQxV7ysuBPhbfUkW1WOCp,TCABT1491600
21,"labour","Paris Paloma",84,10A,57,2026-04-25,03:57,73,"","labour",2023-03-23,65,40,0,44,10,30,-10,B Minor,4,2Ggr9IfS70wYQacW8nZKPG,CAN112300498
22,"Cut Deep (Live)","Matt Maeson",163,9B,65,2026-04-25,03:12,24,"","That's My Cue: A Solo Experience",2024-09-27,54,41,0,77,10,80,-5,G Major,4,3WUzvLaGXKB3I4SNNzmCGq,USAT22405422
23,"Lonely As You","Matt Maeson",172,7B,69,2026-04-25,03:25,39,"","Never Had to Leave",2022-08-26,55,1,0,76,0,10,-5,F Major,4,2IGEPotTBIcmxM5SOFot6V,USAT22207425
24,"Black Out Days - Future Islands Remix","Phantogram,Future Islands",170,9A,48,2026-04-25,04:08,65,"","Black Out Days (Future Islands Remix)",2017-09-01,48,0,78,12,0,10,-9,E Minor,4,3kxkjirben9RVm9NqYa6rm,USUM71415944
25,"Call Me When You're Sober","Evanescence",93,9B,88,2026-04-25,03:34,76,"alternative metal","The Open Door",2006-01-01,45,0,0,33,0,20,-4,G Major,4,663Karu2rvKLdnY0eo1n3M,USWU30600102
