Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,Distance,BPM,Valence,Energy,Dance,Key,Mood_Score,Key_Step
1,Matt Maeson|Cringe,1OV5oUwrL4iw0UTfZy3pGe,Cringe,Matt Maeson,Who Killed Matt Maeson,2017,0.0,126,40,47,73,7B,160,1
2,Snow Patrol|The Weight Of Love,1N96ja5vHzX8cFr8rExKED,The Weight Of Love,Snow Patrol,Fallen Empires,2011,0.17407903870893077,124,24,81,62,8B,167,1
3,Coldplay|Don't Panic,2QhURnm7mQDxBb5jWkbDug,Don't Panic,Coldplay,Parachutes,2000,0.19610481696840384,122,45,61,60,8B,166,1
4,Matt Maeson|Hallucinogenics,4W6tDPKAb5RTZaixgrcWWm,Hallucinogenics,Matt Maeson,The Hearse,2018,0.2125584654475088,122,32,60,61,8B,153,1
5,Never Shout Never|Your Biggest Fan,0L3di3gB5KlamEABLJK8KK,Your Biggest Fan,Never Shout Never,Me and My Uke,2009,0.05752149873851822,125,53,31,74,8B,158,1
6,OneRepublic|What You Wanted,21fq2CKL93mfnYHItpitxg,What You Wanted,OneRepublic,Native,2014,0.23001839776424568,120,24,85,55,8B,164,1
7,HAIM|That Don't Impress Me Much - triple j Like A Version,1ZOK8VkScTdXrccs7hkUPq,That Don't Impress Me Much - triple j Like A Version,HAIM,That Don't Impress Me Much (triple j Like A Version),2017,0.05752149873851822,125,46,36,76,8B,158,1
8,Of Monsters and Men|Crystals,5wU6jk9kxYzFGUpeE6T2Q5,Crystals,Of Monsters and Men,Beneath The Skin,2015,0.2515016536012594,132,33,75,58,8B,166,1
9,Phantogram|Turning Into Stone,2YD9lxZ8sLocATwfCPPoEc,Turning Into Stone,Phantogram,Nightlife,2011,0.248460239797072,122,6,89,56,6B,151,1
10,Elderbrook|Bird Song,51Wao8QZ4Fv4zamKbRnKQd,Bird Song,Elderbrook,Old Friend,2018,0.26453181993733016,120,26,39,88,8B,153,1
11,Linkin Park|Good Things Go,6aCBjSb87RizdH8lVBIRW7,Good Things Go,Linkin Park,From Zero,2024,0.29864924166021384,127,31,76,54,7A,161,2
12,K.Flay|High Enough,5pWG3jP50z7LiL7z9WZsjM,High Enough,K.Flay,High Enough,2017,0.2934185958681344,133,48,63,42,8B,153,1
13,Ella Isaacson|RUDE,2PXHdc5d8Uuckc2e9hhBEV,RUDE,Ella Isaacson,RUDE,2023,0.3071124206061198,130,41,52,79,7B,172,1
14,Florence + The Machine|Howl,3GS8qG28p2RF6M7S5rFdx5,Howl,Florence + The Machine,Lungs (Deluxe Edition),2009,0.3071124206061198,130,29,85,58,8B,172,1
15,"The All-American Rejects|Swing, Swing",003FTlCpBTM4eSqYSWPv4H,"Swing, Swing",The All-American Rejects,The All-American Rejects,2002,0.3048126751352603,128,32,72,55,9B,159,2
16,Maroon 5|Story - Non-LP Version,2ZJ0357KXCl3WTCwsPQWdQ,Story - Non-LP Version,Maroon 5,The B-Side Collection,2007,0.3104124044193559,120,42,81,47,8B,170,1
17,The xx|On Hold,5w3CRkbTWXfbYepIdFpGUN,On Hold,The xx,I See You,2017,0.32033897667445876,125,35,67,72,8B,174,1
18,Rainbow Kitten Surprise|Friendly Fire,7DTAZBykDP2m8LkYehrwhl,Friendly Fire,Rainbow Kitten Surprise,bones,2025,0.3201447374562779,135,38,70,54,7B,162,1
19,Ariana Grande|in my head,4T652DlATVHe0jdLKaN3Bw,in my head,Ariana Grande,"thank u, next",2019,0.3177120711474917,135,33,60,66,8B,159,1
20,OneRepublic|Made For You,1uRQzm3P0nRGnSfnuzMTpq,Made For You,OneRepublic,Waking Up,2009,0.3275227099240308,122,40,56,64,9B,160,2
21,The Palms|Breakin' up,1owBzz8aYKe0bDJlAJt2Yn,Breakin' up,The Palms,Sway,2016,0.33455373831470137,130,36,61,66,7A,163,2
22,ILUKA|Manic Pixie Dream Girl,2EkbykDiLsmMBL5I27RH5e,Manic Pixie Dream Girl,ILUKA,Manic Pixie Dream Girl,2025,0.33066606902857076,130,23,74,61,9B,158,2
23,Paris Paloma|Good Girl,5916POJDlPQRBbe1SJc7uK,Good Girl,Paris Paloma,Good Girl,2026,0.342363614961261,129,27,77,62,9B,166,2
24,Wolf Alice|Don't Delete The Kisses,3K94Fd5ZQkPCW8wV6oyk22,Don't Delete The Kisses,Wolf Alice,Visions Of A Life,2017,0.3481580774178679,122,35,79,60,7B,174,1
