Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,BPM,Valence,Dance,Energy,Acoustic,Loud_Db,Camelot,Distance,Popularity
1,The Neighbourhood|Devil's Advocate,4XfI7M5gLwEY84gYiH4RDD,Devil's Advocate,The Neighbourhood,Chip Chrome & The Mono-Tones,2020,98,86,66,68,3,-8,10A,0.0,71
2,Hey Violet|Better By Myself,77ixMBo91onYG37mAZiaUj,Better By Myself,Hey Violet,Better By Myself,2019,97,89,70,72,6,-7,11A,0.507210070831594,45
3,"Mansionair,NoMBe|Guillotine",3E6FFDeNJvxskxS045jisy,Guillotine,"Mansionair,NoMBe","Happiness, Guaranteed",2022,102,84,69,65,0,-7,1B,0.515187002042819,51
4,Class Actress|Journal of Ardency,6GEIpzW14NtOjqHejbcSRE,Journal of Ardency,Class Actress,Journal of Ardency,2010,97,78,69,68,1,-7,11A,0.630151613753165,64
5,Mariah Carey|Fantasy,6xkryXuiZU360Lngd4sx13,Fantasy,Mariah Carey,Daydream,1995,102,81,67,73,14,-8,9B,0.6563123977406115,80
6,MORGXN|home,3sh0NSn2Eq1ERtTRmITZze,home,MORGXN,home,2016,100,88,67,67,2,-6,1B,0.6565314398738065,0
7,Grace Potter|Look What We've Become,033XHRodS00XmHxTuVlHNt,Look What We've Become,Grace Potter,Midnight,2015,93,86,65,70,4,-6,11A,0.7258962651200219,25
8,LFO|Alayna,2iTVe1yzBvsGr2GzEr2agC,Alayna,LFO,Life Is Good,2001,96,78,70,67,0,-6,10A,0.8610267115663488,19
9,Addison Rae|Headphones On,3H6xZgwRZx8McVUJzmMxWe,Headphones On,Addison Rae,Addison,2025,94,85,61,82,2,-7,11A,0.8833677658901302,71
10,Arctic Monkeys|Why'd You Only Call Me When You're High,086myS9r57YsLbJpU0TgK9,Why'd You Only Call Me When You're High,Arctic Monkeys,AM,2013,0,0,0,0,0,0,,0.9021731168021611,87
11,Backstreet Boys|Passionate,2TAZgy6a9ZL2jEFPvzN91i,Passionate,Backstreet Boys,DNA,2019,101,87,78,64,1,-6,9B,1.0363162511066337,39
12,The Revivalists|Wish I Knew You,2EWpa5XnAuSn0sIkSSIhYk,Wish I Knew You,The Revivalists,Men Amongst Mountains,2015,101,72,65,72,14,-7,5A,1.069570647215944,74
13,Bachman-Turner Overdrive|Let It Ride,3UQA4UTVqcI0VtSQ38nlq1,Let It Ride,Bachman-Turner Overdrive,Bachman-Turner Overdrive II,1973,104,82,64,82,11,-10,11A,1.1132686271190628,60
14,"Say Hi|One, Two ... One",0vHwPvDTA3kjhGmYrR9syF,"One, Two ... One",Say Hi,Oohs & Aahs,2009,110,81,66,75,0,-10,9A,1.156367716292655,20
15,Backstreet Boys|Don't Want You Back,2EgIkNeq1Tsx1JamvF6JWg,Don't Want You Back,Backstreet Boys,Millennium,1999,103,89,73,64,10,-5,11A,1.1608784181245329,54
16,Britney Spears|...Baby One More Time,3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,Britney Spears,...Baby One More Time (Digital Deluxe Version),1999,93,91,76,70,20,-6,5A,1.2139874330390317,86
17,K7|Move It Like This,6nwqlo3MoeUjpzx8wveoaY,Move It Like This,K7,Swing Batta Swing,1993,106,80,78,64,3,-10,9B,1.2158497062502116,43
18,New Kids On The Block|Summertime,4EXUCPSxrXdxSq4RRsaHWJ,Summertime,New Kids On The Block,The Block (Deluxe Version),2008,84,79,64,78,1,-7,12A,1.239688962606765,23
19,Joywave|Obsession,3BUEXULG9L4AZDEh9CePFE,Obsession,Joywave,Possession,2020,102,88,66,84,1,-5,10A,1.272980869327086,50
20,"JAŸ-Z,Jermaine Dupri|Money Ain't A Thang",3dT126FgdirenOn5aDXHBE,Money Ain't A Thang,"JAŸ-Z,Jermaine Dupri",Vol.2... Hard Knock Life,1998,100,86,86,70,5,-8,11A,1.2958211618812212,45
21,Blake Lewis|Break Anotha,7rFbWJk8Mv7BDsF1vsBbQR,Break Anotha,Blake Lewis,Audio Day Dream,2007,88,77,67,82,3,-6,10A,1.3046815678020374,16
22,LFO|That's The Way It Is,0YZrljaTae2qyFt3ylakpL,That's The Way It Is,LFO,Life Is Good,2001,103,81,60,87,11,-6,9B,1.3301801889859732,15
23,Spice Girls|Do It,4oB9UvwZUkic3nWWZKULqs,Do It,Spice Girls,Spiceworld,1997,99,81,67,86,5,-5,10A,1.34354763788028,43
24,Sweet|Ballroom Blitz,3Pu3IChaAoa5EjgUBv5F6x,Ballroom Blitz,Sweet,Desolation Boulevard,1974,108,89,64,80,8,-11,9A,1.3496672259386113,63
25,Britney Spears|Outrageous,2vPCRs3g0vdLU8sHlAEytO,Outrageous,Britney Spears,In The Zone,2003,105,85,83,66,4,-6,9B,1.3538121082050139,62
