Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,Distance,BPM,Valence,Energy,Dance,Key,Mood_Score,Key_Step
1,Daughter|Doing The Right Thing,2X8DqCikgiVk3214hbHEpz,Doing The Right Thing,Daughter,Not To Disappear,2016,0.0,136,12,65,41,5A,118,1
2,Bear's Den|When You Break,6phEzGzapP71UBlxyggfMa,When You Break,Bear's Den,Agape,2013,0.17751678534761614,141,15,51,51,4A,117,1
3,Nick Mulvey|Fever To The Form,7xbF5Nf1iKYmwvD9EWhJav,Fever To The Form,Nick Mulvey,Fever To The Form,2014,0.2788109531563615,142,23,53,34,5A,110,1
4,Foreign Air|Feels Like Nothing,0fN8Symx2jOXpOAqrW6otf,Feels Like Nothing,Foreign Air,Smile,2025,0.3037728051533411,128,38,35,40,6A,113,1
5,Oh Wonder|Technicolour Beat,5pLpkaIRobcvPnUmclNv6o,Technicolour Beat,Oh Wonder,Oh Wonder,2015,0.38211258733161607,130,8,36,60,4A,104,1
6,Sufjan Stevens|To Be Alone With You,12homE4JpBey5cckgoepR7,To Be Alone With You,Sufjan Stevens,Seven Swans,2004,0.38211258733161607,142,36,16,52,5A,104,1
7,Horace Heidt & His Brigadiers with Larry Cotton|Gone With The Wind,1bg9N5o7BcDd2UKcD9KhSK,Gone With The Wind,Horace Heidt & His Brigadiers with Larry Cotton,Hits Collection 1937-45,2019,0.402179012729505,142,45,23,47,5B,115,2
8,Augustana|Twenty Years,2xqjlxsJpuRwNnq5iz9sGX,Twenty Years,Augustana,"Can't Love, Can't Hurt",2008,0.41873786052417367,133,28,41,39,5B,108,2
9,The Weeknd|Escape From LA,1sOW4PuG5X3Ie3EXUhAopJ,Escape From LA,The Weeknd,After Hours,2020,0.403743323013087,145,17,53,37,4A,107,1
10,Shaboozey|Vegas,27QKdaqsOcLodD31PuYFZJ,Vegas,Shaboozey,"Where I've Been, Isn't Where I'm Going",2024,0.4207658312644621,142,24,54,56,6A,134,1
11,Chelsea Wolfe|Feral Love,7j2exhvPCgzRQT9Hs6AAJ8,Feral Love,Chelsea Wolfe,Pain Is Beauty,2013,0.44401732781990694,124,4,48,60,4A,112,1
12,Band of Horses|The Funeral,5lRzWDEe7UuedU2QPsFg0K,The Funeral,Band of Horses,Everything All The Time,2006,0.4929509395004434,122,10,76,32,5A,118,1
13,Adele|When We Were Young,7GgWAITsYJaRM3r50rfh5w,When We Were Young,Adele,25,2015,0.46599524753445026,144,27,60,38,5B,125,2
14,Backstreet Boys|Lose It All,16fyms9ErePYphYe6baPVF,Lose It All,Backstreet Boys,Never Gone,2005,0.48339855016363387,140,11,80,41,5B,132,2
15,Queen|Bohemian Rhapsody - Remastered 2011,7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera (Deluxe Remastered Version),1975,0.4601719899081361,144,23,40,39,5A,102,1
16,Penelope Scott|Rät,25z6kpmIwkCUqk2IORrJ5v,Rät,Penelope Scott,Public Void,2020,0.46017198990813324,144,30,45,59,4A,134,1
17,James Gillespie|What You Do,59ODnSScgfVzZ1SpkJJWIy,What You Do,James Gillespie,Safe.,2019,0.4934752878078869,150,13,48,58,5A,119,1
18,The Neighbourhood|The Beach,2u0CelO5c81XS7z3dGpHbS,The Beach,The Neighbourhood,Wiped Out!,2015,0.5291908260599528,136,11,64,25,7A,100,2
19,The Fray|Vienna,3TBKrVTg9NFJKrFpjwUay4,Vienna,The Fray,How To Save A Life,2005,0.5030033072025153,124,14,48,44,4A,106,1
20,Matteo Bocelli|Honesty,5D63NBC2q1BjCt9rMBqaC6,Honesty,Matteo Bocelli,Matteo,2023,0.5514885955587473,138,24,32,43,5B,99,2
21,MIKA|Any Other World,2SU94Rw5csEmWpBW0l5iAx,Any Other World,MIKA,Life in Cartoon Motion,2007,0.5308263690813033,132,25,25,51,5B,101,2
22,The Mills Brothers|You Always Hurt The One You Love - 1958 version,2H7VbIlKJefU5BTsHhYxuO,You Always Hurt The One You Love - 1958 version,The Mills Brothers,Great Hits,1958,0.5336415934394556,139,35,8,52,6A,95,1
23,BANKS|Waiting Game,27mT3JdR3sRJyiMBFHdhB4,Waiting Game,BANKS,Goddess (Deluxe),2014,0.5577543579199575,129,23,40,33,4A,96,1
24,The Neighbourhood|How,6mAuw7R6u4vlNneuBgnC8K,How,The Neighbourhood,I Love You.,2013,0.5638313641993901,152,6,75,38,6A,119,1
25,Rainbow Kitten Surprise|Holy War,2YQJCYnf4Ab1wS5bA89nHE,Holy War,Rainbow Kitten Surprise,Holy War,2018,0.5634553057911107,150,21,29,56,6A,106,1
26,Transviolet|Girls Your Age,3wchQBokK9IDtoYrw14gpK,Girls Your Age,Transviolet,Transviolet,2015,0.55595251920989,139,11,40,43,5A,94,1
27,Cat Power|New York,3wMAPssB0CSOaHMqYTWeBA,New York,Cat Power,Jukebox (Deluxe Edition),2008,0.5574049477058409,146,24,39,74,6A,137,1
28,Morgan St. Jean|Do It Like A Girl,2pY0EPtqQb0GJGUY7EzxqP,Do It Like A Girl,Morgan St. Jean,Do It Like A Girl,2022,0.5564274425595191,148,32,40,52,7A,124,2
29,Ex:Re|Misery Is a Butterfly,05EdW6Mba6PNtnutYAnvAA,Misery Is a Butterfly,Ex:Re,Misery Is a Butterfly,2021,0.6480016145240494,144,28,48,63,7A,139,2
30,Ed Sheeran|I'm a Mess,0xCA70t1ZA4fa9UOE0lIJm,I'm a Mess,Ed Sheeran,x (Deluxe Edition),2014,0.649263671434664,139,34,38,70,5B,142,2
31,Imogen Heap|Just for Now,64kEBCPbeV06af3omyh1Ju,Just for Now,Imogen Heap,Speak for Yourself (Deluxe Version),2005,0.655699621056131,150,47,38,45,5B,130,2
32,The Neighbourhood|Wires,4ObATYHHvXXlJJQ4rPKU2s,Wires,The Neighbourhood,I'm Sorry...,2012,0.6495420880196466,146,28,59,55,6A,142,1
33,"Mt. Joy|Dirty Love - Live at The Salt Shed, December 2023",0TqS8O4yonu7nCv3vaBUEo,"Dirty Love - Live at The Salt Shed, December 2023",Mt. Joy,Live at The Salt Shed,2024,0.6682347060532133,121,27,69,40,6A,136,1
