Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,BPM,Valence,Dance,Energy,Acoustic,Loud_Db,Camelot,Distance,Popularity
1,Em Beihold|Hot Goblin,1AQlvpcPh79BKnoKe1E6Nw,Hot Goblin,Em Beihold,Hot Goblin,2025,123,46,79,68,39,-4,9A,0.0,52
2,Eminem|Beautiful,1HR2CTi0ytRJIcik1QKdOa,Beautiful,Eminem,Relapse: Refill,2009,132,47,73,70,25,-4,4A,0.9294609932028165,72
3,Death Cab for Cutie|I Dreamt We Spoke Again,6TRQPx5Z0YZ0pCQX7JbtlS,I Dreamt We Spoke Again,Death Cab for Cutie,Thank You for Today,2018,119,45,71,71,28,-6,8A,0.9704284314076569,43
4,Jacklyn|Don't be a *ick,60uYiJfqRg8vumhgOYlA59,Don't be a *ick,Jacklyn,Don't be a *ick,2025,118,59,87,70,39,-4,11A,1.030970349656885,22
5,GAYLE|abcdefu,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,abcdefu,2021,122,42,70,54,30,-6,12B,1.1867146033402,74
6,Shaboozey|Anabelle,2GeK971PzUJqSJc7mFVIMI,Anabelle,Shaboozey,"Where I've Been, Isn't Where I'm Going",2024,121,43,73,80,16,-5,9A,1.2147771343362597,47
7,Martin Luke Brown|Grit Your Teeth,5YyehzRoHpRdHKzi7HSafT,Grit Your Teeth,Martin Luke Brown,Grit Your Teeth,2018,122,48,81,71,12,-6,4A,1.2510608434035757,25
8,Coleman Hell|2 Heads,32FX4D4eT8LFP07QvlhSn8,2 Heads,Coleman Hell,Summerland,2016,120,40,75,75,12,-5,8B,1.2613388204780303,51
9,Summer Jones|Danny Phantom,6Lq9EywBzav3QqeARcQAqf,Danny Phantom,Summer Jones,Danny Phantom,2024,114,55,82,56,56,-5,10A,1.2891969868087807,23
10,THE-DREAM|Falsetto,2P1e3xpjDhYFqOFeu8IWzS,Falsetto,THE-DREAM,Love/Hate,2007,131,48,73,55,16,-4,8B,1.3113942874526363,58
11,"Don Toliver,Travis Scott|Embarrassed",6w9GrSUaQQIaMBYtabge7p,Embarrassed,"Don Toliver,Travis Scott",Love Sick (Deluxe),2023,0,0,0,0,0,0,,1.3734949402935364,72
12,"Don Diablo,Zak Abel|Bad",1T4U8Q2DRfs6OUg8DEsRZf,Bad,"Don Diablo,Zak Abel",Bad,2020,124,67,79,74,41,-5,8B,1.3917363432590073,57
13,"Future,Metro Boomin|We Don't Trust You",1pnDvUuAEd6z8bKEsbAjk1,We Don't Trust You,"Future,Metro Boomin",WE DON'T TRUST YOU,2024,124,35,78,51,48,-7,11A,1.487595048664752,68
14,FLETCHER|Bitter,5Z0AM9HW78XIyZqF2BPasr,Bitter,FLETCHER,Bitter,2020,136,41,72,59,39,-7,11A,1.487827617927313,58
15,"Rihanna,Future|Loveeeeeee Song",2ox4vr3lkUVpCR57bbWwLy,Loveeeeeee Song,"Rihanna,Future",Unapologetic,2012,120,50,71,60,51,-8,4A,1.5173859877529583,39
16,Don Toliver|NEW DROP,2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,Don Toliver,HARDSTONE PSYCHO,2024,120,32,76,63,19,-7,9A,1.5498488866159197,83
17,Ciara|Keep On Lookin',21ovuLfg5iT583UEgeEYQb,Keep On Lookin',Ciara,Ciara,2013,129,45,86,45,25,-6,10A,1.5525255677648644,24
18,3OH!3|DONTTRUSTME,5jzX4dWVQeBTtfBaXnMRt5,DONTTRUSTME,3OH!3,WANT,2008,130,51,79,71,2,-4,4A,1.5695616727452855,77
19,Enrique Iglesias|Ring My Bells,5DbUPekbGprJNwubQHaFtU,Ring My Bells,Enrique Iglesias,Insomniac,2007,115,43,82,63,11,-7,11A,1.5895025611320872,38
20,Rihanna|Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,Only Girl (In The World),Rihanna,Loud,2010,126,64,79,71,11,-4,10A,1.5957755103042617,89
21,"Flo Rida,Timbaland|Elevator",44AtutBMMWw14r9CkZ0wna,Elevator,"Flo Rida,Timbaland",Mail on Sunday,2008,0,0,0,0,0,0,,1.6025650352911054,56
