Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,Distance,BPM,Valence,Energy,Dance,Key,Mood_Score,Key_Step
1,Paris Paloma|LABOUR - the cacophony,4B0cJGASxVICLW2AsBZhiE,LABOUR - the cacophony,Paris Paloma,LABOUR (the cacophony),2024,0.0,168,29,79,53,10A,161,1
2,Halestorm|Like A Woman Can,2a938Z2yqpxHAyNLjJHymh,Like A Woman Can,Halestorm,Everest,2025,0.23008599495406903,172,41,70,42,11A,153,1
3,Foreign Air|Your Touch,5dS9u36myZ35YBrhgqAIle,Your Touch,Foreign Air,Hello Sunshine,2022,0.21610574318501746,162,28,75,56,9A,159,1
4,Broken Social Scene|Windsurfing Nation,39f5NyqGQqmHEdZ30bvnu7,Windsurfing Nation,Broken Social Scene,Broken Social Scene,2005,0.2301366798165467,169,33,90,48,10A,171,1
5,Post Malone|Over Now,09IOPhEh1OMe0HD9b36FJk,Over Now,Post Malone,beerbongs & bentleys,2018,0.23008599495406903,164,18,78,57,9A,153,1
6,"Taylor Swift,Kendrick Lamar|Bad Blood",6xsEAm6w9oMQYYg3jkEkMT,Bad Blood,"Taylor Swift,Kendrick Lamar",Bad Blood,2015,0.19509478608724912,170,22,66,65,10A,153,1
7,"Bryce Fox,Sam Tinnesz|Riot",62ekQAQYJgSyWgiWXKVTz7,Riot,"Bryce Fox,Sam Tinnesz",Riot,2023,0.2399240330071047,174,54,62,50,10A,166,1
8,Evanescence|Going Under,3UygY7qW2cvG9Llkay6i1i,Going Under,Evanescence,Fallen,2003,0.3063542659109426,175,46,86,37,10A,169,1
9,Seether|Fine Again,4eTIe5eqds88bA9ua6p5p6,Fine Again,Seether,Disclaimer,2002,0.3037728051533455,176,36,86,44,11A,166,1
10,The Cure|Three Imaginary Boys - 2005 Remaster,660u9agQuREtEDmETVWSts,Three Imaginary Boys - 2005 Remaster,The Cure,Three Imaginary Boys (Deluxe Edition),1979,0.23808042501616222,170,48,63,60,10A,171,1
11,Train|All I Ever Wanted,0DJJdLSQKTPVnAA2iEuvsQ,All I Ever Wanted,Train,"For Me, It's You",2006,0.3822115139866691,170,47,62,42,10B,151,2
12,"Lady Gaga,Bruno Mars|Die With A Smile",7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga,Bruno Mars",MAYHEM,2025,0.3528415275339467,158,50,60,52,11A,162,1
13,Two Feet|Quick Musical Doodles,7tZdkPtebOG29TzPPHlsem,Quick Musical Doodles,Two Feet,First Steps,2016,0.3260927128221859,170,43,35,69,11A,147,1
14,Beyoncé|Ring The Alarm,5BkHkyO9PFXs1m7vSMnXp4,Ring The Alarm,Beyoncé,B'Day Deluxe Edition,2007,0.35702286790419413,170,48,75,46,10B,169,2
15,"Sultans Of Ping F.C.,Frank Mcnamara|Where's Me Jumper",1PWkvrHtJI1TLfnZDWDf2u,Where's Me Jumper,"Sultans Of Ping F.C.,Frank Mcnamara",Moone Boy (Music from the TV Series),2015,0.3821125873316184,174,44,91,40,10A,175,1
16,Senses Fail|Can't Be Saved,3PHhctErNOXWqevrZDUyNy,Can't Be Saved,Senses Fail,Still Searching,2006,0.45906372843248816,170,45,98,33,10B,176,2
17,The Neighbourhood|Staying Up,1NA2NvAgCB4EfcBC8OHfuj,Staying Up,The Neighbourhood,I Love You.,2013,0.42074480566547007,176,32,86,39,10B,157,2
18,Matt Maeson|Get Happy (Live),2iAa0pJTOpbrtokihbuBKk,Get Happy (Live),Matt Maeson,That's My Cue: A Solo Experience,2024,0.39803166281089747,175,64,51,50,10B,165,2
19,Adele|Send My Love (To Your New Lover),0t7fVeEJxO2Xi4H2K5Svc9,Send My Love (To Your New Lover),Adele,25,2015,0.4329198597636571,164,57,53,69,11A,179,1
20,Lizzo|Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,Truth Hurts,Lizzo,Cuz I Love You (Deluxe),2019,0.4747179936344549,158,41,62,72,9A,175,1
21,"Sia,Diplo,Labrinth,LSD|Genius",4xigPf2sigSPmuFH3qCelB,Genius,"Sia,Diplo,Labrinth,LSD","LABRINTH, SIA & DIPLO PRESENT... LSD",2019,0.4999034565717673,159,56,62,60,10A,178,1
22,Black Math|New Game,56YNYXJI7eWgpmzPht6c77,New Game,Black Math,New Game,2019,0.4931853095956436,160,42,49,58,12A,149,2
23,"Halsey|I am not a woman, I'm a god",20MWkJVeqKnWf0rGFJJqRY,"I am not a woman, I'm a god",Halsey,"If I Can’t Have Love, I Want Power (Deluxe)",2021,0.5156967133154357,180,52,70,52,11A,174,1
24,Arctic Monkeys|Arabella,7nzsY8vlnKdvGOEE0rjAXZ,Arabella,Arctic Monkeys,AM,2013,0.5255569632288208,180,51,56,58,10B,165,2
25,Daughter|Dandelion,0FaTDETtzCRxYIf3noMnsF,Dandelion,Daughter,Stereo Mind Game,2023,0.5229336949289644,158,60,63,55,10A,178,1
26,Blue October|Driver,27H08UOnOSclCklRLojBFY,Driver,Blue October,Home,2016,0.5544852692971424,165,25,61,55,12A,141,2
