Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,BPM,Valence,Dance,Energy,Acoustic,Loud_Db,Camelot,Distance,Popularity
1,YoungBoy Never Broke Again|Nevada,2cEnKRR4dYBB2VA1mjlb1z,Nevada,YoungBoy Never Broke Again,"Sincerely, Kentrell",2021,148,24,78,59,40,-9,5A,0.0,80
2,Cat Power|New York,5mhzHPJ2pYeH1Dj9Nayegd,New York,Cat Power,Jukebox,2008,146,24,74,39,46,-8,6A,1.1180131223317344,35
3,Maroon 5|Seasons,1G5rzVAFlgMqG4gaRujcaA,Seasons,Maroon 5,JORDI (Deluxe),2021,140,28,64,50,51,-8,4B,1.2933236456116866,45
4,blackbear|idfc,6y6jbcPG4Yn3Du4moXaenr,idfc,blackbear,deadroses,2015,145,32,63,50,61,-9,12A,1.4499439182556684,75
5,"Massive Attack,Hope Sandoval|Paradise Circus",2BndJYJQ17UcEeUFJP5JmY,Paradise Circus,"Massive Attack,Hope Sandoval",Heligoland,2010,136,30,81,59,41,-13,4B,1.5630256993495653,67
6,Ed Sheeran|I'm a Mess,0xCA70t1ZA4fa9UOE0lIJm,I'm a Mess,Ed Sheeran,x (Deluxe Edition),2014,139,34,70,38,56,-8,5B,1.6321502796404537,60
7,James Gillespie|What You Do,59ODnSScgfVzZ1SpkJJWIy,What You Do,James Gillespie,Safe.,2019,150,13,58,48,52,-10,5A,1.6624167407150559,45
8,"Future,The Weeknd|Low Life",7EiZI6JVHllARrX9PUvAdX,Low Life,"Future,The Weeknd",EVOL,2016,0,0,0,0,0,0,,1.691897815526153,83
9,"Elvis Drew,Avivian|Where Are You",0kVbqPkUBwEMcUmXw4ZuMX,Where Are You,"Elvis Drew,Avivian",Where Are You?,2020,0,0,0,0,0,0,,1.7582662305152792,60
10,Shaboozey|Vegas,27QKdaqsOcLodD31PuYFZJ,Vegas,Shaboozey,"Where I've Been, Isn't Where I'm Going",2024,142,24,56,54,40,-6,6A,1.761010319327895,59
11,"Maroon 5,Juice WRLD|Can't Leave You Alone",5kS3Kw2elRTrodnsyQuhvI,Can't Leave You Alone,"Maroon 5,Juice WRLD",JORDI (Deluxe),2021,0,0,0,0,0,0,,1.7900232466594859,59
