Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,Distance,BPM,Valence,Energy,Dance,Key,Mood_Score,Key_Step
1,Rainbow Kitten Surprise|Never Have I Ever,2Ojr742JINM4QEOk7vQGEh,Never Have I Ever,Rainbow Kitten Surprise,Never Have I Ever,2026,0.0,130,56,71,68,12A,195,1
2,Lykke Li|sex money feelings die,0g4fzRkbLeCDUCoe5iUOcf,sex money feelings die,Lykke Li,so sad so sexy,2018,0.14083207365252368,134,63,53,79,1A,195,1
3,Cathedrals|In the Dark,49gE0a0YPRMXRp43QhnHH8,In the Dark,Cathedrals,Cathedrals - EP,2014,0.13941850569504152,133,54,85,60,1A,199,1
4,Madonna|Girl Gone Wild,6SONqPbbSCVP5rgi0CdRxu,Girl Gone Wild,Madonna,MDNA (Deluxe Version),2012,0.1337819258632027,132,60,60,70,1A,190,1
5,Taio Cruz|Higher,4PYTMO1VMWLPVvGUtqkUwv,Higher,Taio Cruz,Rokstarr,2010,0.11506301285530343,128,56,90,53,1A,199,1
6,Peaches|Mommy Complex,6TCprtpBqFKlsbdgV3nbsK,Mommy Complex,Peaches,I Feel Cream,2009,0.19514797714148058,128,49,73,65,11A,187,1
7,"Enrique Iglesias,Ciara|Takin' Back My Love",0aPhnPWgYWk9XGezDHCLF3,Takin' Back My Love,"Enrique Iglesias,Ciara",Greatest Hits,2008,0.1888073641964479,125,43,75,74,11A,192,1
8,Maroon 5|In Your Pocket,6SCh4BKjB0il6zKgtSiasQ,In Your Pocket,Maroon 5,V,2014,0.19612776450715413,126,43,84,62,11A,189,1
9,"David Guetta,OneRepublic|I Don't Wanna Wait",7CnerQT0fiD46N3JpBgzOD,I Don't Wanna Wait,"David Guetta,OneRepublic",Artificial Paradise (Deluxe),2024,0.2275010808356723,130,66,71,68,12A,205,1
10,Zella Day|East of Eden,2QavWF6uZLf8PxaK8ixj7X,East of Eden,Zella Day,East of Eden,2014,0.2506210149601245,123,58,79,60,12A,197,1
11,Moon Taxi|Red Hot Lights,0xmtSOofR05Lu0ggb5lZ7X,Red Hot Lights,Moon Taxi,Daybreaker,2015,0.2934304465137755,123,55,87,60,1A,202,1
12,"Calvin Harris,Florence Welch|Sweet Nothing",24LS4lQShWyixJ0ZrJXfJ5,Sweet Nothing,"Calvin Harris,Florence Welch",18 Months,2012,0.3040186044519005,128,58,93,57,1A,208,1
