Track_Number,Track_Key,Track_ID,Song,Artist,Album,Year,BPM,Valence,Dance,Energy,Acoustic,Loud_Db,Camelot,Distance,Popularity
1,cleopatrick|SCARING ME,35Bv4QuokBrmWya208VcK2,SCARING ME,cleopatrick,DOOM,2022,135,14,59,66,11,-8,12A,0.0,38
2,"Bryce Fox,King Green|King is Dead",379D8MEiFstQthmqVqbWCT,King is Dead,"Bryce Fox,King Green",Psychopath,2025,133,6,53,69,7,-6,11A,0.9243933494338222,5
3,The All-American Rejects|Bleed Into Your Mind,2ihspAOv4YYeq1eGgRra2F,Bleed Into Your Mind,The All-American Rejects,Kids In The Street,2012,137,10,61,49,0,-7,3B,1.055049273206932,20
4,The Neighbourhood|Holy Ghost,0fFPWoqcdEDfIpS7wk6shV,Holy Ghost,The Neighbourhood,(((((ultraSOUND))))),2025,125,25,57,66,18,-7,11A,1.0773897779718982,61
5,Bishop Briggs|Baby,21vwWfS6qvxh8TN3lgHvZr,Baby,Bishop Briggs,Baby,2018,140,21,66,59,0,-6,11A,1.1023213817275057,41
6,Lonestar|Amazed,6qc34bnVOyqGDPni8H5W0U,Amazed,Lonestar,Lonely Grill,1999,140,24,56,54,26,-8,3B,1.1244730483040986,72
7,OneRepublic|Didn't I,2IpeTEPICyB66jjg2hU4Vg,Didn't I,OneRepublic,Human (Deluxe),2021,124,24,61,61,2,-7,12B,1.1377260969695755,52
8,Beyoncé|ALL UP IN YOUR MIND,3k4CoiIQXiNBrwrmbBMDxj,ALL UP IN YOUR MIND,Beyoncé,RENAISSANCE,2022,136,8,74,58,7,-7,11B,1.163783008085351,60
9,"Elderbrook,Bob Moses|Inner Light",40tPP3K10yMZxwnT65REKj,Inner Light,"Elderbrook,Bob Moses",Inner Light,2021,121,13,65,71,0,-8,12B,1.1712803234942215,70
10,The Briggs|Control Alt-Right Delete,3KixO3ab5qAP0TGzI7A7gz,Control Alt-Right Delete,The Briggs,Control Alt-Right Delete,2016,140,30,61,74,0,-7,12B,1.2623493265917793,40
11,flipturn|Hypoxia,50zMB2FDNBlVPQsIHiAeM1,Hypoxia,flipturn,Heavy Colors,2017,138,31,56,73,1,-7,11B,1.2627974886966775,41
12,MISSIO|Bottom Of The Deep Blue Sea,6AvslIXIi9iaGvukefyVVK,Bottom Of The Deep Blue Sea,MISSIO,Loner,2017,133,24,57,75,2,-5,12B,1.2770793762705028,56
13,"Busta Rhymes,Giggs|THE HIVE",43E72npx0X4c3ldo0z9JPU,THE HIVE,"Busta Rhymes,Giggs",BLOCKBUSTA,2023,0,0,0,0,0,0,,1.3164958707911325,25
14,"OneRepublic|Goodbye, Apathy",78wnWRrd97aaheZBz16K2H,"Goodbye, Apathy",OneRepublic,Dreaming Out Loud,2007,150,18,48,72,12,-8,11B,1.329542883420984,32
15,"zedarius,Angel|Eyes on Fire",6TIvok6zWuUrhmArXIzGDm,Eyes on Fire,"zedarius,Angel",Eyes on Fire,2015,150,10,48,62,0,-8,3B,1.3788000620175513,3
16,Paramore|All I Wanted,1Bv3h7Vc4AaYA2BcSM3rVd,All I Wanted,Paramore,Brand New Eyes,2009,144,15,49,72,2,-5,11A,1.3794186061104916,82
17,"Omido,Kae|THE RIDE",56UsK8ziDSA2SrD7hPtApH,THE RIDE,"Omido,Kae",THE RIDE,2024,145,27,50,64,7,-6,1A,1.3842668906784443,64
18,AWOLNATION|I Am,31CgjKFR1pzFO5Im365rXB,I Am,AWOLNATION,Run,2015,130,27,57,75,17,-5,12B,1.392085591315949,44
19,Crooked Colours|Flow,7mE57yFVWevAttx4HvLZKi,Flow,Crooked Colours,Vera,2017,118,23,53,63,16,-8,11A,1.4001059589363636,53
20,Ex:Re|Misery Is a Butterfly,05EdW6Mba6PNtnutYAnvAA,Misery Is a Butterfly,Ex:Re,Misery Is a Butterfly,2021,144,28,63,48,10,-9,7A,1.4689764400583063,33
21,Broken Hands|Turbulence,7FknJlzX8D9UlVLzrF7gWb,Turbulence,Broken Hands,Turbulence,2016,143,17,43,78,9,-10,12A,1.4703894283090213,0
22,Backstreet Boys|Incomplete,0CnD7Hiw6pae6rLsZw5q5W,Incomplete,Backstreet Boys,Never Gone,2005,134,17,44,59,23,-5,12B,1.4767769297402566,68
23,Manchester Orchestra|Where Have You Been,7LXVDbbx0NY6zJZbdUUaVx,Where Have You Been,Manchester Orchestra,I'm Like a Virgin Losing a Child,2006,0,0,0,0,0,0,,1.489969448276491,38
24,pluko|i want you,6lzhQZlu2c0CZ947BmHJhP,i want you,pluko,CLASS XIX,2019,144,6,61,44,11,-10,1A,1.5107238982045026,31
25,Kansas|Play the Game Tonight,5JQaG1VrTu4fbieUsDUdrt,Play the Game Tonight,Kansas,Vinyl Confessions,1982,118,25,64,63,21,-9,7A,1.5114826877620884,51
26,Brand New|Mix Tape,0VeqER57ixyKcnLsZ1zxAj,Mix Tape,Brand New,Your Favorite Weapon,2001,137,17,43,74,0,-5,3B,1.5250466556975288,48
27,Pacific Air|Suits,5hPXhM3Li29Kh0ir31kNLc,Suits,Pacific Air,Stop Talking,2013,118,22,63,77,0,-7,12A,1.5292660747125522,3
28,The Unlikely Candidates|Celebrate,7esJ5vrbqFDjitZ3cM5WEQ,Celebrate,The Unlikely Candidates,Danger To Myself,2017,135,33,66,51,18,-7,3B,1.537967653740308,0
29,Phantogram|16 Years,1R7EfuL60uDJSvGndrH7Np,16 Years,Phantogram,Nightlife,2011,120,19,51,78,0,-6,11A,1.5535952572171785,41
